GEOID,HH,POP,HH_Occ,GQ_Inst,GQ_Non,GP
410670314021026,31,59,31,0,0,59
410670314032003,21,66,21,0,0,66
410670319152027,11,34,11,0,0,34
410670319161028,9,37,7,0,0,37
410710302023046,3,3,3,0,0,3
410579604013111,0,0,0,0,0,0
410579604021016,3,9,0,0,0,9
410599505003088,0,0,0,0,0,0
410599505003221,0,0,0,0,0,0
410619701001223,0,0,0,0,0,0
410619701002033,6,26,6,0,0,26
410639601002040,0,0,0,0,0,0
410639601002076,4,0,0,0,0,0
410639601002128,0,0,0,0,0,0
410659708001222,3,6,0,0,0,6
410659708002061,3,6,2,0,0,6
410659708002114,5,4,5,0,0,4
410670331011027,7,19,7,0,0,19
410670314032013,16,44,12,0,0,44
410670314033025,28,54,28,0,0,54
410670314043009,0,0,0,0,0,0
410670315041009,16,49,16,0,0,49
410670319183003,18,47,18,0,0,47
410670320013016,1,11,1,0,0,11
410710303033015,26,85,24,0,0,85
410579604023030,14,50,14,0,0,50
410599506011044,10,33,9,0,0,33
410599506013031,20,31,20,0,0,31
410619701003057,5,6,5,0,0,6
410619701004049,0,0,0,0,0,0
410639601002199,0,0,0,0,0,0
410639601002231,5,3,2,0,0,3
410639601002283,45,96,43,0,0,96
410659708002146,0,0,0,0,0,0
410659708002216,0,0,0,0,0,0
410659708003019,0,0,0,0,0,0
410670331021031,10,34,10,0,0,34
410670332013000,214,231,184,0,14,217
410670315041014,1,8,1,0,0,8
410670315061006,50,104,50,0,0,104
410670315072004,32,57,32,0,0,57
410670315091015,13,32,8,0,0,32
410670320051005,0,0,0,0,0,0
410670321042005,108,273,108,0,0,273
410710303044019,6,21,6,0,0,21
410710304001051,1,7,0,0,0,7
410599506022007,35,99,31,0,0,99
410619701004081,4,9,4,0,0,9
410619702001048,4,14,4,0,0,14
410619702002019,31,60,31,0,0,60
410639601002355,0,0,0,0,0,0
410639601002393,0,0,0,0,0,0
410639601002445,0,0,0,0,0,0
410659708003064,0,0,0,0,0,0
410659708003128,0,0,0,0,0,0
410659708003181,0,0,0,0,0,0
410670333012010,87,116,87,0,0,116
410670333014028,22,74,22,0,0,74
410670333021028,13,35,13,0,0,35
410670315092008,18,79,18,0,0,79
410670315093044,11,44,11,0,0,44
410670315111001,116,349,109,0,0,349
410670321071026,14,49,14,0,0,49
410670321083004,58,157,55,0,0,157
410670321092018,24,69,24,0,0,69
410710304002079,0,0,0,0,0,0
410710304003027,7,21,7,0,0,21
410619702002057,4,12,4,0,0,12
410619702003034,2,6,2,0,0,6
410619702003087,0,0,0,0,0,0
410639602001047,0,0,0,0,0,0
410639602001092,3,6,3,0,0,6
410639602001144,2,4,2,0,0,4
410659708003232,0,0,0,0,0,0
410659708003289,8,30,7,0,0,30
410659708004025,0,0,0,0,0,0
410670333023031,0,0,0,0,0,0
410670315144005,7,31,7,0,0,31
410670315153006,9,31,9,0,0,31
410670315172010,164,263,157,0,0,263
410670321101043,0,0,0,0,0,0
410670321112005,22,65,22,0,0,65
410670321121024,0,0,0,0,0,0
410710304004070,5,15,5,0,0,15
410710304005034,8,13,8,0,0,13
410619702003152,0,0,0,0,0,0
410619702003205,0,0,0,0,0,0
410619702003251,4,10,4,0,0,10
410639602002050,0,0,0,0,0,0
410639602002102,2,3,2,0,0,3
410639602002162,0,0,0,0,0,0
410659708004097,2,0,0,0,0,0
410659708004150,12,8,12,0,0,8
410659708004181,0,0,0,0,0,0
410670315191013,8,29,8,0,0,29
410670315192042,17,51,17,0,0,51
410670315201015,27,85,27,0,0,85
410670322011002,98,300,98,0,0,300
410670322012023,3,13,3,0,0,13
410670322022005,9,16,9,0,0,16
410710304005093,1,6,1,0,0,6
410559501001014,1,5,1,0,0,5
410710305012049,3,10,3,0,0,10
410619702003328,0,0,0,0,0,0
410619703001045,2,6,2,0,0,6
410639602002191,0,0,0,0,0,0
410639602002225,0,0,0,0,0,0
410639602002277,3,1,3,0,0,1
410659708004204,0,0,0,0,0,0
410659708004273,0,0,0,0,0,0
410659708004291,0,0,0,0,0,0
410670336002005,0,0,0,0,0,0
410670315202032,0,0,0,0,0,0
410670316062000,114,232,114,0,0,232
410670316121010,29,96,21,0,0,96
410670316142005,24,65,24,0,0,65
410670322023033,1,13,1,0,0,13
410670323022008,12,43,12,0,0,43
410559501001132,5,6,0,0,0,6
410559501002027,0,0,0,0,0,0
410619703001076,1,5,1,0,0,5
410619703002024,9,22,9,0,0,22
410619703002077,0,0,0,0,0,0
410639602002347,2,6,2,0,0,6
410639602002388,1,1,1,0,0,1
410639603001007,0,0,0,0,0,0
410670301041015,47,113,47,0,0,113
410670301043017,14,49,14,0,0,49
410670301062006,0,0,0,0,0,0
410699601001046,0,0,0,0,0,0
410699601001098,3,7,3,0,0,7
410670316151007,0,0,0,0,0,0
410670316153006,19,59,19,0,0,59
410670316173004,0,0,0,0,0,0
410670323024019,31,97,31,0,0,97
410670324044003,54,193,54,7,17,169
410670324072007,34,115,34,0,0,115
410710305021052,0,0,0,0,0,0
410559501002131,0,0,0,0,0,0
410599512012029,0,0,0,0,0,0
410619704001025,6,19,6,0,0,19
410619704002019,63,102,63,0,0,102
410639603001069,0,0,0,0,0,0
410639603001107,1,3,1,0,0,3
410639603003002,1,5,1,0,0,5
410699601001201,0,0,0,0,0,0
410699601002041,0,0,0,0,0,0
410670316182012,80,160,69,0,0,160
410670316191014,12,34,12,0,0,34
410670316201013,38,109,36,0,0,109
410670324102010,15,58,12,0,13,45
410670324122001,65,212,65,0,1,211
410670324132004,13,42,13,0,0,42
410710305023004,15,96,15,0,44,52
410579601012021,35,9,4,0,0,9
410579601012063,15,11,0,0,0,11
410579601013033,0,0,0,0,0,0
410599512022028,15,40,15,0,0,40
410599512023054,0,0,0,0,0,0
410619704002043,13,25,13,0,0,25
410619705001032,4,18,4,0,0,18
410619705003009,6,12,6,0,0,12
410639603003066,1,1,1,0,0,1
410639603004020,0,0,0,0,0,0
410639603004086,0,0,0,0,0,0
410670304012018,8,32,8,0,0,32
410670304021006,0,0,0,0,0,0
410699601002141,1,2,1,0,0,2
410699601002193,3,5,3,0,0,5
410670316221007,21,62,21,0,0,62
410670316231016,0,0,0,0,0,0
410670316243010,0,0,0,0,0,0
410670324143014,13,39,13,0,0,39
410670325012002,0,0,0,0,0,0
410670325013049,10,26,10,0,0,26
410710306012018,16,36,16,0,0,36
410579601021084,0,0,0,0,0,0
410579601021134,27,19,19,0,0,19
410619705003035,1,2,1,0,0,2
410619706001016,4,12,4,0,0,12
410619706002014,0,0,0,0,0,0
410659701001068,0,0,0,0,0,0
410659701003001,21,32,21,0,0,32
410659702002006,19,45,19,0,0,45
410670305011012,0,0,0,0,0,0
410670305013007,12,42,12,0,0,42
410670305022003,0,0,0,0,0,0
410699601002299,0,0,0,0,0,0
410699601002351,0,0,0,0,0,0
410670317031004,36,122,36,0,0,122
410670317033015,0,0,0,0,0,0
410670317062010,24,93,24,0,0,93
410670325031015,13,42,13,0,0,42
410670326033013,82,231,82,0,0,231
410670326035041,0,0,0,0,0,0
410579601022020,10,15,10,0,0,15
410579601022074,13,1,0,0,0,1
410599502012015,7,6,7,0,0,6
410599502013028,24,55,24,0,0,55
410619706002037,0,0,0,0,0,0
410619706002111,0,0,0,0,0,0
410619706002164,0,0,0,0,0,0
410659702003028,24,25,20,0,0,25
410659703001010,2,5,2,0,0,5
410659703003012,11,31,11,0,0,31
410670308011018,158,348,158,0,0,348
410670317073020,23,52,23,0,0,52
410670318041006,18,54,18,0,0,54
410670318061008,37,124,37,0,11,113
410670326043013,0,0,0,0,0,0
410670326044034,7,29,7,0,0,29
410670326062005,50,175,50,0,0,175
410710307031053,42,99,42,0,0,99
410599502023008,4,20,4,0,0,20
410599502024009,26,66,26,0,0,66
410619706002194,0,0,0,0,0,0
410619706002270,0,0,0,0,0,0
410619706002323,0,0,0,0,0,0
410659704001010,0,0,0,0,0,0
410659704002010,8,22,8,0,0,22
410659705001014,21,42,15,0,0,42
410670308014011,18,60,18,0,0,60
410670308033011,16,51,12,0,0,51
410670308061001,78,188,78,0,0,188
410670318072001,44,91,42,0,0,91
410670318132007,117,404,117,0,0,404
410670318141009,61,149,61,0,0,149
410670326082005,22,74,14,0,0,74
410670326101000,49,175,44,0,0,175
410670326122004,2,16,0,0,0,16
410619706002369,0,0,0,0,0,0
410619706002433,0,0,0,0,0,0
410619706003025,8,16,8,0,0,16
410659705003023,91,237,87,0,0,237
410659706001032,0,0,0,0,0,0
410659706001081,0,0,0,0,0,0
410670310052006,6,20,4,0,0,20
410670310072008,63,180,63,0,0,180
410670318163006,29,71,29,0,0,71
410670318182002,150,319,150,0,0,319
410670318202006,119,237,119,0,0,237
410710309001036,4,29,4,0,0,29
410710309002003,0,0,0,0,0,0
410619707001018,10,13,10,0,0,13
410619707002037,5,5,5,0,0,5
410659706002004,24,28,11,0,0,28
410659706002057,13,44,13,0,0,44
410659707001023,0,0,0,0,0,0
410659707001057,0,0,0,0,0,0
410670329011037,3,9,3,0,0,9
410670310084014,18,56,16,0,0,56
410670310101004,18,53,18,0,0,53
410670311001014,24,65,19,0,0,65
410670319091001,0,0,0,0,0,0
410670319092014,13,51,13,0,0,51
410670319111014,13,52,13,0,0,52
410710309002061,13,38,13,0,0,38
410710310001018,12,29,11,0,0,29
410710310002014,2,17,2,0,0,17
410579604011030,0,0,0,0,0,0
410579604012018,0,0,0,0,0,0
410619708003035,18,37,8,0,0,37
410619708004047,0,0,0,0,0,0
410659707001084,0,0,0,0,0,0
410659707002030,4,14,4,0,0,14
410659708001029,11,20,11,0,0,20
410670329013006,5,15,5,0,0,15
410670329031026,19,54,19,0,0,54
410670311002010,2,6,2,0,0,6
410670312012011,8,17,8,0,0,17
410670312021006,14,52,14,0,0,52
410670313012001,23,68,14,0,0,68
410670319122011,55,154,55,0,0,154
410670319141004,13,36,11,0,0,36
410670319144016,8,25,8,0,0,25
410710310002075,0,0,0,0,0,0
410579604012064,0,0,0,0,0,0
410579604013002,0,0,0,0,0,0
410599504005007,1,17,0,0,0,17
410619701001064,0,0,0,0,0,0
410619701001117,0,0,0,0,0,0
410639601001000,11,17,9,0,0,17
410639601001028,0,0,0,0,0,0
410639601001080,13,14,13,0,0,14
410659708001061,0,0,0,0,0,0
410659708001135,3,6,3,0,0,6
410659708001188,2,1,0,0,0,1
410670329043008,1,14,1,0,0,14
410670313021015,0,0,0,0,0,0
410670313022009,11,32,11,0,0,32
410099702022080,9,17,8,0,0,17
410110005021073,1,7,0,0,0,7
410119901010006,0,0,0,0,0,0
410159501003029,17,29,13,0,13,16
410170008005009,6,43,6,0,0,43
410170008005035,12,32,12,0,0,32
410191400001018,0,0,0,0,0,0
410190300002105,0,0,0,0,0,0
410190300002133,9,21,9,0,0,21
410099703002023,12,21,9,0,0,21
410110007011007,1,17,1,0,0,17
410139501021183,2,6,2,0,0,6
410159502022003,0,0,0,0,0,0
410191700003021,6,16,4,0,0,16
410139502001087,3,16,3,0,0,16
410139502003006,0,0,0,0,0,0
410139502003046,8,23,8,0,0,23
410190700001018,61,144,61,0,1,143
410019502002029,0,0,0,0,0,0
410050229051014,28,95,28,0,0,95
410050229052029,0,0,0,0,0,0
410050229042006,82,238,82,0,0,238
410019502002060,7,16,7,0,0,16
410019502003034,11,34,11,0,0,34
410019503001035,7,13,7,0,0,13
410050221053011,23,84,23,0,0,84
410050229072000,1,10,1,0,0,10
410050230021002,0,0,0,0,0,0
410030108003045,4,13,4,0,0,13
410030109001040,3,15,3,0,0,15
410050221051009,28,71,28,0,0,71
410050229061027,1,1,1,0,0,1
410019503002090,1,4,0,0,0,4
410019503002143,0,0,0,0,0,0
410050221082037,1,14,1,0,0,14
410030109003017,33,76,31,0,0,76
410050201012021,3,25,1,0,0,25
410050221073002,0,0,0,0,0,0
410050221081022,1,12,0,0,0,12
410050231001010,132,348,131,0,0,348
410019503003019,0,0,0,0,0,0
410019503003072,1,2,0,0,0,2
410050221102036,18,55,18,0,0,55
410050201022038,7,9,7,0,0,9
410050202011010,5,13,5,0,0,13
410050221091021,21,40,21,0,0,40
410050221101012,4,16,4,0,0,16
410019503003166,11,29,11,0,0,29
410019504001018,28,46,24,0,0,46
410019506003351,0,0,0,0,0,0
410050222064015,24,63,24,0,0,63
410050222072013,12,19,12,0,0,19
410333616021057,26,55,26,0,0,55
410192000001058,30,70,30,0,0,70
410192000001110,0,0,0,0,0,0
410239601001102,0,0,0,0,0,0
410239601001166,0,0,0,0,0,0
410239601001219,6,7,6,0,0,7
410279501003038,26,80,20,0,5,75
410279501004038,10,30,10,0,0,30
