"PUMA20","PUMA10","Percentage"
"00301","00600","100"
"00501","01317","18"
"00501","01318","82"
"00502","01317","4"
"00502","01318","96"
"00503","01317","86"
"00503","01319","14"
"00504","01319","100"
"01701","00400","100"
"01702","00200","36"
"01702","00400","64"
"01900","01000","100"
"02901","00901","100"
"02902","00902","100"
"03903","00703","100"
"03904","00704","100"
"03905","00705","100"
"04301","00600","100"
"04703","01103","100"
"04704","01104","100"
"04705","01105","100"
"05101","01301","100"
"05102","01302","100"
"05103","01303","100"
"05105","01305","100"
"05114","01314","100"
"05116","01316","100"
"05901","00100","100"
"06501","00100","27"
"06501","00200","73"
"06720","01320","100"
"06721","01314","1"
"06721","01321","99"
"06722","01322","100"
"06723","01323","100"
"06724","01324","100"
"07100","01200","100"
"09000","00500","100"
"09100","00800","100"
"09200","00300","100"
"09300","00500","37"
"09300","01200","63"
