"GEOID","NAME","POPW_E","POPW_M","W0_E","W0_M","W1_E","W1_M","W2_E","W2_M","W3_E","W3_M","OCCP_E","OCCP_M","OCCP_1_E","OCCP_1_M","OCCP_2_E","OCCP_2_M","OCCP_3_E","OCCP_3_M","OCCP_4_E","OCCP_4_M","OCCP_5_E","OCCP_5_M","OCCP_6_E","OCCP_6_M"
"41001950100","Census Tract 9501; Baker County; Oregon",1165,123,620,93,333,104,185,62,27,22,818,157,418,112,141,70,87,52,102,50,70,33,0,13
"41001950200","Census Tract 9502; Baker County; Oregon",1414,139,560,129,507,142,329,108,18,20,1358,231,466,134,351,127,282,111,112,67,147,90,0,13
"41001950300","Census Tract 9503; Baker County; Oregon",1242,127,681,138,318,88,187,78,56,43,935,203,349,118,112,70,152,68,85,46,237,116,0,13
"41001950400","Census Tract 9504; Baker County; Oregon",1257,132,454,117,460,114,274,77,69,68,1286,237,504,123,209,105,333,171,81,79,159,90,0,13
"41001950500","Census Tract 9505; Baker County; Oregon",1022,129,420,100,354,117,248,86,0,13,905,240,379,116,256,130,75,57,166,118,29,26,0,13
"41001950600","Census Tract 9506; Baker County; Oregon",904,105,418,73,291,82,184,56,11,14,834,177,282,72,209,97,155,87,124,44,64,38,0,13
"41003000101","Census Tract 1.01; Benton County; Oregon",1649,132,320,110,805,185,479,132,45,38,1862,234,927,194,250,114,272,113,168,88,245,97,0,13
"41003000102","Census Tract 1.02; Benton County; Oregon",1245,161,222,92,336,155,520,131,167,124,1953,348,1006,221,358,212,378,172,0,13,211,110,0,13
"41003000202","Census Tract 2.02; Benton County; Oregon",2561,266,610,138,916,209,882,242,153,99,3301,580,1967,432,545,275,442,177,29,36,318,177,0,19
"41003000401","Census Tract 4.01; Benton County; Oregon",1245,239,443,226,351,121,423,121,28,35,1318,216,848,173,236,127,160,96,56,43,18,23,0,13
"41003000402","Census Tract 4.02; Benton County; Oregon",2153,209,606,130,718,179,746,195,83,60,2482,392,1469,265,369,127,489,264,20,37,135,79,0,19
"41003000500","Census Tract 5; Benton County; Oregon",1379,136,554,108,324,75,445,119,56,32,1414,240,862,149,281,121,138,91,72,36,61,55,0,13
"41003000600","Census Tract 6; Benton County; Oregon",2062,222,759,180,781,236,469,140,53,53,2084,339,919,301,419,131,468,170,73,69,205,112,0,13
"41003000900","Census Tract 9; Benton County; Oregon",2726,260,832,189,1110,285,589,154,195,128,3090,504,1805,383,511,211,533,219,106,95,135,95,0,19
"41003001001","Census Tract 10.01; Benton County; Oregon",1880,193,565,158,770,162,447,153,98,86,1962,304,563,187,607,213,409,136,202,161,181,145,0,13
"41003001002","Census Tract 10.02; Benton County; Oregon",1441,158,365,113,577,152,331,110,168,81,1850,356,1060,240,265,114,266,122,139,91,120,57,0,13
"41003001101","Census Tract 11.01; Benton County; Oregon",1435,163,283,113,607,129,404,128,141,69,2205,364,910,199,675,216,436,153,15,18,169,77,0,13
"41003001102","Census Tract 11.02; Benton County; Oregon",1995,251,600,222,797,226,406,114,192,158,2466,549,1045,280,529,172,555,236,100,110,237,149,0,13
"41003010101","Census Tract 101.01; Benton County; Oregon",1536,212,524,151,567,155,281,94,164,102,1668,254,803,202,267,122,297,91,118,66,183,120,0,13
"41003010102","Census Tract 101.02; Benton County; Oregon",2416,173,601,123,609,149,1041,207,165,84,3280,384,1817,343,521,174,519,188,268,124,155,87,0,19
"41003010200","Census Tract 102; Benton County; Oregon",1740,240,632,231,407,92,585,102,116,54,2086,278,1216,208,276,79,320,129,135,52,139,47,0,13
"41003010300","Census Tract 103; Benton County; Oregon",1427,167,495,93,611,160,260,70,61,35,1318,227,400,112,185,71,227,75,376,194,130,56,0,13
