ACSOrder,UniqueID,TableName,Description,ShortName
,B01003_001,TOTAL POPULATION,Total,POP
,B09019_002,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP,In households,POP_HH
,B09019_026,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP,In group quarters,POP_GQ
,B11016_001,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Total,HHT
,B11016_002,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households,FHHT
,B11016_003,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households : 2-person household,FHHS2
,B11016_004,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households : 3-person household,FHHS3
,B11016_005,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households : 4-person household,FHHS4
,B11016_006,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households : 5-person household,FHHS5
,B11016_007,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households : 6-person household,FHHS6
,B11016_008,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Family households : 7-or-more person household,FHHS7
,B11016_009,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households,NFHHT
,B11016_010,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 1-person household,NFHHS1
,B11016_011,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 2-person household,NFHHS2
,B11016_012,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 3-person household,NFHHS3
,B11016_013,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 4-person household,NFHHS4
,B11016_014,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 5-person household,NFHHS5
,B11016_015,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 6-person household,NFHHS6
,B11016_016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,Nonfamily households : 7-or-more person household,NFHHS7
,B19037_001,,,HHAGET
,B19037_002,AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS),Householder under 25 years,HHAGE1
