GEOID,NAME,HH,POP,HH_Occ,GQ_Inst,GQ_Non
530110417001023,"Block 1023, Block Group 1, Census Tract 417, Clark County, Washington",14,31,14,0,0
530110417001024,"Block 1024, Block Group 1, Census Tract 417, Clark County, Washington",12,37,12,0,0
530110417001026,"Block 1026, Block Group 1, Census Tract 417, Clark County, Washington",7,22,7,0,0
530110417001027,"Block 1027, Block Group 1, Census Tract 417, Clark County, Washington",13,53,13,0,26
530110417001029,"Block 1029, Block Group 1, Census Tract 417, Clark County, Washington",4,18,4,0,0
530110417001030,"Block 1030, Block Group 1, Census Tract 417, Clark County, Washington",7,17,7,0,7
530110417002001,"Block 2001, Block Group 2, Census Tract 417, Clark County, Washington",13,49,13,0,0
530110417002002,"Block 2002, Block Group 2, Census Tract 417, Clark County, Washington",12,27,12,0,0
530110417002004,"Block 2004, Block Group 2, Census Tract 417, Clark County, Washington",32,73,32,0,0
530110417002005,"Block 2005, Block Group 2, Census Tract 417, Clark County, Washington",40,90,40,0,0
530110417002006,"Block 2006, Block Group 2, Census Tract 417, Clark County, Washington",20,43,20,0,0
530110417002008,"Block 2008, Block Group 2, Census Tract 417, Clark County, Washington",26,56,26,0,0
530110417002009,"Block 2009, Block Group 2, Census Tract 417, Clark County, Washington",9,30,9,0,0
530110417002011,"Block 2011, Block Group 2, Census Tract 417, Clark County, Washington",0,0,0,0,0
530110417002012,"Block 2012, Block Group 2, Census Tract 417, Clark County, Washington",32,54,28,0,0
530110417002014,"Block 2014, Block Group 2, Census Tract 417, Clark County, Washington",9,25,9,0,0
530110417002015,"Block 2015, Block Group 2, Census Tract 417, Clark County, Washington",10,23,10,0,0
530110417002017,"Block 2017, Block Group 2, Census Tract 417, Clark County, Washington",0,0,0,0,0
530110417002018,"Block 2018, Block Group 2, Census Tract 417, Clark County, Washington",88,186,78,0,0
530110417002019,"Block 2019, Block Group 2, Census Tract 417, Clark County, Washington",305,580,305,0,0
530110417002022,"Block 2022, Block Group 2, Census Tract 417, Clark County, Washington",36,80,36,0,0
530110417002024,"Block 2024, Block Group 2, Census Tract 417, Clark County, Washington",4,29,4,0,0
530110417002025,"Block 2025, Block Group 2, Census Tract 417, Clark County, Washington",12,35,12,0,0
530110417002027,"Block 2027, Block Group 2, Census Tract 417, Clark County, Washington",10,18,10,0,0
530110417002028,"Block 2028, Block Group 2, Census Tract 417, Clark County, Washington",11,36,11,0,0
530110417002029,"Block 2029, Block Group 2, Census Tract 417, Clark County, Washington",8,27,8,0,0
530110418001000,"Block 1000, Block Group 1, Census Tract 418, Clark County, Washington",0,0,0,0,0
530110418001001,"Block 1001, Block Group 1, Census Tract 418, Clark County, Washington",200,405,197,0,0
530110418001002,"Block 1002, Block Group 1, Census Tract 418, Clark County, Washington",15,26,15,0,0
530110418001003,"Block 1003, Block Group 1, Census Tract 418, Clark County, Washington",24,56,24,0,0
530110418001004,"Block 1004, Block Group 1, Census Tract 418, Clark County, Washington",15,50,15,0,0
530110418001005,"Block 1005, Block Group 1, Census Tract 418, Clark County, Washington",15,32,14,0,0
