"BLOCK","BG","TRACT","PUMA","REGION"
530110413212001,"530110413212","53011041321",11103,1
530110405121013,"530110405121","53011040512",11103,1
530110405121025,"530110405121","53011040512",11103,1
530110406042013,"530110406042","53011040604",11103,1
530110413253006,"530110413253","53011041325",11103,1
530110405121028,"530110405121","53011040512",11103,1
530110413331019,"530110413331","53011041333",11103,1
530110413284003,"530110413284","53011041328",11103,1
530110405102012,"530110405102","53011040510",11103,1
530110413351020,"530110413351","53011041335",11103,1
530110406051007,"530110406051","53011040605",11103,1
530110406051000,"530110406051","53011040605",11103,1
530110405132017,"530110405132","53011040513",11103,1
530110405131004,"530110405131","53011040513",11103,1
530110406102003,"530110406102","53011040610",11103,1
530110413321019,"530110413321","53011041332",11103,1
530110406042032,"530110406042","53011040604",11103,1
530110406041009,"530110406041","53011040604",11103,1
530110414002011,"530110414002","53011041400",11103,1
530110413232001,"530110413232","53011041323",11103,1
530110405072005,"530110405072","53011040507",11103,1
530110406042017,"530110406042","53011040604",11103,1
530110413201001,"530110413201","53011041320",11103,1
530110413202001,"530110413202","53011041320",11103,1
530110414003028,"530110414003","53011041400",11103,1
530110415003011,"530110415003","53011041500",11103,1
530110413283015,"530110413283","53011041328",11103,1
530110413303000,"530110413303","53011041330",11103,1
530110406052010,"530110406052","53011040605",11103,1
530110413293008,"530110413293","53011041329",11103,1
530110413101004,"530110413101","53011041310",11103,1
530110406042023,"530110406042","53011040604",11103,1
530110413201017,"530110413201","53011041320",11103,1
530110405091018,"530110405091","53011040509",11103,1
530110415003013,"530110415003","53011041500",11103,1
530110414003026,"530110414003","53011041400",11103,1
530110414002007,"530110414002","53011041400",11103,1
530110405102008,"530110405102","53011040510",11103,1
530110405132010,"530110405132","53011040513",11103,1
530110405101010,"530110405101","53011040510",11103,1
530110413102001,"530110413102","53011041310",11103,1
530110414002033,"530110414002","53011041400",11103,1
530110414001012,"530110414001","53011041400",11103,1
530110413353003,"530110413353","53011041335",11103,1
530110413351018,"530110413351","53011041335",11103,1
530110415003029,"530110415003","53011041500",11103,1
530110413352013,"530110413352","53011041335",11103,1
530110413261005,"530110413261","53011041326",11103,1
530110405104027,"530110405104","53011040510",11103,1
530110413202011,"530110413202","53011041320",11103,1
530110413281004,"530110413281","53011041328",11103,1
530110406054005,"530110406054","53011040605",11103,1
530110413252014,"530110413252","53011041325",11103,1
530110413353032,"530110413353","53011041335",11103,1
530110421002008,"530110421002","53011042100",11101,2
530110424001019,"530110424001","53011042400",11101,2
530110423001016,"530110423001","53011042300",11101,2
530110423001012,"530110423001","53011042300",11101,2
530110425001001,"530110425001","53011042500",11101,2
530110431004008,"530110431004","53011043100",11101,2
530110431001008,"530110431001","53011043100",11101,2
530110416002008,"530110416002","53011041600",11101,2
530110410111020,"530110410111","53011041011",11101,2
530110424002005,"530110424002","53011042400",11101,2
530110413371015,"530110413371","53011041337",11101,2
530110423003008,"530110423003","53011042300",11101,2
530110423001019,"530110423001","53011042300",11101,2
530110412052000,"530110412052","53011041205",11101,2
530110428001021,"530110428001","53011042800",11101,2
530110424001034,"530110424001","53011042400",11101,2
530110420001004,"530110420001","53011042000",11101,2
530110430001015,"530110430001","53011043000",11101,2
530110430001013,"530110430001","53011043000",11101,2
530110419002010,"530110419002","53011041900",11101,2
530110426022008,"530110426022","53011042602",11101,2
530110419001035,"530110419001","53011041900",11101,2
530110412033009,"530110412033","53011041203",11101,2
530110416002007,"530110416002","53011041600",11101,2
530110413121003,"530110413121","53011041312",11101,2
530110421002020,"530110421002","53011042100",11101,2
530110421001004,"530110421001","53011042100",11101,2
530110412063001,"530110412063","53011041206",11101,2
530110413171016,"530110413171","53011041317",11101,2
530110431004005,"530110431004","53011043100",11101,2
530110412061003,"530110412061","53011041206",11101,2
530110425001022,"530110425001","53011042500",11101,2
530110423002001,"530110423002","53011042300",11101,2
530110418002006,"530110418002","53011041800",11101,2
530110421002032,"530110421002","53011042100",11101,2
530110423002013,"530110423002","53011042300",11101,2
530110413171010,"530110413171","53011041317",11101,2
530110412072008,"530110412072","53011041207",11101,2
530110412063016,"530110412063","53011041206",11101,2
530110419002011,"530110419002","53011041900",11101,2
530110423003002,"530110423003","53011042300",11101,2
530110417001014,"530110417001","53011041700",11101,2
530110429001022,"530110429001","53011042900",11101,2
530110418003044,"530110418003","53011041800",11101,2
530110417001001,"530110417001","53011041700",11101,2
530110421001003,"530110421001","53011042100",11101,2
530110410032014,"530110410032","53011041003",11101,2
530110410032006,"530110410032","53011041003",11101,2
530110417001003,"530110417001","53011041700",11101,2
530110421001026,"530110421001","53011042100",11101,2
530110419002029,"530110419002","53011041900",11101,2
530110423002010,"530110423002","53011042300",11101,2
530110418001009,"530110418001","53011041800",11101,2
530110412061009,"530110412061","53011041206",11101,2
530110412071012,"530110412071","53011041207",11101,2
530110426011047,"530110426011","53011042601",11101,2
530110420001014,"530110420001","53011042000",11101,2
530110419002013,"530110419002","53011041900",11101,2
530110426011043,"530110426011","53011042601",11101,2
530110425002030,"530110425002","53011042500",11101,2
530110426011037,"530110426011","53011042601",11101,2
530110412063021,"530110412063","53011041206",11101,2
530110402031005,"530110402031","53011040203",11104,3
530110407091010,"530110407091","53011040709",11104,3
530110404031023,"530110404031","53011040403",11104,3
530110401011034,"530110401011","53011040101",11104,3
530110404072023,"530110404072","53011040407",11104,3
530110407152000,"530110407152","53011040715",11104,3
530110403011019,"530110403011","53011040301",11104,3
530110402033032,"530110402033","53011040203",11104,3
530110403032022,"530110403032","53011040303",11104,3
530110403032023,"530110403032","53011040303",11104,3
530110401011038,"530110401011","53011040101",11104,3
530110402012029,"530110402012","53011040201",11104,3
530110402011024,"530110402011","53011040201",11104,3
530110407032011,"530110407032","53011040703",11104,3
530110409051002,"530110409051","53011040905",11104,3
530110401014010,"530110401014","53011040101",11104,3
530110402021033,"530110402021","53011040202",11104,3
530110403033013,"530110403033","53011040303",11104,3
530110401022002,"530110401022","53011040102",11104,3
530110404142026,"530110404142","53011040414",11104,3
530110405041056,"530110405041","53011040504",11104,3
530110402033015,"530110402033","53011040203",11104,3
530110407031007,"530110407031","53011040703",11104,3
530110403032012,"530110403032","53011040303",11104,3
530110407122000,"530110407122","53011040712",11104,3
530110405111004,"530110405111","53011040511",11104,3
530150015012033,"530150015012","53015001501",11104,3
530110407133014,"530110407133","53011040713",11104,3
530110401023028,"530110401023","53011040102",11104,3
530110403052024,"530110403052","53011040305",11104,3
530110406032006,"530110406032","53011040603",11104,3
530110404072013,"530110404072","53011040407",11104,3
530110404032021,"530110404032","53011040403",11104,3
530110404144014,"530110404144","53011040414",11104,3
530110404151036,"530110404151","53011040415",11104,3
530110406034014,"530110406034","53011040603",11104,3
530110405041048,"530110405041","53011040504",11104,3
530110401011040,"530110401011","53011040101",11104,3
530110404143001,"530110404143","53011040414",11104,3
530110402033031,"530110402033","53011040203",11104,3
530110403041020,"530110403041","53011040304",11104,3
530110407133001,"530110407133","53011040713",11104,3
530110405052020,"530110405052","53011040505",11104,3
530110405112004,"530110405112","53011040511",11104,3
530110404032008,"530110404032","53011040403",11104,3
530110403032025,"530110403032","53011040303",11104,3
530110401012013,"530110401012","53011040101",11104,3
530110402033044,"530110402033","53011040203",11104,3
530110405053002,"530110405053","53011040505",11104,3
530110404141000,"530110404141","53011040414",11104,3
530110404032005,"530110404032","53011040403",11104,3
530110407142006,"530110407142","53011040714",11104,3
530110407034011,"530110407034","53011040703",11104,3
530110402011014,"530110402011","53011040201",11104,3
530110407062003,"530110407062","53011040706",11104,3
530110402031026,"530110402031","53011040203",11104,3
530110405053000,"530110405053","53011040505",11104,3
530110401012018,"530110401012","53011040101",11104,3
530110404143018,"530110404143","53011040414",11104,3
530110401012012,"530110401012","53011040101",11104,3
530110406031002,"530110406031","53011040603",11104,3
530110403012023,"530110403012","53011040301",11104,3
530110401023012,"530110401023","53011040102",11104,3
530110404082008,"530110404082","53011040408",11104,3
530110409084011,"530110409084","53011040908",11102,4
530110409083024,"530110409083","53011040908",11102,4
530110408062006,"530110408062","53011040806",11102,4
530110408112023,"530110408112","53011040811",11102,4
530110408033009,"530110408033","53011040803",11102,4
530110408102016,"530110408102","53011040810",11102,4
530110404122010,"530110404122","53011040412",11102,4
530110409071002,"530110409071","53011040907",11102,4
530110409073012,"530110409073","53011040907",11102,4
530110409094003,"530110409094","53011040909",11102,4
530110408081040,"530110408081","53011040808",11102,4
530110404112007,"530110404112","53011040411",11102,4
530110410071005,"530110410071","53011041007",11102,4
530110411122009,"530110411122","53011041112",11102,4
530110411124003,"530110411124","53011041112",11102,4
530110410081007,"530110410081","53011041008",11102,4
530110410071012,"530110410071","53011041007",11102,4
530110404111001,"530110404111","53011040411",11102,4
530110411122011,"530110411122","53011041112",11102,4
530110410102013,"530110410102","53011041010",11102,4
530110409071018,"530110409071","53011040907",11102,4
530110409072020,"530110409072","53011040907",11102,4
530110409101032,"530110409101","53011040910",11102,4
530110408112005,"530110408112","53011040811",11102,4
530110408031020,"530110408031","53011040803",11102,4
530110410082008,"530110410082","53011041008",11102,4
530110404091021,"530110404091","53011040409",11102,4
530110411144000,"530110411144","53011041114",11102,4
530110409084004,"530110409084","53011040908",11102,4
530110410091002,"530110410091","53011041009",11102,4
530110410091010,"530110410091","53011041009",11102,4
530110411052001,"530110411052","53011041105",11102,4
530110408063021,"530110408063","53011040806",11102,4
530110410091000,"530110410091","53011041009",11102,4
530110408033001,"530110408033","53011040803",11102,4
530110411103010,"530110411103","53011041110",11102,4
530110408032014,"530110408032","53011040803",11102,4
