GEOID,NAME,POPW_E,POPW_M,W0_E,W0_M,W1_E,W1_M,W2_E,W2_M,W3_E,W3_M,OCCP_E,OCCP_M,OCCP_1_E,OCCP_1_M,OCCP_2_E,OCCP_2_M,OCCP_3_E,OCCP_3_M,OCCP_4_E,OCCP_4_M,OCCP_5_E,OCCP_5_M,OCCP_6_E,OCCP_6_M
53011040101,Census Tract 401.01; Clark County; Washington,1765,172,550,152,617,137,473,153,125,67,2116,377,833,205,344,165,375,157,340,95,224,90,0,18
53011040102,Census Tract 401.02; Clark County; Washington,1076,140,313,112,420,104,284,68,59,38,1202,165,408,124,130,60,252,84,273,73,139,55,0,13
53011040201,Census Tract 402.01; Clark County; Washington,2653,336,778,205,919,311,723,186,233,105,3161,465,1019,220,437,148,659,219,638,288,383,146,25,37
53011040202,Census Tract 402.02; Clark County; Washington,1167,115,267,91,441,102,367,112,92,48,1485,256,490,115,218,78,344,127,256,83,177,71,0,13
53011040203,Census Tract 402.03; Clark County; Washington,1770,125,521,119,608,148,514,102,127,69,2107,223,853,151,244,121,475,97,262,114,273,101,0,13
53011040301,Census Tract 403.01; Clark County; Washington,672,65,187,53,166,62,233,68,86,30,921,115,499,92,104,63,192,81,39,26,87,60,0,13
53011040303,Census Tract 403.03; Clark County; Washington,2152,229,463,149,732,206,860,185,97,84,2889,418,1250,262,549,295,537,223,243,164,310,178,0,18
53011040304,Census Tract 403.04; Clark County; Washington,1053,146,354,117,315,132,333,131,51,44,1115,225,616,176,65,56,208,95,70,67,156,87,0,13
53011040305,Census Tract 403.05; Clark County; Washington,1037,126,238,121,479,176,266,115,54,52,1211,239,443,166,229,121,197,96,150,106,192,105,0,13
53011040403,Census Tract 404.03; Clark County; Washington,1512,176,362,117,597,167,454,125,99,69,1868,292,622,179,308,151,495,163,257,144,186,109,0,13
53011040407,Census Tract 404.07; Clark County; Washington,2193,290,346,100,814,184,902,252,131,82,3142,525,1107,507,369,127,523,153,427,125,716,231,0,18
53011040408,Census Tract 404.08; Clark County; Washington,1302,142,398,83,404,119,408,95,92,52,1565,234,760,167,201,87,366,142,129,78,109,68,0,13
53011040409,Census Tract 404.09; Clark County; Washington,830,62,290,57,203,56,281,64,56,30,958,113,519,86,55,36,180,66,44,33,160,53,0,13
53011040411,Census Tract 404.11; Clark County; Washington,1065,104,292,64,429,109,300,90,44,52,1188,254,600,154,136,60,206,102,85,69,161,91,0,13
53011040412,Census Tract 404.12; Clark County; Washington,2227,211,436,114,1000,183,726,174,65,51,2751,314,1297,226,431,132,615,196,107,78,301,121,0,18
53011040413,Census Tract 404.13; Clark County; Washington,1160,129,257,70,394,114,420,107,89,61,1599,245,428,107,333,101,403,123,197,103,236,83,2,6
53011040414,Census Tract 404.14; Clark County; Washington,1883,237,372,132,674,193,632,182,205,82,2664,410,1135,261,318,117,581,190,211,107,419,143,0,18
53011040415,Census Tract 404.15; Clark County; Washington,1600,239,451,149,639,235,426,117,84,47,1840,307,488,156,310,111,339,98,268,93,435,198,0,13
53011040416,Census Tract 404.16; Clark County; Washington,1346,196,285,67,486,155,459,87,116,83,1811,358,706,161,246,129,388,141,194,81,277,141,0,13
53011040504,Census Tract 405.04; Clark County; Washington,1659,131,514,118,634,135,383,115,128,72,1948,339,870,167,318,134,309,136,238,95,206,87,7,12
53011040505,Census Tract 405.05; Clark County; Washington,2050,199,642,205,761,148,401,107,246,88,2512,297,1048,188,298,123,499,169,401,127,266,91,0,18
53011040507,Census Tract 405.07; Clark County; Washington,851,146,230,73,422,164,181,58,18,15,872,179,291,103,227,149,124,45,63,35,167,72,0,13
53011040509,Census Tract 405.09; Clark County; Washington,1349,143,289,102,454,138,509,150,97,69,1968,365,657,194,439,156,322,103,205,95,345,127,0,13
53011040510,Census Tract 405.10; Clark County; Washington,2020,204,578,143,621,144,626,160,195,81,2575,360,1193,235,330,114,475,151,234,95,343,100,0,18
53011040511,Census Tract 405.11; Clark County; Washington,800,61,170,61,260,74,307,58,63,40,1163,197,574,119,167,75,197,56,110,86,115,56,0,13
53011040512,Census Tract 405.12; Clark County; Washington,806,102,111,63,293,80,380,92,22,27,1134,174,581,182,122,75,243,103,46,62,142,69,0,13
53011040513,Census Tract 405.13; Clark County; Washington,1513,179,245,94,369,123,803,169,96,47,2343,327,1047,230,290,130,789,198,158,117,59,46,0,13
53011040603,Census Tract 406.03; Clark County; Washington,1647,169,509,152,495,121,539,103,104,52,2016,250,918,207,192,91,430,103,145,79,317,109,14,18
53011040604,Census Tract 406.04; Clark County; Washington,2365,207,291,90,740,212,1074,175,260,121,3740,380,1596,339,524,177,920,246,210,98,490,162,0,18
53011040605,Census Tract 406.05; Clark County; Washington,2414,296,564,160,1065,278,664,134,121,77,2795,387,1675,252,252,110,510,252,129,75,229,108,0,18
53011040608,Census Tract 406.08; Clark County; Washington,1767,152,456,130,672,135,554,111,85,57,2035,252,1233,209,145,67,386,133,79,57,192,84,0,13
53011040609,Census Tract 406.09; Clark County; Washington,1679,183,248,94,502,124,705,181,224,78,2761,370,1524,250,379,136,456,135,50,45,352,157,0,18
53011040610,Census Tract 406.10; Clark County; Washington,1202,117,206,85,400,109,486,116,110,56,1787,252,1110,201,151,65,333,118,90,65,103,57,0,13
53011040703,Census Tract 407.03; Clark County; Washington,2224,222,366,144,701,168,953,284,204,114,3469,642,921,250,556,231,808,275,674,292,510,233,0,18
53011040706,Census Tract 407.06; Clark County; Washington,1704,304,572,314,605,113,401,111,126,80,1938,279,386,117,355,116,453,134,273,112,471,171,0,13
53011040707,Census Tract 407.07; Clark County; Washington,1130,93,214,69,318,83,478,101,120,91,1702,336,452,110,253,130,313,97,260,113,424,139,0,13
53011040709,Census Tract 407.09; Clark County; Washington,1804,156,388,86,526,115,618,131,272,88,2657,267,1168,167,491,198,407,129,210,70,381,106,0,18
53011040711,Census Tract 407.11; Clark County; Washington,1051,94,83,46,473,125,406,116,89,50,1587,225,576,135,370,132,245,91,162,77,234,96,0,13
53011040712,Census Tract 407.12; Clark County; Washington,2220,234,341,109,821,241,877,189,181,86,3287,383,1178,190,440,169,470,155,495,260,704,317,0,18
53011040713,Census Tract 407.13; Clark County; Washington,1429,180,289,89,553,160,470,180,117,57,1932,361,1056,331,229,122,282,177,59,51,306,133,0,13
53011040714,Census Tract 407.14; Clark County; Washington,2167,353,487,259,890,303,630,176,160,106,2696,463,1040,317,297,155,519,185,256,149,584,250,0,18
53011040715,Census Tract 407.15; Clark County; Washington,1016,229,247,94,418,236,284,99,67,46,1262,325,594,262,143,78,273,120,167,61,85,69,0,13
53011040803,Census Tract 408.03; Clark County; Washington,1966,173,469,97,913,177,448,101,136,88,2349,332,820,186,400,157,529,143,280,135,320,141,0,18
53011040806,Census Tract 408.06; Clark County; Washington,2097,334,516,118,637,258,639,202,305,109,2958,507,1031,311,465,187,656,140,213,94,593,259,0,18
53011040808,Census Tract 408.08; Clark County; Washington,700,66,179,51,253,77,247,74,21,16,833,135,240,69,134,61,216,82,77,33,166,52,0,13
53011040809,Census Tract 408.09; Clark County; Washington,2558,278,629,190,999,275,749,182,181,101,3062,398,1064,252,580,216,724,212,195,119,499,233,0,18
53011040810,Census Tract 408.10; Clark County; Washington,1491,208,209,68,636,216,469,114,177,104,2146,344,487,126,383,159,616,209,249,98,411,147,0,13
53011040811,Census Tract 408.11; Clark County; Washington,1213,93,391,115,461,118,262,104,99,61,1354,257,607,166,92,64,300,132,144,93,211,106,0,13
53011040812,Census Tract 408.12; Clark County; Washington,1677,166,484,114,413,110,580,148,200,133,2387,497,1029,233,272,188,498,205,310,143,278,178,0,13
53011040904,Census Tract 409.04; Clark County; Washington,2516,190,732,200,1006,270,496,160,282,125,3013,411,859,238,659,226,645,221,313,172,537,277,0,18
53011040905,Census Tract 409.05; Clark County; Washington,1430,348,336,76,649,340,337,102,108,46,1734,361,647,155,179,93,434,306,119,70,355,126,0,13
53011040907,Census Tract 409.07; Clark County; Washington,2497,281,433,171,791,255,1142,186,131,64,3505,371,2172,328,197,115,961,239,113,68,49,38,13,24
53011040908,Census Tract 409.08; Clark County; Washington,2694,451,649,191,842,212,1007,382,196,89,3604,829,1897,765,518,203,714,212,128,74,347,195,0,18
53011040909,Census Tract 409.09; Clark County; Washington,2244,188,783,179,639,195,726,162,96,65,2386,300,1258,275,405,202,247,121,229,116,247,120,0,18
53011040910,Census Tract 409.10; Clark County; Washington,1594,205,355,76,446,137,635,197,158,66,2320,379,1101,190,482,199,202,69,205,168,330,116,0,13
53011041003,Census Tract 410.03; Clark County; Washington,1682,179,433,109,728,179,459,108,62,40,1863,216,731,162,378,160,339,114,59,39,356,141,0,13
53011041005,Census Tract 410.05; Clark County; Washington,983,137,192,84,503,165,192,92,96,71,1236,241,215,103,300,130,187,99,309,133,225,121,0,13
53011041007,Census Tract 410.07; Clark County; Washington,1411,207,397,168,596,174,355,97,63,43,1555,230,664,238,218,111,352,128,100,58,221,99,0,13
53011041008,Census Tract 410.08; Clark County; Washington,1600,231,498,103,382,152,588,213,132,67,2040,442,1041,376,188,77,391,135,163,71,257,160,0,13
53011041009,Census Tract 410.09; Clark County; Washington,1791,158,572,113,714,179,453,111,52,34,1798,226,638,171,293,111,340,111,123,65,404,138,0,13
53011041010,Census Tract 410.10; Clark County; Washington,2023,152,482,125,905,179,561,144,75,52,2350,247,738,208,505,181,461,143,160,94,486,156,0,13
53011041011,Census Tract 410.11; Clark County; Washington,1393,131,346,101,481,124,472,137,94,62,1796,304,711,192,200,123,411,217,213,87,214,82,47,50
53011041104,Census Tract 411.04; Clark County; Washington,1362,143,320,84,525,141,318,102,199,75,1901,296,442,131,342,113,438,135,281,106,398,141,0,13
53011041105,Census Tract 411.05; Clark County; Washington,2389,208,630,186,856,171,725,192,178,134,2986,508,926,213,463,203,574,181,557,250,466,256,0,18
53011041107,Census Tract 411.07; Clark County; Washington,1081,131,200,72,479,129,237,88,165,98,1649,365,493,141,219,161,495,206,99,65,343,183,0,13
53011041110,Census Tract 411.10; Clark County; Washington,2893,470,544,192,814,194,1400,505,135,61,4079,941,1433,414,888,393,739,312,267,112,752,399,0,18
53011041111,Census Tract 411.11; Clark County; Washington,1454,195,206,96,686,178,420,174,142,112,1960,375,384,128,525,215,278,128,216,157,557,230,0,13
53011041112,Census Tract 411.12; Clark County; Washington,2837,320,505,151,1255,233,844,257,233,149,3720,516,1427,415,742,316,639,206,403,190,497,192,12,19
53011041113,Census Tract 411.13; Clark County; Washington,1016,149,180,72,555,164,256,143,25,40,1145,262,249,127,177,157,217,133,286,178,216,126,0,13
