FIPS (GEOID20),STATE,COUNTY,TRACT,BLOCK,POP,MAZ NO,TAZ NO
410510106022033,41,51,10602,2033,0,1,1
410510106022032,41,51,10602,2032,7,2,1
410510106022024,41,51,10602,2024,0,3,1
410510106022025,41,51,10602,2025,0,4,1
410510106022040,41,51,10602,2040,0,5,1
410510106022041,41,51,10602,2041,0,6,1
410510106022038,41,51,10602,2038,0,7,1
410510106022039,41,51,10602,2039,0,8,1
410510106022035,41,51,10602,2035,9,9,1
410510106022034,41,51,10602,2034,0,10,1
410510106022022,41,51,10602,2022,0,11,1
410510106022023,41,51,10602,2023,0,12,1
410510106022017,41,51,10602,2017,0,13,2
410510106022016,41,51,10602,2016,0,14,2
410510106022008,41,51,10602,2008,78,15,2
410510106022009,41,51,10602,2009,0,16,2
410510106022019,41,51,10602,2019,0,17,2
410510106022018,41,51,10602,2018,0,18,2
410510106022006,41,51,10602,2006,13,19,2
410510106022007,41,51,10602,2007,0,20,2
410510106021014,41,51,10602,1014,0,21,3
410510106021015,41,51,10602,1015,0,22,3
410510106021018,41,51,10602,1018,0,23,3
410510106021017,41,51,10602,1017,125,24,3
410510106021016,41,51,10602,1016,0,25,3
410510106021019,41,51,10602,1019,1,26,3
410510106021045,41,51,10602,1045,0,27,3
410510106021028,41,51,10602,1028,0,28,3
410510106021027,41,51,10602,1027,0,29,3
410510106021030,41,51,10602,1030,9,30,3
410510106021026,41,51,10602,1026,0,31,3
410510106021029,41,51,10602,1029,0,32,3
410510106021025,41,51,10602,1025,0,33,3
410510106021022,41,51,10602,1022,0,34,3
410510106021031,41,51,10602,1031,0,35,3
410510106021023,41,51,10602,1023,0,36,3
410510106021032,41,51,10602,1032,0,37,3
410510106021024,41,51,10602,1024,39,38,3
410510106021021,41,51,10602,1021,7,39,3
410510106021020,41,51,10602,1020,3,40,3
410510106021043,41,51,10602,1043,0,41,3
410510106021044,41,51,10602,1044,26,42,3
410510106021040,41,51,10602,1040,0,43,3
410510106021039,41,51,10602,1039,0,44,3
410510106021037,41,51,10602,1037,100,45,3
410510106021038,41,51,10602,1038,112,46,3
410510106021036,41,51,10602,1036,53,47,3
410510106021033,41,51,10602,1033,0,48,3
410510106021035,41,51,10602,1035,0,49,3
410510106021034,41,51,10602,1034,0,50,3
410510106021013,41,51,10602,1013,0,51,3
410510106021012,41,51,10602,1012,47,52,3
410510106021001,41,51,10602,1001,0,53,4
410510106021000,41,51,10602,1000,0,53,4
410510106021005,41,51,10602,1005,0,54,4
410510106021042,41,51,10602,1042,0,55,4
410510106021046,41,51,10602,1046,0,55,4
410510106021006,41,51,10602,1006,9,56,4
410510106021041,41,51,10602,1041,0,57,4
410510106021007,41,51,10602,1007,16,58,4
410510106021008,41,51,10602,1008,0,59,4
410510106021002,41,51,10602,1002,20,60,4
410510106021009,41,51,10602,1009,0,61,4
410510106021003,41,51,10602,1003,0,62,4
410510106021010,41,51,10602,1010,22,63,4
410510106021004,41,51,10602,1004,36,64,4
410510106021011,41,51,10602,1011,36,65,4
410510052012021,41,51,5201,2021,41,66,5
410510052012016,41,51,5201,2016,69,67,5
410510052012015,41,51,5201,2015,0,68,5
410510052012010,41,51,5201,2010,0,69,5
410510052012009,41,51,5201,2009,0,70,5
410510052012008,41,51,5201,2008,124,71,5
410510052012003,41,51,5201,2003,0,72,5
410510052012004,41,51,5201,2004,0,72,5
410510052012002,41,51,5201,2002,11,73,5
410510052012001,41,51,5201,2001,402,74,5
410510052012000,41,51,5201,2000,0,75,5
410510052012020,41,51,5201,2020,18,76,5
410510052012019,41,51,5201,2019,0,76,5
410510052012022,41,51,5201,2022,152,77,5
410510052012005,41,51,5201,2005,0,78,5
410510052012006,41,51,5201,2006,0,78,5
410510052012007,41,51,5201,2007,172,79,5
410510052012018,41,51,5201,2018,0,80,5
410510052012017,41,51,5201,2017,0,80,5
410510052012013,41,51,5201,2013,0,81,5
410510052012014,41,51,5201,2014,0,81,5
410510052012011,41,51,5201,2011,0,82,5
410510052012012,41,51,5201,2012,0,82,5
410510106012002,41,51,10601,2002,104,83,6
410510106012001,41,51,10601,2001,26,84,6
