"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410670332013000,"Block 3000, Block Group 3, Census Tract 332.01, Washington County, Oregon",14,0,0,0,0,0,14,0,0,14
410670324044003,"Block 4003, Block Group 4, Census Tract 324.04, Washington County, Oregon",24,7,0,0,7,0,17,0,0,17
410670324102010,"Block 2010, Block Group 2, Census Tract 324.10, Washington County, Oregon",13,0,0,0,0,0,13,0,0,13
410670324122001,"Block 2001, Block Group 2, Census Tract 324.12, Washington County, Oregon",1,0,0,0,0,0,1,0,0,1
410710305023004,"Block 3004, Block Group 3, Census Tract 305.02, Yamhill County, Oregon",44,0,0,0,0,0,44,0,0,44
410670318061008,"Block 1008, Block Group 1, Census Tract 318.06, Washington County, Oregon",11,0,0,0,0,0,11,0,0,11
410159501003029,"Block 3029, Block Group 3, Census Tract 9501, Curry County, Oregon",13,0,0,0,0,0,13,0,0,13
410190700001018,"Block 1018, Block Group 1, Census Tract 700, Douglas County, Oregon",1,0,0,0,0,0,1,0,0,1
410279501003038,"Block 3038, Block Group 3, Census Tract 9501, Hood River County, Oregon",5,0,0,0,0,0,5,0,0,5
410510102001047,"Block 1047, Block Group 1, Census Tract 102, Multnomah County, Oregon",2,0,0,0,0,0,2,0,0,2
410290012003020,"Block 3020, Block Group 3, Census Tract 12, Jackson County, Oregon",4,0,0,0,0,0,4,0,0,4
410290002021020,"Block 1020, Block Group 1, Census Tract 2.02, Jackson County, Oregon",5,0,0,0,0,0,5,0,0,5
410510099072011,"Block 2011, Block Group 2, Census Tract 99.07, Multnomah County, Oregon",9,0,0,0,0,0,9,0,0,9
410510025016013,"Block 6013, Block Group 6, Census Tract 25.01, Multnomah County, Oregon",7,0,0,0,0,0,7,0,0,7
410510038013024,"Block 3024, Block Group 3, Census Tract 38.01, Multnomah County, Oregon",25,0,0,0,0,0,25,0,0,25
