"RT","SERIALNO","DIVISION","SPORDER","PUMA","PUMA20","REGION","ST","ADJINC","PWGTP","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELSHIPP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA10","MIGPUMA20","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA10","POWPUMA20","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHICOVP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRNSP","FLANP","FLANXP","FMARP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELSHIPP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWNP","FWKWP","FWRKP","FYOEP","PWGTP1","PWGTP2","PWGTP3","PWGTP4","PWGTP5","PWGTP6","PWGTP7","PWGTP8","PWGTP9","PWGTP10","PWGTP11","PWGTP12","PWGTP13","PWGTP14","PWGTP15","PWGTP16","PWGTP17","PWGTP18","PWGTP19","PWGTP20","PWGTP21","PWGTP22","PWGTP23","PWGTP24","PWGTP25","PWGTP26","PWGTP27","PWGTP28","PWGTP29","PWGTP30","PWGTP31","PWGTP32","PWGTP33","PWGTP34","PWGTP35","PWGTP36","PWGTP37","PWGTP38","PWGTP39","PWGTP40","PWGTP41","PWGTP42","PWGTP43","PWGTP44","PWGTP45","PWGTP46","PWGTP47","PWGTP48","PWGTP49","PWGTP50","PWGTP51","PWGTP52","PWGTP53","PWGTP54","PWGTP55","PWGTP56","PWGTP57","PWGTP58","PWGTP59","PWGTP60","PWGTP61","PWGTP62","PWGTP63","PWGTP64","PWGTP65","PWGTP66","PWGTP67","PWGTP68","PWGTP69","PWGTP70","PWGTP71","PWGTP72","PWGTP73","PWGTP74","PWGTP75","PWGTP76","PWGTP77","PWGTP78","PWGTP79","PWGTP80","GQTYPE","gqwgtp","GQFLAG","employed","soc","hhnum"
"P","2018GQ0000108",9,1,200,-9,4,41,1184371,13,20,5,NA,1,2,2,2,2,2,NA,NA,2,1,NA,NA,NA,NA,1,2,2,1,2,2,2,0,15,1,1,1,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,50000,40,1,1,NA,1,2003,1,210,999,7,2,1,NA,1,NA,NA,1,2,180,223,130,1200,NA,NA,NA,6,"112",2,NA,NA,5,NA,50000,50000,303,390,200,-9,41,1,1,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"4520XX",NA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,12,0,13,13,12,26,12,14,0,25,0,0,12,13,25,26,0,13,25,13,12,1,13,12,13,26,13,14,0,25,0,0,13,12,26,26,0,14,26,13,13,0,12,12,14,26,13,11,0,26,0,0,13,13,26,27,0,13,25,13,13,0,12,12,13,25,12,13,0,26,0,0,12,12,26,27,0,12,26,4,13,1,1,45,1
"P","2018GQ0000151",9,1,1104,-9,4,41,1184371,2,19,1,NA,2,2,2,2,1,2,NA,NA,1,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,7,0,1,7400,0,0,-8,2,-8,NA,2,NA,1,599,999,NA,1,NA,NA,6,NA,NA,1,1,1090,NA,NA,NA,NA,NA,NA,6,"3114",1,NA,NA,999,NA,0,7400,41,57,NA,NA,NA,2,1,2,2,2,2,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,"537062",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,2,0,4,2,4,1,0,2,0,4,2,0,4,4,2,2,1,2,2,0,2,3,0,1,0,2,4,2,4,0,2,3,0,0,2,1,2,2,2,4,2,0,4,2,4,2,0,2,1,4,2,0,5,3,2,1,1,2,1,0,2,3,0,2,0,2,3,2,4,0,2,4,4,2,1,0,0,2
"P","2018GQ0000664",9,1,1104,-9,4,41,1184371,8,67,1,NA,NA,2,2,2,2,2,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,10,0,1,0,9000,0,-8,3,-8,NA,2,NA,1,97,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,"",1,NA,NA,999,NA,0,9000,41,76,NA,NA,NA,2,1,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,8,8,8,0,9,0,15,9,18,10,8,9,15,17,0,7,7,9,0,8,1,0,18,9,16,8,8,17,8,15,0,0,9,8,8,15,0,17,9,1,7,10,9,0,9,0,17,9,14,8,7,8,14,15,0,9,8,8,0,9,0,1,17,8,16,7,9,16,8,18,1,0,8,9,8,17,0,4,8,1,0,0,3
"P","2018GQ0000887",9,1,1314,-9,4,41,1184371,2,52,1,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,1,8800,0,0,-8,3,-8,NA,2,NA,4,999,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,"",1,NA,NA,999,NA,0,8800,6,69,NA,NA,NA,2,1,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,5,0,3,5,5,2,2,2,2,3,0,3,5,0,3,5,4,3,0,3,0,5,3,0,0,3,2,2,3,2,5,3,0,5,2,5,5,3,0,3,0,5,2,0,0,2,2,3,3,3,5,2,0,5,3,0,0,2,6,3,4,0,3,5,6,3,2,3,3,3,0,2,5,0,2,0,4,2,1,0,0,4
"P","2018GQ0000954",9,1,600,-9,4,41,1184371,2,51,1,NA,NA,1,2,2,1,1,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,2100,38,0,1,-8,1,0,2,7600,1400,0,-8,3,-8,NA,2,NA,1,195,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,600,-9,41,6,"",1,NA,NA,999,NA,0,11100,53,86,NA,NA,NA,2,1,2,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,1,1,2,2,3,2,1,1,0,2,0,1,2,0,2,2,0,3,3,0,1,1,0,2,0,2,1,1,3,2,2,1,2,3,0,2,3,0,0,3,1,1,3,1,3,1,1,1,0,1,0,2,1,0,3,1,0,2,3,0,2,1,0,1,0,2,1,1,2,1,3,2,1,2,4,2,1,0,0,5
"P","2018GQ0002140",9,1,1316,-9,4,41,1184371,26,23,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,380,0,38,0,1,-8,9,0,1,0,0,0,-8,3,-8,NA,2,NA,4,999,999,NA,2,NA,NA,6,NA,NA,2,1,NA,NA,NA,NA,51100,-9,51,6,"",1,NA,NA,999,NA,0,380,53,2,NA,NA,NA,2,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,1,NA,1,NA,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,28,0,26,53,55,54,27,24,29,26,26,1,0,1,28,52,27,1,27,53,26,0,27,55,51,53,27,28,28,24,27,0,0,0,25,54,27,0,28,55,27,1,27,49,52,57,27,27,25,27,27,0,0,1,26,55,28,1,27,51,28,0,28,51,52,55,26,25,27,28,27,1,0,0,25,54,28,0,26,54,4,26,1,0,0,6
"P","2018GQ0002238",9,1,400,-9,4,41,1184371,2,62,1,NA,1,2,2,2,1,2,NA,2,1,NA,NA,2,NA,NA,2,1,2,1,2,2,2,0,NA,NA,NA,2,1,2,2,1,2,1983,3,2,0,0,1,0,0,0,0,0,2,5,2,2,3,0,0,38,0,1,-8,12,0,1,7200,0,0,-8,2,-8,NA,2,NA,4,999,999,NA,1,NA,NA,6,NA,NA,1,1,4971,NA,NA,NA,400,-9,41,2,"44511",1,NA,NA,999,NA,0,7200,41,56,NA,NA,NA,1,1,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"537065",12,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,0,1,1,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,4,2,0,0,0,2,4,0,2,2,2,2,4,4,2,2,4,0,2,2,2,0,2,2,2,4,2,2,0,3,1,0,2,2,3,3,2,3,0,3,0,2,4,4,4,2,0,3,1,2,2,3,0,0,2,2,0,4,2,2,2,4,1,2,2,0,2,1,4,0,4,4,2,2,0,0,2,4,2,1,0,0,7
"P","2018GQ0002292",9,1,200,-9,4,41,1184371,11,54,5,NA,1,2,2,2,2,1,NA,NA,2,3,NA,2,NA,NA,2,2,2,1,2,2,2,0,15,4,1,1,1,2,2,1,2,1991,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,1,-8,3,0,1,0,0,45000,36,1,4,NA,1,1985,2,210,291,5,1,4,NA,1,NA,NA,1,2,170,85,43,1200,NA,NA,NA,2,"111",2,NA,NA,5,NA,45000,45000,303,345,200,-9,41,2,1,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"4520XX",NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,0,0,0,0,12,0,10,0,12,12,12,13,0,0,12,13,12,11,25,24,11,11,11,13,24,12,23,12,22,21,23,26,12,12,23,23,0,1,12,11,0,0,0,0,12,0,11,0,11,12,12,12,0,0,13,12,12,11,22,25,11,12,11,11,25,12,23,13,24,25,21,25,13,12,23,24,0,4,11,1,1,45,8
"P","2018GQ0002341",9,1,1320,-9,4,41,1184371,5,68,1,NA,NA,1,2,2,1,1,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,1,0,1,4700,8000,0,-8,3,-8,NA,2,NA,1,924,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,"",1,NA,NA,999,NA,0,12700,55,105,NA,NA,NA,2,1,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,11,10,6,11,1,5,5,7,0,7,12,6,0,1,5,6,0,10,4,5,10,11,5,12,0,5,6,6,0,6,11,5,0,0,6,5,0,10,6,6,0,0,5,0,13,6,6,5,11,6,0,6,10,11,5,6,11,0,5,5,0,0,6,0,12,6,5,5,12,5,0,6,12,11,6,6,12,0,5,4,5,1,0,0,9
"P","2018GQ0002415",9,1,703,-9,4,41,1184371,1,79,1,NA,NA,1,2,2,1,1,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,2,2,2,2,2,1974,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,2,0,10700,0,-8,3,-8,NA,2,NA,4,999,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,"",1,NA,NA,999,NA,0,10700,41,89,NA,NA,NA,2,1,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,2,2,1,2,0,2,1,0,1,1,1,2,2,1,1,1,1,0,3,1,1,1,0,2,1,1,0,1,0,0,2,1,1,2,3,0,2,1,1,0,0,0,1,1,3,0,1,2,1,1,0,0,0,1,1,1,1,2,1,1,1,1,2,0,1,2,2,2,3,2,0,1,4,1,1,0,0,10
