"BLOCK","BG","PUMA","REGION"
410670332013000,410670332013,1321,27
410670324044003,410670324044,1322,25
410670324102010,410670324102,1322,25
410670324122001,410670324122,1322,25
410710305023004,410710305023,1200,23
410670318061008,410670318061,1323,26
410159501003029,410159501003,800,4
410190700001018,410190700001,1000,8
410279501003038,410279501003,200,3
410510102001047,410510102001,1316,1
410290012003020,410290012003,901,22
410290002021020,410290002021,901,22
410510099072011,410510099072,1316,1
410510025016013,410510025016,1305,29
410510038013024,410510038013,1301,13
410510060021011,410510060021,1314,2
410510080012017,410510080012,1302,14
410470007022001,410470007022,1104,9
410510084001010,410510084001,1302,14
410510035021035,410510035021,1301,13
410510051033008,410510051033,1314,2
410390034003001,410390034003,704,10
410390035004037,410390035004,704,10
410050204032012,410050204032,1319,6
410530052033006,410530052033,1200,23
410159502022046,410159502022,800,4
410170009022020,410170009022,400,18
410110009022025,410110009022,800,4
410099703001035,410099703001,500,5
410099703001047,410099703001,500,5
410099703001050,410099703001,500,5
410170008004000,410170008004,400,18
410099702022018,410099702022,500,5
410170004013001,410170004013,400,18
410110005022015,410110005022,800,4
410191400001010,410191400001,1000,8
410099703004004,410099703004,500,5
410099703004005,410099703004,500,5
410190700001017,410190700001,1000,8
410170015012020,410170015012,400,18
410110005031009,410110005031,800,4
410110005031016,410110005031,800,4
410099704002020,410099704002,500,5
410139503022023,410139503022,200,3
410139503023005,410139503023,200,3
410139504011008,410139504011,200,3
410191400002023,410191400002,1000,8
410191400003000,410191400003,1000,8
410191400003004,410191400003,1000,8
410099703005033,410099703005,500,5
410099705001002,410099705001,500,5
410099705003004,410099705003,500,5
410139501012002,410139501012,200,3
410110005062015,410110005062,800,4
410191700002083,410191700002,1000,8
410099705004019,410099705004,500,5
410099705004030,410099705004,500,5
410159503024029,410159503024,800,4
410139501021052,410139501021,200,3
410099706001004,410099706001,500,5
410110007014105,410110007014,800,4
410159503021007,410159503021,800,4
410170008005010,410170008005,400,18
410139501021206,410139501021,200,3
410110007015002,410110007015,800,4
410110007015013,410110007015,800,4
410170015012017,410170015012,400,18
410170021012015,410170021012,400,18
410110007022007,410110007022,800,4
410170015013019,410170015013,400,18
410170021013001,410170021013,400,18
410099706001050,410099706001,500,5
410170009011057,410170009011,400,18
410170021031001,410170021031,400,18
410191700003054,410191700003,1000,8
410099708001025,410099708001,500,5
410099708002000,410099708002,500,5
410099708002008,410099708002,500,5
410099708002010,410099708002,500,5
410099708002011,410099708002,500,5
410099707001013,410099707001,500,5
410099707002004,410099707002,500,5
410170009012030,410170009012,400,18
410159503012029,410159503012,800,4
410139502004038,410139502004,200,3
410099702022048,410099702022,500,5
410099702022059,410099702022,500,5
410099702023006,410099702023,500,5
410190600001062,410190600001,1000,8
410190900012001,410190900012,1000,8
410170018021006,410170018021,400,18
410191400004004,410191400004,1000,8
410191400005008,410191400005,1000,8
410191300011061,410191300011,1000,8
410079502002025,410079502002,500,5
410170001001173,410170001001,400,18
410110004011007,410110004011,800,4
410110004011008,410110004011,800,4
410110004011018,410110004011,800,4
410110004011021,410110004011,800,4
410110004011043,410110004011,800,4
410099702021000,410099702021,500,5
410099702021022,410099702021,500,5
410099702021023,410099702021,500,5
