household_id,PUMA,BLOCK,GQWGTP,SERIALNO,HTYPE,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,TYPE,NPF,HUPAC,GQFLAG,GQTYPE
1,100,410019501003067,9,2018GQ0023894,999,0,999,999,1,,,,1184371,,,3,,,1,4
2,100,410019501003067,11,2018GQ0058486,999,0,999,999,1,,,,1184371,,,3,,,1,4
3,100,410019501003067,2,2019GQ0044351,999,0,999,999,1,,,,1159866,,,3,,,1,4
4,100,410019501003067,16,2019GQ0123084,999,0,999,999,1,,,,1159866,,,3,,,1,4
5,100,410019501003067,6,2020GQ0034018,999,1,999,999,1,,,,1140108,,,3,,,1,4
6,100,410019501003067,34,2020GQ0171559,999,0,999,999,1,,,,1140108,,,3,,,1,4
7,100,410019501003067,19,2021GQ0020612,999,0,999,999,1,,,,1113261,,,3,,,1,4
8,100,410019501003067,16,2021GQ0052321,999,0,999,999,1,,,,1113261,,,3,,,1,4
9,100,410019501003067,30,2021GQ0091304,999,0,999,999,1,,,,1113261,,,3,,,1,4
10,100,410019501003067,13,2021GQ0138807,999,0,999,999,1,,,,1113261,,,3,,,1,4
11,100,410019501003067,3,2022GQ0066902,999,0,999,999,1,,,,1042311,,,3,,,1,4
12,100,410019501003067,37,2022GQ0142743,999,1,999,999,1,,,,1042311,,,3,,,1,4
13,100,410019501003067,38,2022GQ0151322,999,0,999,999,1,,,,1042311,,,3,,,1,4
14,100,410019501003067,10,2022GQ0155883,999,0,999,999,1,,,,1042311,,,3,,,1,4
15,100,410019501003067,4,2022GQ0171692,999,0,999,999,1,,,,1042311,,,3,,,1,4
16,100,410019504001006,22,2018GQ0030157,999,0,999,999,1,,,,1184371,,,3,,,1,4
17,100,410019504001006,22,2018GQ0030157,999,0,999,999,1,,,,1184371,,,3,,,1,4
18,100,410019504001006,6,2018GQ0031512,999,0,999,999,1,,,,1184371,,,3,,,1,4
19,100,410019504001006,13,2021GQ0138807,999,0,999,999,1,,,,1113261,,,3,,,1,4
20,100,410019504001006,35,2022GQ0136229,999,0,999,999,1,,,,1042311,,,3,,,1,4
21,100,410019504001007,9,2018GQ0023894,999,0,999,999,1,,,,1184371,,,3,,,1,4
22,100,410019504001007,6,2018GQ0031512,999,0,999,999,1,,,,1184371,,,3,,,1,4
23,100,410019504001007,45,2018GQ0065390,999,0,999,999,1,,,,1184371,,,3,,,1,4
24,100,410019504001007,12,2020GQ0087613,999,0,999,999,1,,,,1140108,,,3,,,1,4
25,100,410019504001007,12,2022GQ0032006,999,0,999,999,1,,,,1042311,,,3,,,1,4
26,100,410019504001007,12,2022GQ0032006,999,0,999,999,1,,,,1042311,,,3,,,1,4
27,100,410019504001007,8,2022GQ0056723,999,1,999,999,1,,,,1042311,,,3,,,1,4
28,100,410019504001007,10,2022GQ0112241,999,0,999,999,1,,,,1042311,,,3,,,1,4
