PUMA,BLOCK,household_id,gqwgtp,SERIALNO,employed,soc,OCCP,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG
100,410019501003067,1,9,2018GQ0023894,0,0,999,73,1,-8,6,-8,-8,4,2,1,1
100,410019501003067,2,11,2018GQ0058486,0,0,999,20,2,-8,6,-8,-8,4,9,1,1
100,410019501003067,3,2,2019GQ0044351,0,0,999,59,1,-8,6,-8,-8,4,9,1,1
100,410019501003067,4,16,2019GQ0123084,0,0,999,65,1,-8,6,-8,-8,4,9,1,1
100,410019501003067,5,6,2020GQ0034018,1,47,5,32,1,40,1,-8,1,4,9,1,1
100,410019501003067,6,34,2020GQ0171559,0,0,999,61,2,-8,6,-8,-8,4,4,1,1
100,410019501003067,7,19,2021GQ0020612,0,0,999,94,1,-8,6,-8,-8,2,13,1,1
100,410019501003067,8,16,2021GQ0052321,0,0,999,81,2,-8,6,-8,-8,4,9,1,1
100,410019501003067,9,30,2021GQ0091304,0,0,999,24,1,-8,6,-8,-8,4,13,1,1
100,410019501003067,10,13,2021GQ0138807,0,0,999,51,1,-8,6,-8,-8,4,1,1,1
100,410019501003067,11,3,2022GQ0066902,0,0,999,31,2,40,6,-8,6,4,7,1,1
100,410019501003067,12,37,2022GQ0142743,1,35,3,18,2,30,1,5,6,4,7,1,1
100,410019501003067,13,38,2022GQ0151322,0,0,999,37,2,-8,6,-8,-8,4,3,1,1
100,410019501003067,14,10,2022GQ0155883,0,0,999,28,2,35,6,-8,1,4,12,1,1
100,410019501003067,15,4,2022GQ0171692,0,0,999,59,1,-8,6,-8,-8,4,3,1,1
100,410019504001006,16,22,2018GQ0030157,0,0,999,91,2,-8,6,-8,-8,4,10,1,1
100,410019504001006,17,22,2018GQ0030157,0,0,999,91,2,-8,6,-8,-8,4,10,1,1
100,410019504001006,18,6,2018GQ0031512,0,0,999,45,2,30,6,-8,6,4,4,1,1
100,410019504001006,19,13,2021GQ0138807,0,0,999,51,1,-8,6,-8,-8,4,1,1,1
100,410019504001006,20,35,2022GQ0136229,0,0,999,59,1,-8,6,-8,-8,4,3,1,1
