geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,410670332013000,14,14,0
BLOCK,410670324044003,17,17,0
BLOCK,410670324102010,13,13,0
BLOCK,410670324122001,1,1,0
BLOCK,410710305023004,44,44,0
BLOCK,410670318061008,11,11,0
BLOCK,410159501003029,13,13,0
BLOCK,410190700001018,1,1,0
BLOCK,410279501003038,5,5,0
BLOCK,410510102001047,2,2,0
BLOCK,410290012003020,4,4,0
BLOCK,410290002021020,5,5,0
BLOCK,410510099072011,9,9,0
BLOCK,410510025016013,7,7,0
BLOCK,410510038013024,25,25,0
BLOCK,410510060021011,7,7,0
BLOCK,410510080012017,6,6,0
BLOCK,410470007022001,9,9,0
BLOCK,410510084001010,3,3,0
BLOCK,410510035021035,9,9,0
BLOCK,410510051033008,249,249,0
BLOCK,410390034003001,6,6,0
BLOCK,410390035004037,9,9,0
BLOCK,410050204032012,1,1,0
BLOCK,410530052033006,6,6,0
BLOCK,410159502022046,2,2,0
BLOCK,410170009022020,7,7,0
BLOCK,410110009022025,8,8,0
BLOCK,410099703001035,3,3,0
BLOCK,410099703001047,3,3,0
BLOCK,410099703001050,8,8,0
BLOCK,410170008004000,4,4,0
BLOCK,410099702022018,1,1,0
BLOCK,410170004013001,8,8,0
BLOCK,410110005022015,8,8,0
BLOCK,410191400001010,9,9,0
BLOCK,410099703004004,1,1,0
BLOCK,410099703004005,20,20,0
BLOCK,410190700001017,7,7,0
BLOCK,410170015012020,1,1,0
BLOCK,410110005031009,11,11,0
BLOCK,410110005031016,11,11,0
BLOCK,410099704002020,9,9,0
BLOCK,410139503022023,15,15,0
BLOCK,410139503023005,1,1,0
BLOCK,410139504011008,7,7,0
BLOCK,410191400002023,7,7,0
BLOCK,410191400003000,5,5,0
BLOCK,410191400003004,3,3,0
BLOCK,410099703005033,7,7,0
BLOCK,410099705001002,15,15,0
BLOCK,410099705003004,2,2,0
BLOCK,410139501012002,30,30,0
BLOCK,410110005062015,12,12,0
BLOCK,410191700002083,7,7,0
BLOCK,410099705004019,4,4,0
BLOCK,410099705004030,9,9,0
BLOCK,410159503024029,37,37,0
BLOCK,410139501021052,3,3,0
BLOCK,410099706001004,8,8,0
BLOCK,410110007014105,15,15,0
BLOCK,410159503021007,16,16,0
BLOCK,410170008005010,4,4,0
BLOCK,410139501021206,8,8,0
BLOCK,410110007015002,11,11,0
BLOCK,410110007015013,9,9,0
BLOCK,410170015012017,8,8,0
BLOCK,410170021012015,2,2,0
BLOCK,410110007022007,14,14,0
BLOCK,410170015013019,6,6,0
BLOCK,410170021013001,19,19,0
BLOCK,410099706001050,5,5,0
BLOCK,410170009011057,1,1,0
BLOCK,410170021031001,18,18,0
BLOCK,410191700003054,6,6,0
BLOCK,410099708001025,1,1,0
BLOCK,410099708002000,1,1,0
BLOCK,410099708002008,4,4,0
BLOCK,410099708002010,7,7,0
BLOCK,410099708002011,3,3,0
BLOCK,410099707001013,16,16,0
BLOCK,410099707002004,15,15,0
BLOCK,410170009012030,1,1,0
BLOCK,410159503012029,9,9,0
BLOCK,410139502004038,16,16,0
BLOCK,410099702022048,17,17,0
BLOCK,410099702022059,1,1,0
BLOCK,410099702023006,3,3,0
BLOCK,410190600001062,14,14,0
BLOCK,410190900012001,20,20,0
BLOCK,410170018021006,8,8,0
BLOCK,410191400004004,4,4,0
BLOCK,410191400005008,18,18,0
BLOCK,410191300011061,17,17,0
BLOCK,410079502002025,3,3,0
BLOCK,410170001001173,24,24,0
BLOCK,410110004011007,12,12,0
BLOCK,410110004011008,6,6,0
BLOCK,410110004011018,13,13,0
BLOCK,410110004011021,10,10,0
BLOCK,410110004011043,5,5,0
BLOCK,410099702021000,1,1,0
BLOCK,410099702021022,1,1,0
BLOCK,410099702021023,2,2,0
BLOCK,410099702012044,3,3,0
BLOCK,410079502001025,21,21,0
BLOCK,410099709003003,18,18,0
BLOCK,410099711001001,1,1,0
BLOCK,410099711001024,8,8,0
BLOCK,410170011021028,37,37,0
BLOCK,410191500022001,10,10,0
BLOCK,410110004021001,13,13,0
BLOCK,410170012003018,42,42,0
BLOCK,410191300021001,6,6,0
BLOCK,410191300021003,3,3,0
BLOCK,410191300021004,17,17,0
BLOCK,410191600011012,1,1,0
BLOCK,410191600011034,7,7,0
BLOCK,410110004021022,4,4,0
BLOCK,410099710002000,8,8,0
BLOCK,410099710002024,22,22,0
BLOCK,410099711001080,1,1,0
BLOCK,410190300001001,13,13,0
BLOCK,410191600012000,3,3,0
BLOCK,410191300022014,20,20,0
BLOCK,410079502004006,37,37,0
BLOCK,410099711001096,1,1,0
BLOCK,410099711002002,1,1,0
BLOCK,410190300001049,3,3,0
BLOCK,410079509002008,13,13,0
BLOCK,410079509002010,2,2,0
BLOCK,410079509002021,1,1,0
BLOCK,410110010011019,6,6,0
BLOCK,410110010021016,48,48,0
BLOCK,410099711003000,4,4,0
BLOCK,410110010012008,49,49,0
BLOCK,410110010012040,6,6,0
BLOCK,410110010023014,14,14,0
BLOCK,410099711003005,1,1,0
BLOCK,410099711003009,3,3,0
BLOCK,410099711003024,12,12,0
BLOCK,410099711003046,1,1,0
BLOCK,410099711003057,1,1,0
BLOCK,410110011021250,8,8,0
BLOCK,410191700001034,1,1,0
BLOCK,410170016011014,21,21,0
BLOCK,410190500031002,4,4,0
BLOCK,410110011023003,18,18,0
BLOCK,410170013012016,11,11,0
BLOCK,410079509003017,2,2,0
BLOCK,410170006011003,8,8,0
BLOCK,410190800012011,50,50,0
BLOCK,410170016012018,16,16,0
BLOCK,410190800012031,94,94,0
BLOCK,410170016021022,2,2,0
BLOCK,410170016021033,8,8,0
