process,pid,rss,full_rss,uss,event,children,time
MainProcess,174524,104_865_792,104_865_792,72_712_192,pipeline.run before preload_injectables,0,2024/02/27 12:38:44.337085
MainProcess,174524,105_148_416,105_148_416,72_720_384,pipeline.run after preload_injectables,0,2024/02/27 12:38:44.352706
MainProcess,174524,105_177_088,105_177_088,72_724_480,pipeline.run_model input_pre_processor start,0,2024/02/27 12:38:44.387009
MainProcess,174524,124_952_576,124_952_576,92_131_328,pipeline.run_model input_pre_processor finished,0,2024/02/27 12:38:44.624332
MainProcess,174524,128_000_000,128_000_000,95_408_128,pipeline.run after input_pre_processor,0,2024/02/27 12:38:44.736315
MainProcess,174524,128_262_144,128_262_144,95_408_128,pipeline.run_model setup_data_structures start,0,2024/02/27 12:38:44.759449
MainProcess,174524,131_932_160,131_932_160,98_553_856,pipeline.run_model setup_data_structures finished,0,2024/02/27 12:38:44.853116
MainProcess,174524,131_899_392,131_899_392,98_902_016,pipeline.run after setup_data_structures,0,2024/02/27 12:38:44.977884
MainProcess,174524,132_292_608,132_292_608,98_902_016,pipeline.run_model initial_seed_balancing start,0,2024/02/27 12:38:45.009029
MainProcess,174524,132_374_528,132_374_528,98_959_360,pipeline.run_model initial_seed_balancing finished,0,2024/02/27 12:38:45.196920
MainProcess,174524,132_440_064,132_440_064,98_975_744,pipeline.run after initial_seed_balancing,0,2024/02/27 12:38:45.243682
MainProcess,174524,132_444_160,132_444_160,98_979_840,pipeline.run_model meta_control_factoring start,0,2024/02/27 12:38:45.259200
MainProcess,174524,132_444_160,132_444_160,98_979_840,pipeline.run_model meta_control_factoring finished,0,2024/02/27 12:38:45.290332
MainProcess,174524,132_448_256,132_448_256,98_983_936,pipeline.run after meta_control_factoring,0,2024/02/27 12:38:45.321467
MainProcess,174524,132_448_256,132_448_256,98_983_936,pipeline.run_model final_seed_balancing start,0,2024/02/27 12:38:45.352963
MainProcess,174524,132_448_256,132_448_256,98_983_936,pipeline.run_model final_seed_balancing finished,0,2024/02/27 12:38:45.384433
MainProcess,174524,130_342_912,130_342_912,96_911_360,pipeline.run after final_seed_balancing,0,2024/02/27 12:38:45.415744
MainProcess,174524,130_375_680,130_375_680,96_911_360,pipeline.run_model integerize_final_seed_weights start,0,2024/02/27 12:38:45.450603
MainProcess,174524,132_984_832,132_984_832,97_525_760,pipeline.run_model integerize_final_seed_weights finished,0,2024/02/27 12:38:45.790929
MainProcess,174524,132_988_928,132_988_928,97_529_856,pipeline.run after integerize_final_seed_weights,0,2024/02/27 12:38:45.821397
MainProcess,174524,132_988_928,132_988_928,97_529_856,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/02/27 12:38:45.852647
MainProcess,174524,136_777_728,136_777_728,101_986_304,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/02/27 12:38:50.852852
MainProcess,174524,137_572_352,137_572_352,101_990_400,pipeline.run after sub_balancing.geography=BLOCK,0,2024/02/27 12:38:50.900301
MainProcess,174524,137_572_352,137_572_352,101_990_400,pipeline.run_model expand_households start,0,2024/02/27 12:38:50.931273
MainProcess,174524,138_436_608,138_436_608,103_284_736,pipeline.run_model expand_households finished,0,2024/02/27 12:38:52.092101
MainProcess,174524,139_239_424,139_239_424,103_550_976,pipeline.run after expand_households,0,2024/02/27 12:38:52.133943
MainProcess,174524,139_239_424,139_239_424,103_550_976,pipeline.run_model summarize start,0,2024/02/27 12:38:52.162625
MainProcess,174524,139_452_416,139_452_416,103_702_528,pipeline.run_model summarize finished,0,2024/02/27 12:38:54.292359
MainProcess,174524,143_462_400,143_462_400,108_232_704,pipeline.run after summarize,0,2024/02/27 12:38:54.544091
MainProcess,174524,143_986_688,143_986_688,108_232_704,pipeline.run_model write_tables start,0,2024/02/27 12:38:54.567651
MainProcess,174524,146_006_016,146_006_016,110_231_552,pipeline.run_model write_tables finished,0,2024/02/27 12:38:54.646117
MainProcess,174524,146_006_016,146_006_016,110_231_552,pipeline.run after write_tables,0,2024/02/27 12:38:54.688412
MainProcess,174524,146_006_016,146_006_016,110_231_552,pipeline.run_model write_synthetic_population start,0,2024/02/27 12:38:54.716921
MainProcess,174524,144_687_104,144_687_104,109_424_640,pipeline.run_model write_synthetic_population finished,0,2024/02/27 12:38:55.035109
MainProcess,174524,145_199_104,145_199_104,109_424_640,pipeline.run after write_synthetic_population,0,2024/02/27 12:38:55.071749
MainProcess,174524,145_199_104,145_199_104,109_424_640,pipeline.run after run_models,0,2024/02/27 12:38:55.102882
