"RT","SERIALNO","DIVISION","SPORDER","PUMA","PUMA20","REGION","ST","ADJINC","PWGTP","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELSHIPP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA10","MIGPUMA20","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA10","POWPUMA20","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHICOVP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRNSP","FLANP","FLANXP","FMARP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELSHIPP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWNP","FWKWP","FWRKP","FYOEP","PWGTP1","PWGTP2","PWGTP3","PWGTP4","PWGTP5","PWGTP6","PWGTP7","PWGTP8","PWGTP9","PWGTP10","PWGTP11","PWGTP12","PWGTP13","PWGTP14","PWGTP15","PWGTP16","PWGTP17","PWGTP18","PWGTP19","PWGTP20","PWGTP21","PWGTP22","PWGTP23","PWGTP24","PWGTP25","PWGTP26","PWGTP27","PWGTP28","PWGTP29","PWGTP30","PWGTP31","PWGTP32","PWGTP33","PWGTP34","PWGTP35","PWGTP36","PWGTP37","PWGTP38","PWGTP39","PWGTP40","PWGTP41","PWGTP42","PWGTP43","PWGTP44","PWGTP45","PWGTP46","PWGTP47","PWGTP48","PWGTP49","PWGTP50","PWGTP51","PWGTP52","PWGTP53","PWGTP54","PWGTP55","PWGTP56","PWGTP57","PWGTP58","PWGTP59","PWGTP60","PWGTP61","PWGTP62","PWGTP63","PWGTP64","PWGTP65","PWGTP66","PWGTP67","PWGTP68","PWGTP69","PWGTP70","PWGTP71","PWGTP72","PWGTP73","PWGTP74","PWGTP75","PWGTP76","PWGTP77","PWGTP78","PWGTP79","PWGTP80","GQTYPE","gqwgtp","GQFLAG","employed","soc","hhnum"
"P","2018GQ0063494",9,1,800,-9,4,41,1184371,1,21,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,1,2,2,2,1,2,2,0,5,NA,10,2,5,NA,NA,NA,NA,NA,3,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,20000,50,1,1,NA,1,NA,1,200,999,NA,2,NA,NA,4,NA,NA,1,23,9770,77,37,NA,5800,-9,48,6,"928110P4",1,NA,NA,6,NA,20000,20000,48,NA,800,-9,41,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"553010",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,5,3,1,6,0,6,0,2,1,0,2,0,2,1,3,0,2,4,0,0,2,1,3,2,1,2,1,2,1,0,1,0,4,4,2,0,2,7,0,0,3,2,2,2,1,3,2,3,1,0,1,0,2,2,7,0,1,3,0,0,5,3,1,4,1,8,1,1,1,1,2,0,1,2,5,2,1,1,1,55,1
"P","2018GQ0070451",9,1,800,-9,4,41,1184371,5,18,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,NA,NA,11,2,5,NA,NA,NA,NA,NA,3,1,1,0,0,0,0,0,0,0,2,3,2,2,3,0,0,38,0,1,-8,9,0,1,0,0,250,99,1,6,NA,1,NA,1,215,999,NA,2,NA,NA,4,NA,NA,1,3,9770,NA,NA,NA,3700,-9,6,6,"928110P4",1,NA,NA,6,NA,250,250,6,NA,800,-9,41,1,2,3,3,4,3,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,"553010",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,9,6,5,0,21,0,0,3,11,6,9,0,3,5,5,0,5,9,3,5,17,4,4,0,10,1,0,5,5,9,21,0,5,3,3,0,13,0,3,5,0,3,3,10,0,17,9,6,6,1,0,10,5,4,3,19,10,0,5,4,0,6,5,22,0,9,19,4,16,0,1,7,3,5,5,10,5,20,2,5,1,1,55,2
"P","2018GQ0088114",9,1,500,-9,4,41,1184371,3,21,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,10,NA,10,2,5,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,24000,60,1,1,NA,1,NA,1,195,999,NA,2,NA,NA,4,NA,NA,1,1,9690,72,31,NA,NA,NA,NA,6,"928110P3",1,NA,NA,6,NA,24000,24000,41,NA,500,-9,41,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"518021",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,3,0,7,0,0,3,6,4,14,0,3,2,2,0,3,3,4,0,0,3,5,4,0,7,7,8,3,0,0,5,7,4,2,4,2,8,9,0,0,4,8,4,0,7,7,6,3,0,0,6,7,3,4,4,2,6,7,17,7,2,3,0,6,0,0,3,7,5,20,0,3,2,3,0,4,3,3,12,2,3,1,1,51,3
"P","2018GQ0130665",9,1,500,-9,4,41,1184371,2,21,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,3,NA,12,2,5,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,29000,50,1,1,NA,1,NA,1,924,999,NA,2,NA,NA,4,NA,NA,1,1,9770,64,25,NA,NA,NA,NA,6,"928110P4",1,NA,NA,5,NA,29000,29000,17,NA,500,-9,41,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"492020",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,6,0,3,11,0,0,4,2,2,4,2,4,2,3,4,1,0,5,0,2,3,0,6,5,0,0,5,6,2,5,1,4,7,7,6,1,0,7,0,1,2,0,5,5,0,0,6,6,3,5,2,3,5,5,14,2,0,3,0,3,6,0,2,10,0,1,3,3,2,3,3,5,2,2,10,2,2,1,1,49,4
"P","2018GQ0143654",9,1,1000,-9,4,41,1184371,1,22,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,5,1,1,2,5,NA,NA,NA,NA,NA,3,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,11,0,1,0,0,26000,40,1,1,NA,1,NA,2,32,50,NA,2,1,NA,4,NA,NA,1,1,9680,87,47,NA,1000,-9,41,6,"928110P2",1,NA,NA,1,NA,26000,26000,26,NA,1000,-9,41,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"151244",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,3,2,0,6,2,0,1,4,0,2,0,1,2,2,4,1,0,2,2,3,2,1,0,3,7,0,1,1,0,3,0,1,1,1,8,4,1,2,1,4,2,1,0,2,6,0,1,1,0,3,0,2,1,1,6,3,0,3,1,2,3,1,0,6,2,0,1,5,0,1,0,1,2,1,3,1,0,2,1,1,1,15,5
"P","2018GQ0148952",9,1,500,-9,4,41,1184371,30,22,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,-1600,5,NA,10,2,5,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,19000,45,1,1,NA,1,NA,1,51,999,NA,2,NA,NA,4,NA,NA,1,1,9770,82,42,NA,NA,NA,NA,6,"928110P4",1,NA,NA,1,NA,19000,17400,34,NA,500,-9,41,1,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"151251",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,39,28,32,33,1,1,31,1,39,1,35,29,38,40,29,29,33,31,27,42,31,0,42,39,31,30,1,28,27,29,28,1,30,28,38,37,1,0,32,37,31,1,39,34,31,31,0,27,34,34,33,0,29,29,41,38,1,1,1,31,42,32,31,27,1,0,26,1,43,1,40,29,38,38,31,29,28,27,1,2,30,1,1,15,6
"P","2018GQ0149823",9,1,800,-9,4,41,1184371,4,23,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,5,1,1,2,5,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,26600,40,1,1,NA,1,NA,1,924,999,NA,2,1,NA,4,NA,NA,1,1,9690,71,31,NA,NA,NA,NA,6,"928110P3",1,NA,NA,6,NA,26600,26600,27,NA,800,-9,41,1,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"559830",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,8,0,18,8,4,8,3,8,3,0,5,3,4,7,8,4,4,2,5,0,2,3,4,0,19,8,6,7,0,7,4,7,0,2,11,0,9,5,8,10,0,4,0,4,7,4,4,4,4,16,0,4,3,0,0,8,10,4,2,8,4,4,8,17,0,1,0,0,5,4,2,0,7,3,4,7,0,2,4,1,1,55,7
"P","2019GQ0007760",9,1,1000,-9,4,41,1159866,1,22,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,3,1,1,2,5,NA,NA,NA,NA,NA,3,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,12,0,1,0,0,20000,40,1,1,52,1,NA,4,999,999,NA,2,1,NA,4,NA,NA,1,1,9690,278,149,NA,11800,-9,53,6,"928110P3",1,NA,NA,6,NA,20000,20000,41,NA,1000,-9,41,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"559830",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,0,1,3,0,0,1,0,1,0,0,0,0,1,1,2,1,0,1,2,1,0,2,3,0,0,0,0,0,0,0,1,1,0,2,1,1,0,1,2,1,0,1,3,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,2,0,0,1,3,0,0,1,0,1,0,2,1,1,1,55,8
"P","2019GQ0059960",9,1,500,-9,4,41,1159866,3,19,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,10,2,1,2,5,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,20000,50,1,1,52,1,NA,1,82,999,NA,2,2,NA,4,NA,NA,1,1,9770,84,43,NA,NA,NA,NA,6,"928110P4",1,NA,NA,6,NA,20000,20000,41,NA,500,-9,41,1,2,2,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"559830",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,3,7,2,0,5,0,3,6,0,5,5,0,0,4,3,9,2,5,3,3,3,6,2,0,4,0,3,6,0,6,5,0,0,4,2,9,2,5,3,4,3,7,2,0,5,0,3,6,0,5,6,0,0,4,3,8,2,5,2,3,3,6,2,0,4,0,3,5,0,5,5,0,0,4,3,10,2,3,1,1,55,9
"P","2019GQ0072687",9,1,100,-9,4,41,1159866,5,21,1,NA,5,2,2,2,2,2,NA,2,2,NA,NA,NA,NA,NA,2,2,2,2,1,2,2,0,5,NA,10,2,5,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,0,0,0,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,25000,50,1,1,52,1,NA,1,50,999,NA,2,NA,NA,4,NA,NA,1,1,9770,74,34,NA,1,-9,215,6,"928110P4",1,NA,NA,5,NA,25000,25000,37,NA,100,-9,41,1,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"4990XX",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,7,5,11,7,3,10,9,5,10,5,19,0,0,0,0,9,15,6,0,5,3,0,0,3,6,17,4,0,19,0,10,5,6,5,3,5,9,3,4,0,6,4,12,6,3,9,10,5,10,5,20,0,0,0,0,10,15,6,0,5,3,0,0,3,6,17,4,0,19,0,9,4,6,5,3,5,9,2,5,1,1,49,10
