household_id,PUMA,BLOCK,GQWGTP,SERIALNO,HTYPE,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,TYPE,NPF,HUPAC,GQFLAG,GQTYPE
1,500,410079502004013,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
2,500,410079502004013,14,2019GQ0098569,999,1,999,999,1,,,,1159866,,,3,,,1,2
3,500,410079502004013,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
4,500,410079502004013,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
5,500,410079502004013,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
6,500,410079502004013,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
7,500,410079502004013,10,2022GQ0110162,999,1,999,999,1,,,,1042311,,,3,,,1,2
8,500,410079503001004,2,2018GQ0130665,999,1,999,999,1,,,,1184371,,,3,,,1,2
9,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
10,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
11,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
12,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
13,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
14,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
15,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
16,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
17,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
18,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
19,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
20,500,410079503001004,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
21,500,410079503001004,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
22,500,410079503001004,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
23,500,410079503001004,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
24,500,410079503001004,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
25,500,410079503001004,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
26,500,410079503001004,1,2019GQ0130614,999,1,999,999,1,,,,1159866,,,3,,,1,2
27,500,410079503001004,9,2020GQ0018287,999,1,999,999,1,,,,1140108,,,3,,,1,2
28,500,410079503001004,9,2020GQ0018287,999,1,999,999,1,,,,1140108,,,3,,,1,2
29,500,410079503001004,10,2020GQ0024344,999,1,999,999,1,,,,1140108,,,3,,,1,2
30,500,410079503001004,10,2020GQ0024344,999,1,999,999,1,,,,1140108,,,3,,,1,2
31,500,410079503001004,10,2020GQ0024344,999,1,999,999,1,,,,1140108,,,3,,,1,2
32,500,410079503001004,10,2020GQ0024344,999,1,999,999,1,,,,1140108,,,3,,,1,2
33,500,410079503001004,3,2020GQ0087839,999,1,999,999,1,,,,1140108,,,3,,,1,2
34,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
35,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
36,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
37,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
38,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
39,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
40,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
41,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
42,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
43,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
44,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
45,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
46,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
47,500,410079503001004,39,2021GQ0007002,999,1,999,999,1,,,,1113261,,,3,,,1,2
48,500,410079503001004,1,2021GQ0037508,999,1,999,999,1,,,,1113261,,,3,,,1,2
49,500,410079503001004,1,2021GQ0104650,999,1,999,999,1,,,,1113261,,,3,,,1,2
50,500,410079503001004,1,2021GQ0145035,999,1,999,999,1,,,,1113261,,,3,,,1,2
51,500,410079503001004,1,2021GQ0145035,999,1,999,999,1,,,,1113261,,,3,,,1,2
52,500,410079503001004,12,2022GQ0047479,999,1,999,999,1,,,,1042311,,,3,,,1,2
53,500,410079503001004,12,2022GQ0047479,999,1,999,999,1,,,,1042311,,,3,,,1,2
54,500,410079503001004,12,2022GQ0047479,999,1,999,999,1,,,,1042311,,,3,,,1,2
55,500,410079503001004,12,2022GQ0047479,999,1,999,999,1,,,,1042311,,,3,,,1,2
56,500,410079503001004,9,2022GQ0071606,999,1,999,999,1,,,,1042311,,,3,,,1,2
57,500,410079503001004,10,2022GQ0110162,999,1,999,999,1,,,,1042311,,,3,,,1,2
58,500,410079503001004,1,2022GQ0145709,999,1,999,999,1,,,,1042311,,,3,,,1,2
59,500,410079503003008,3,2018GQ0088114,999,1,999,999,1,,,,1184371,,,3,,,1,2
60,500,410079503003008,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
61,500,410079503003008,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
62,500,410079503003008,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
63,500,410079503003008,30,2018GQ0148952,999,1,999,999,1,,,,1184371,,,3,,,1,2
64,500,410079503003008,14,2019GQ0098569,999,1,999,999,1,,,,1159866,,,3,,,1,2
65,500,410079503003008,14,2019GQ0098569,999,1,999,999,1,,,,1159866,,,3,,,1,2
66,500,410079503003008,18,2019GQ0112010,999,1,999,999,1,,,,1159866,,,3,,,1,2
67,500,410079503003008,9,2020GQ0018287,999,1,999,999,1,,,,1140108,,,3,,,1,2
68,500,410079503003008,9,2020GQ0018287,999,1,999,999,1,,,,1140108,,,3,,,1,2
69,500,410079503003008,9,2020GQ0018287,999,1,999,999,1,,,,1140108,,,3,,,1,2
70,500,410079503003008,9,2020GQ0018287,999,1,999,999,1,,,,1140108,,,3,,,1,2
71,500,410079503003008,10,2020GQ0024344,999,1,999,999,1,,,,1140108,,,3,,,1,2
