PUMA,BLOCK,household_id,gqwgtp,SERIALNO,employed,soc,OCCP,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG
500,410079502004013,1,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079502004013,2,14,2019GQ0098569,1,55,6,19,1,40,4,-8,1,1,10,1,1
500,410079502004013,3,18,2019GQ0112010,1,55,6,20,2,40,4,-8,1,1,10,1,1
500,410079502004013,4,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079502004013,5,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079502004013,6,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079502004013,7,10,2022GQ0110162,1,53,6,21,1,65,4,-8,1,1,10,1,1
500,410079503001004,8,2,2018GQ0130665,1,49,5,21,1,50,4,-8,1,1,9,1,1
500,410079503001004,9,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,10,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,11,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,12,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,13,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,14,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,15,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,16,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,17,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,18,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,19,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,20,30,2018GQ0148952,1,15,1,22,1,45,4,-8,1,1,9,1,1
500,410079503001004,21,18,2019GQ0112010,1,55,6,20,2,40,4,-8,1,1,10,1,1
500,410079503001004,22,18,2019GQ0112010,1,55,6,20,2,40,4,-8,1,1,10,1,1
500,410079503001004,23,18,2019GQ0112010,1,55,6,20,2,40,4,-8,1,1,10,1,1
500,410079503001004,24,18,2019GQ0112010,1,55,6,20,2,40,4,-8,1,1,10,1,1
500,410079503001004,25,18,2019GQ0112010,1,55,6,20,2,40,4,-8,1,1,10,1,1
500,410079503001004,26,1,2019GQ0130614,1,55,6,29,1,60,4,-8,1,1,10,1,1
500,410079503001004,27,9,2020GQ0018287,1,55,6,25,1,55,4,-8,1,1,9,1,1
500,410079503001004,28,9,2020GQ0018287,1,55,6,25,1,55,4,-8,1,1,9,1,1
500,410079503001004,29,10,2020GQ0024344,1,55,6,19,1,40,4,-8,1,1,9,1,1
500,410079503001004,30,10,2020GQ0024344,1,55,6,19,1,40,4,-8,1,1,9,1,1
500,410079503001004,31,10,2020GQ0024344,1,55,6,19,1,40,4,-8,1,1,9,1,1
500,410079503001004,32,10,2020GQ0024344,1,55,6,19,1,40,4,-8,1,1,9,1,1
500,410079503001004,33,3,2020GQ0087839,1,35,3,19,1,85,4,-8,1,1,11,1,1
500,410079503001004,34,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079503001004,35,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079503001004,36,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079503001004,37,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
500,410079503001004,38,39,2021GQ0007002,1,53,6,22,1,79,4,-8,1,1,12,1,1
