process,pid,rss,full_rss,uss,event,children,time
MainProcess,9028,104_796_160,104_796_160,72_650_752,pipeline.run before preload_injectables,0,2024/02/27 12:41:38.353298
MainProcess,9028,105_086_976,105_086_976,72_663_040,pipeline.run after preload_injectables,0,2024/02/27 12:41:38.373910
MainProcess,9028,105_115_648,105_115_648,72_663_040,pipeline.run_model input_pre_processor start,0,2024/02/27 12:41:38.403013
MainProcess,9028,108_449_792,108_449_792,75_632_640,pipeline.run_model input_pre_processor finished,0,2024/02/27 12:41:38.495887
MainProcess,9028,112_103_424,112_103_424,79_409_152,pipeline.run after input_pre_processor,0,2024/02/27 12:41:38.569824
MainProcess,9028,112_259_072,112_259_072,79_409_152,pipeline.run_model setup_data_structures start,0,2024/02/27 12:41:38.593750
MainProcess,9028,113_008_640,113_008_640,79_626_240,pipeline.run_model setup_data_structures finished,0,2024/02/27 12:41:38.676339
MainProcess,9028,112_717_824,112_717_824,79_581_184,pipeline.run after setup_data_structures,0,2024/02/27 12:41:38.770844
MainProcess,9028,112_979_968,112_979_968,79_585_280,pipeline.run_model initial_seed_balancing start,0,2024/02/27 12:41:38.800062
MainProcess,9028,113_053_696,113_053_696,79_585_280,pipeline.run_model initial_seed_balancing finished,0,2024/02/27 12:41:38.843118
MainProcess,9028,113_057_792,113_057_792,79_859_712,pipeline.run after initial_seed_balancing,0,2024/02/27 12:41:38.884440
MainProcess,9028,113_328_128,113_328_128,79_859_712,pipeline.run_model meta_control_factoring start,0,2024/02/27 12:41:38.904228
MainProcess,9028,113_328_128,113_328_128,79_859_712,pipeline.run_model meta_control_factoring finished,0,2024/02/27 12:41:38.936767
MainProcess,9028,113_336_320,113_336_320,79_867_904,pipeline.run after meta_control_factoring,0,2024/02/27 12:41:38.968766
MainProcess,9028,113_336_320,113_336_320,79_867_904,pipeline.run_model final_seed_balancing start,0,2024/02/27 12:41:38.997648
MainProcess,9028,113_336_320,113_336_320,79_867_904,pipeline.run_model final_seed_balancing finished,0,2024/02/27 12:41:39.020150
MainProcess,9028,111_235_072,111_235_072,77_848_576,pipeline.run after final_seed_balancing,0,2024/02/27 12:41:39.061556
MainProcess,9028,111_316_992,111_316_992,77_848_576,pipeline.run_model integerize_final_seed_weights start,0,2024/02/27 12:41:39.091107
MainProcess,9028,113_561_600,113_561_600,78_340_096,pipeline.run_model integerize_final_seed_weights finished,0,2024/02/27 12:41:39.150742
MainProcess,9028,113_807_360,113_807_360,78_340_096,pipeline.run after integerize_final_seed_weights,0,2024/02/27 12:41:39.182052
MainProcess,9028,113_807_360,113_807_360,78_340_096,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/02/27 12:41:39.213361
MainProcess,9028,113_917_952,113_917_952,78_372_864,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/02/27 12:41:39.306678
MainProcess,9028,113_967_104,113_967_104,78_422_016,pipeline.run after sub_balancing.geography=BLOCK,0,2024/02/27 12:41:39.353491
MainProcess,9028,113_999_872,113_999_872,78_422_016,pipeline.run_model expand_households start,0,2024/02/27 12:41:39.384797
MainProcess,9028,114_106_368,114_106_368,78_426_112,pipeline.run_model expand_households finished,0,2024/02/27 12:41:39.422329
MainProcess,9028,114_106_368,114_106_368,78_622_720,pipeline.run after expand_households,0,2024/02/27 12:41:39.463364
MainProcess,9028,114_302_976,114_302_976,78_622_720,pipeline.run_model summarize start,0,2024/02/27 12:41:39.478371
MainProcess,9028,114_360_320,114_360_320,78_622_720,pipeline.run_model summarize finished,0,2024/02/27 12:41:39.556927
MainProcess,9028,117_256_192,117_256_192,81_780_736,pipeline.run after summarize,0,2024/02/27 12:41:39.650322
MainProcess,9028,117_518_336,117_518_336,81_780_736,pipeline.run_model write_tables start,0,2024/02/27 12:41:39.665987
MainProcess,9028,117_555_200,117_555_200,81_797_120,pipeline.run_model write_tables finished,0,2024/02/27 12:41:39.697122
MainProcess,9028,117_555_200,117_555_200,81_797_120,pipeline.run after write_tables,0,2024/02/27 12:41:39.744412
MainProcess,9028,117_555_200,117_555_200,81_797_120,pipeline.run_model write_synthetic_population start,0,2024/02/27 12:41:39.759418
MainProcess,9028,117_657_600,117_657_600,82_018_304,pipeline.run_model write_synthetic_population finished,0,2024/02/27 12:41:39.791280
MainProcess,9028,117_776_384,117_776_384,82_018_304,pipeline.run after write_synthetic_population,0,2024/02/27 12:41:39.844118
MainProcess,9028,117_776_384,117_776_384,82_018_304,pipeline.run after run_models,0,2024/02/27 12:41:39.866905
