"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
410390038023006,"Block 3006, Block Group 3, Census Tract 38.02, Lane County, Oregon",28,0,0,0,0,0,28,28,0,0
410110005023015,"Block 3015, Block Group 3, Census Tract 5.02, Coos County, Oregon",33,0,0,0,0,0,33,33,0,0
410110005032003,"Block 2003, Block Group 2, Census Tract 5.03, Coos County, Oregon",57,0,0,0,0,0,57,57,0,0
410170013022012,"Block 2012, Block Group 2, Census Tract 13.02, Deschutes County, Oregon",38,0,0,0,0,0,38,38,0,0
410110005021017,"Block 1017, Block Group 1, Census Tract 5.02, Coos County, Oregon",16,0,0,0,0,0,16,8,8,0
410110005021024,"Block 1024, Block Group 1, Census Tract 5.02, Coos County, Oregon",25,0,0,0,0,0,25,25,0,0
410079511003065,"Block 3065, Block Group 3, Census Tract 9511, Clatsop County, Oregon",76,0,0,0,0,0,76,76,0,0
410030011022022,"Block 2022, Block Group 2, Census Tract 11.02, Benton County, Oregon",6,0,0,0,0,0,6,6,0,0
410030011022029,"Block 2029, Block Group 2, Census Tract 11.02, Benton County, Oregon",46,0,0,0,0,0,46,46,0,0
410030011022030,"Block 2030, Block Group 2, Census Tract 11.02, Benton County, Oregon",19,0,0,0,0,0,19,19,0,0
410030011024001,"Block 4001, Block Group 4, Census Tract 11.02, Benton County, Oregon",1,0,0,0,0,0,1,1,0,0
410030009002020,"Block 2020, Block Group 2, Census Tract 9, Benton County, Oregon",38,0,0,0,0,0,38,38,0,0
410030011011016,"Block 1016, Block Group 1, Census Tract 11.01, Benton County, Oregon",24,0,0,0,0,0,24,24,0,0
410030011012005,"Block 2005, Block Group 2, Census Tract 11.01, Benton County, Oregon",57,0,0,0,0,0,57,57,0,0
410030011024011,"Block 4011, Block Group 4, Census Tract 11.02, Benton County, Oregon",25,0,0,0,0,0,25,25,0,0
410030011024012,"Block 4012, Block Group 4, Census Tract 11.02, Benton County, Oregon",8,0,0,0,0,0,8,8,0,0
410030011024014,"Block 4014, Block Group 4, Census Tract 11.02, Benton County, Oregon",60,0,0,0,0,0,60,60,0,0
410030011024017,"Block 4017, Block Group 4, Census Tract 11.02, Benton County, Oregon",9,0,0,0,0,0,9,9,0,0
410030011013001,"Block 3001, Block Group 3, Census Tract 11.01, Benton County, Oregon",77,0,0,0,0,0,77,77,0,0
410030011013002,"Block 3002, Block Group 3, Census Tract 11.01, Benton County, Oregon",9,0,0,0,0,0,9,9,0,0
410030011013003,"Block 3003, Block Group 3, Census Tract 11.01, Benton County, Oregon",98,0,0,0,0,0,98,98,0,0
410030011013007,"Block 3007, Block Group 3, Census Tract 11.01, Benton County, Oregon",25,0,0,0,0,0,25,25,0,0
410030011014004,"Block 4004, Block Group 4, Census Tract 11.01, Benton County, Oregon",151,0,0,0,0,0,151,151,0,0
410030011014005,"Block 4005, Block Group 4, Census Tract 11.01, Benton County, Oregon",83,6,0,0,6,0,77,77,0,0
410030011014007,"Block 4007, Block Group 4, Census Tract 11.01, Benton County, Oregon",6,0,0,0,0,0,6,6,0,0
410030011014008,"Block 4008, Block Group 4, Census Tract 11.01, Benton County, Oregon",51,0,0,0,0,0,51,51,0,0
410030106021005,"Block 1005, Block Group 1, Census Tract 106.02, Benton County, Oregon",17,0,0,0,0,0,17,17,0,0
410030106021006,"Block 1006, Block Group 1, Census Tract 106.02, Benton County, Oregon",79,0,0,0,0,0,79,23,0,56
410030106022020,"Block 2020, Block Group 2, Census Tract 106.02, Benton County, Oregon",286,0,0,0,0,0,286,286,0,0
410030106022021,"Block 2021, Block Group 2, Census Tract 106.02, Benton County, Oregon",768,0,0,0,0,0,768,768,0,0
410030107021000,"Block 1000, Block Group 1, Census Tract 107.02, Benton County, Oregon",27,0,0,0,0,0,27,27,0,0
410030107022006,"Block 2006, Block Group 2, Census Tract 107.02, Benton County, Oregon",294,0,0,0,0,0,294,294,0,0
410030107022007,"Block 2007, Block Group 2, Census Tract 107.02, Benton County, Oregon",292,0,0,0,0,0,292,292,0,0
410030107022008,"Block 2008, Block Group 2, Census Tract 107.02, Benton County, Oregon",1123,0,0,0,0,0,1123,1123,0,0
410290025002198,"Block 2198, Block Group 2, Census Tract 25, Jackson County, Oregon",18,0,0,0,0,0,18,18,0,0
410319603041034,"Block 1034, Block Group 1, Census Tract 9603.04, Jefferson County, Oregon",19,0,0,0,0,0,19,19,0,0
410290019001019,"Block 1019, Block Group 1, Census Tract 19, Jackson County, Oregon",778,0,0,0,0,0,778,778,0,0
410290019002008,"Block 2008, Block Group 2, Census Tract 19, Jackson County, Oregon",86,0,0,0,0,0,86,86,0,0
410290019002009,"Block 2009, Block Group 2, Census Tract 19, Jackson County, Oregon",90,0,0,0,0,0,90,90,0,0
410359720003032,"Block 3032, Block Group 3, Census Tract 9720, Klamath County, Oregon",525,0,0,0,0,0,525,525,0,0
410390038021008,"Block 1008, Block Group 1, Census Tract 38.02, Lane County, Oregon",102,0,0,0,0,0,102,102,0,0
410390038021009,"Block 1009, Block Group 1, Census Tract 38.02, Lane County, Oregon",82,0,0,0,0,0,82,82,0,0
410390038023011,"Block 3011, Block Group 3, Census Tract 38.02, Lane County, Oregon",46,0,0,0,0,0,46,46,0,0
410390038023014,"Block 3014, Block Group 3, Census Tract 38.02, Lane County, Oregon",50,0,0,0,0,0,50,50,0,0
410390037001025,"Block 1025, Block Group 1, Census Tract 37, Lane County, Oregon",702,0,0,0,0,0,702,702,0,0
410390049002016,"Block 2016, Block Group 2, Census Tract 49, Lane County, Oregon",50,0,0,0,0,0,50,46,0,4
410390037002000,"Block 2000, Block Group 2, Census Tract 37, Lane County, Oregon",1457,0,0,0,0,0,1457,1457,0,0
410390037002004,"Block 2004, Block Group 2, Census Tract 37, Lane County, Oregon",1600,0,0,0,0,0,1600,1600,0,0
410390037002006,"Block 2006, Block Group 2, Census Tract 37, Lane County, Oregon",52,0,0,0,0,0,52,52,0,0
410390037002008,"Block 2008, Block Group 2, Census Tract 37, Lane County, Oregon",496,0,0,0,0,0,496,496,0,0
