"RT","SERIALNO","DIVISION","SPORDER","PUMA","PUMA20","REGION","ST","ADJINC","PWGTP","AGEP","CIT","CITWP","COW","DDRS","DEAR","DEYE","DOUT","DPHY","DRAT","DRATX","DREM","ENG","FER","GCL","GCM","GCR","HINS1","HINS2","HINS3","HINS4","HINS5","HINS6","HINS7","INTP","JWMNP","JWRIP","JWTRNS","LANX","MAR","MARHD","MARHM","MARHT","MARHW","MARHYP","MIG","MIL","MLPA","MLPB","MLPCD","MLPE","MLPFG","MLPH","MLPIK","MLPJ","NWAB","NWAV","NWLA","NWLK","NWRE","OIP","PAP","RELSHIPP","RETP","SCH","SCHG","SCHL","SEMP","SEX","SSIP","SSP","WAGP","WKHP","WKL","WKW","WKWN","WRK","YOEP","ANC","ANC1P","ANC2P","DECADE","DIS","DRIVESP","ESP","ESR","FOD1P","FOD2P","HICOV","HISP","INDP","JWAP","JWDP","LANP","MIGPUMA10","MIGPUMA20","MIGSP","MSP","NAICSP","NATIVITY","NOP","OC","OCCP","PAOC","PERNP","PINCP","POBP","POVPIP","POWPUMA10","POWPUMA20","POWSP","PRIVCOV","PUBCOV","QTRBIR","RAC1P","RAC2P","RAC3P","RACAIAN","RACASN","RACBLK","RACNH","RACNUM","RACPI","RACSOR","RACWHT","RC","SCIENGP","SCIENGRLP","SFN","SFR","SOCP","VPS","WAOB","FAGEP","FANCP","FCITP","FCITWP","FCOWP","FDDRSP","FDEARP","FDEYEP","FDISP","FDOUTP","FDPHYP","FDRATP","FDRATXP","FDREMP","FENGP","FESRP","FFERP","FFODP","FGCLP","FGCMP","FGCRP","FHICOVP","FHINS1P","FHINS2P","FHINS3C","FHINS3P","FHINS4C","FHINS4P","FHINS5C","FHINS5P","FHINS6P","FHINS7P","FHISP","FINDP","FINTP","FJWDP","FJWMNP","FJWRIP","FJWTRNSP","FLANP","FLANXP","FMARP","FMARHDP","FMARHMP","FMARHTP","FMARHWP","FMARHYP","FMIGP","FMIGSP","FMILPP","FMILSP","FOCCP","FOIP","FPAP","FPERNP","FPINCP","FPOBP","FPOWSP","FPRIVCOVP","FPUBCOVP","FRACP","FRELSHIPP","FRETP","FSCHGP","FSCHLP","FSCHP","FSEMP","FSEXP","FSSIP","FSSP","FWAGP","FWKHP","FWKLP","FWKWNP","FWKWP","FWRKP","FYOEP","PWGTP1","PWGTP2","PWGTP3","PWGTP4","PWGTP5","PWGTP6","PWGTP7","PWGTP8","PWGTP9","PWGTP10","PWGTP11","PWGTP12","PWGTP13","PWGTP14","PWGTP15","PWGTP16","PWGTP17","PWGTP18","PWGTP19","PWGTP20","PWGTP21","PWGTP22","PWGTP23","PWGTP24","PWGTP25","PWGTP26","PWGTP27","PWGTP28","PWGTP29","PWGTP30","PWGTP31","PWGTP32","PWGTP33","PWGTP34","PWGTP35","PWGTP36","PWGTP37","PWGTP38","PWGTP39","PWGTP40","PWGTP41","PWGTP42","PWGTP43","PWGTP44","PWGTP45","PWGTP46","PWGTP47","PWGTP48","PWGTP49","PWGTP50","PWGTP51","PWGTP52","PWGTP53","PWGTP54","PWGTP55","PWGTP56","PWGTP57","PWGTP58","PWGTP59","PWGTP60","PWGTP61","PWGTP62","PWGTP63","PWGTP64","PWGTP65","PWGTP66","PWGTP67","PWGTP68","PWGTP69","PWGTP70","PWGTP71","PWGTP72","PWGTP73","PWGTP74","PWGTP75","PWGTP76","PWGTP77","PWGTP78","PWGTP79","PWGTP80","GQTYPE","gqwgtp","GQFLAG","employed","soc","hhnum"
"P","2018GQ0000287",9,1,1000,-9,4,41,1184371,10,21,1,NA,1,2,2,2,2,2,NA,NA,2,1,NA,NA,NA,NA,1,2,2,2,2,2,2,0,15,NA,10,1,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,10000,0,38,0,2,6,10,0,1,0,0,7000,36,1,1,NA,NA,NA,2,200,210,NA,2,NA,NA,1,NA,NA,1,2,8660,109,67,1200,NA,NA,NA,6,"7211",1,NA,NA,4,NA,7000,17000,41,NA,1000,-9,41,1,2,1,9,68,17,1,0,0,0,2,0,0,1,NA,NA,NA,NA,NA,"412010",NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,10,9,19,10,1,10,18,18,10,11,18,1,10,1,1,10,1,19,9,10,10,10,1,10,18,10,0,1,10,9,0,19,11,19,18,10,20,1,10,10,10,10,19,10,1,10,19,19,10,10,20,0,10,0,1,10,1,20,10,10,11,10,1,9,18,11,1,1,10,10,1,19,10,19,18,10,21,1,10,11,1,10,1,1,41,1
"P","2018GQ0000294",9,1,1324,-9,4,41,1184371,10,19,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,2,6,10,0,1,0,0,0,-8,3,-8,NA,2,NA,1,195,999,NA,2,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,"",1,NA,NA,999,NA,0,0,6,NA,NA,NA,NA,1,2,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,0,20,11,10,1,1,1,11,10,19,1,10,20,10,11,10,10,19,11,10,10,11,1,19,11,11,11,0,21,11,11,1,10,1,1,21,21,10,1,0,20,1,10,11,20,20,20,11,10,1,20,10,1,10,11,11,10,1,12,10,11,10,19,1,11,10,10,19,1,11,11,20,10,21,21,1,1,11,1,10,1,0,0,2
"P","2018GQ0000298",9,1,1200,-9,4,41,1184371,22,18,1,NA,4,2,2,2,2,2,NA,NA,2,NA,2,NA,NA,NA,2,2,2,1,2,2,2,0,15,NA,10,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,16000,0,38,0,2,6,11,0,2,0,0,1800,10,1,5,NA,1,NA,4,999,999,NA,2,NA,NA,1,NA,NA,1,1,7870,91,49,NA,1326,-9,41,6,"611M1",1,NA,NA,3,NA,1800,17800,37,NA,1200,-9,41,2,1,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"352010",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,21,42,2,21,22,1,21,21,1,20,22,23,2,40,41,44,43,2,23,22,23,44,1,22,21,1,22,23,3,24,23,22,2,41,43,45,43,3,22,23,22,2,45,23,22,43,22,23,42,22,21,22,42,2,2,2,2,40,22,21,23,2,41,21,23,43,22,22,41,21,23,22,42,1,2,2,2,43,22,1,22,1,1,35,3
"P","2018GQ0000486",9,1,703,-9,4,41,1184371,18,19,1,NA,4,2,2,2,2,2,NA,NA,2,NA,2,NA,NA,NA,1,1,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,2,6,11,0,2,0,0,2000,15,1,6,NA,2,NA,1,5,999,NA,2,NA,NA,6,NA,NA,1,1,7870,NA,NA,NA,NA,NA,NA,6,"611M1",1,NA,NA,999,NA,2000,2000,41,NA,NA,NA,NA,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"412010",NA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,1,NA,1,NA,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,2,18,1,2,18,2,32,18,17,19,33,19,2,19,33,34,19,18,35,19,36,18,36,34,19,33,1,18,19,20,2,19,35,17,1,1,19,18,2,18,35,18,34,37,19,36,2,18,19,18,2,17,34,18,1,2,18,18,1,18,1,19,2,1,17,2,36,18,18,18,34,19,1,17,33,34,20,18,35,18,1,18,1,0,0,4
"P","2018GQ0001102",9,1,1104,-9,4,41,1184371,8,19,1,NA,2,2,2,2,2,2,NA,NA,2,1,2,NA,NA,NA,2,2,2,1,2,2,2,0,10,NA,10,1,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,67000,0,38,0,3,6,11,0,2,0,0,300,10,1,1,NA,1,NA,2,200,210,NA,2,NA,NA,1,NA,NA,1,2,7890,222,130,1200,1100,-9,41,6,"611M3",1,NA,NA,2,NA,300,67300,41,NA,1100,-9,41,2,1,4,9,68,17,1,0,0,0,2,0,0,1,NA,NA,NA,NA,NA,"253041",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8,16,8,0,8,9,0,16,8,9,1,9,8,18,9,8,1,17,17,9,1,9,18,9,0,1,8,8,1,18,9,18,16,8,16,1,9,9,9,1,9,17,9,1,9,9,1,17,9,9,0,9,8,16,9,9,1,17,16,9,1,9,17,9,0,1,9,9,1,16,9,17,17,9,15,1,10,9,9,0,1,8,1,1,25,5
"P","2018GQ0001257",9,1,703,-9,4,41,1184371,16,18,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,2,6,9,0,1,0,17100,9000,35,1,5,NA,2,NA,2,88,148,NA,2,NA,NA,6,NA,NA,1,1,5070,NA,NA,NA,3700,-9,6,6,"44611",1,NA,NA,999,NA,9000,26100,6,NA,NA,NA,NA,1,2,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"353031",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,2,1,16,30,1,29,15,17,16,15,16,16,1,29,17,16,29,16,17,30,15,16,29,16,16,16,31,2,1,1,1,29,15,16,2,32,16,30,2,15,30,31,16,1,31,2,15,16,16,15,16,16,31,1,16,16,1,16,17,1,16,15,1,15,16,15,1,30,30,31,30,1,15,16,33,1,15,1,1,16,1,0,0,6
"P","2018GQ0001389",9,1,705,-9,4,41,1184371,2,19,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,9000,0,38,0,2,6,11,0,1,0,0,2000,49,1,6,NA,2,NA,1,50,999,NA,2,NA,NA,3,NA,NA,1,1,8670,NA,NA,NA,700,-9,41,6,"721M",1,NA,NA,999,NA,2000,11000,6,NA,NA,NA,NA,1,2,2,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"272022",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,3,2,1,1,2,0,0,2,1,3,1,2,1,2,1,0,2,1,3,3,0,0,3,2,0,3,3,2,1,1,1,2,1,1,1,0,1,1,2,2,0,0,3,2,0,3,3,2,1,0,2,1,2,1,2,3,1,2,0,0,2,3,0,1,2,0,0,1,1,3,1,2,2,1,2,1,0,0,7
"P","2018GQ0001469",9,1,1105,-9,4,41,1184371,14,22,1,NA,2,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,2,1,2,2,2,0,NA,NA,11,2,1,2,2,1,2,2015,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,3,6,10,0,1,0,0,22000,50,1,1,NA,1,NA,2,32,84,NA,2,NA,NA,1,NA,NA,1,1,9160,NA,NA,NA,3900,-9,6,2,"8131",1,NA,NA,2,NA,22000,22000,6,171,1100,-9,41,2,1,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"212099",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,14,28,28,14,27,0,28,0,13,0,0,15,14,15,14,14,14,14,28,0,0,13,14,29,15,14,13,14,27,14,14,0,1,28,29,0,1,29,14,15,13,0,0,14,1,27,0,28,14,28,27,14,14,15,14,14,14,15,0,28,27,14,15,0,14,15,15,14,0,14,14,27,29,0,0,28,29,1,14,1,1,21,8
"P","2018GQ0001475",9,1,1321,-9,4,41,1184371,6,18,1,NA,2,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,5,NA,10,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,3,6,10,0,1,0,0,1000,6,1,6,NA,1,NA,2,720,51,NA,2,NA,NA,1,NA,NA,1,1,7870,125,82,NA,1326,-9,41,6,"611M1",1,NA,NA,6,NA,1000,1000,41,NA,1327,-9,41,1,2,1,6,45,6,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,"537062",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,11,12,11,11,1,6,6,11,0,6,5,0,6,7,0,6,6,7,6,11,1,1,0,0,12,7,6,1,12,6,6,12,6,6,12,6,5,6,5,12,0,0,0,1,12,5,6,0,11,6,6,12,6,6,12,6,6,6,6,1,11,11,12,12,0,6,5,11,0,6,6,0,6,6,1,5,7,1,6,1,1,53,9
"P","2018GQ0001751",9,1,1314,-9,4,41,1184371,21,18,1,NA,1,2,2,2,2,2,NA,NA,2,NA,2,NA,NA,NA,1,2,2,2,2,2,2,0,40,NA,2,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,2,6,10,0,2,0,0,10000,30,1,1,NA,1,NA,2,111,142,NA,2,NA,NA,1,NA,NA,1,1,8990,180,106,NA,1326,-9,41,6,"8121M",1,NA,NA,6,NA,10000,10000,41,NA,1325,-9,41,1,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,"537061",NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,39,1,1,2,2,37,20,19,2,38,21,21,41,20,20,43,21,21,21,21,1,42,39,40,38,2,20,22,42,2,21,20,2,21,21,2,21,22,20,21,41,2,2,2,2,40,20,21,2,40,21,20,39,22,21,40,21,19,21,21,1,41,38,38,40,1,20,21,39,1,22,21,2,20,21,2,21,21,21,1,21,1,1,53,10
