household_id,PUMA,BLOCK,GQWGTP,SERIALNO,HTYPE,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,TYPE,NPF,HUPAC,GQFLAG,GQTYPE
1,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
2,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
3,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
4,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
5,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
6,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
7,100,410619707002014,13,2018GQ0010998,999,1,999,999,1,,,,1184371,,,3,,,1,1
8,100,410619707002014,14,2018GQ0017782,999,0,999,999,1,,,,1184371,,,3,,,1,1
9,100,410619707002014,14,2018GQ0017782,999,0,999,999,1,,,,1184371,,,3,,,1,1
10,100,410619707002014,14,2018GQ0017782,999,0,999,999,1,,,,1184371,,,3,,,1,1
11,100,410619707002014,14,2018GQ0017782,999,0,999,999,1,,,,1184371,,,3,,,1,1
12,100,410619707002014,4,2018GQ0046046,999,0,999,999,1,,,,1184371,,,3,,,1,1
13,100,410619707002014,10,2018GQ0058280,999,0,999,999,1,,,,1184371,,,3,,,1,1
14,100,410619707002014,10,2018GQ0058280,999,0,999,999,1,,,,1184371,,,3,,,1,1
15,100,410619707002014,5,2018GQ0075267,999,0,999,999,1,,,,1184371,,,3,,,1,1
16,100,410619707002014,5,2018GQ0075267,999,0,999,999,1,,,,1184371,,,3,,,1,1
17,100,410619707002014,5,2018GQ0075267,999,0,999,999,1,,,,1184371,,,3,,,1,1
18,100,410619707002014,6,2018GQ0081108,999,0,999,999,1,,,,1184371,,,3,,,1,1
19,100,410619707002014,3,2018GQ0095168,999,0,999,999,1,,,,1184371,,,3,,,1,1
20,100,410619707002014,14,2018GQ0102291,999,0,999,999,1,,,,1184371,,,3,,,1,1
21,100,410619707002014,14,2018GQ0102291,999,0,999,999,1,,,,1184371,,,3,,,1,1
22,100,410619707002014,14,2018GQ0102291,999,0,999,999,1,,,,1184371,,,3,,,1,1
23,100,410619707002014,14,2018GQ0102291,999,0,999,999,1,,,,1184371,,,3,,,1,1
24,100,410619707002014,12,2018GQ0129206,999,0,999,999,1,,,,1184371,,,3,,,1,1
25,100,410619707002014,12,2018GQ0129206,999,0,999,999,1,,,,1184371,,,3,,,1,1
26,100,410619707002014,16,2018GQ0153731,999,0,999,999,1,,,,1184371,,,3,,,1,1
27,100,410619707002014,16,2018GQ0153731,999,0,999,999,1,,,,1184371,,,3,,,1,1
28,100,410619707002014,16,2018GQ0153731,999,0,999,999,1,,,,1184371,,,3,,,1,1
29,100,410619707002014,16,2018GQ0153731,999,0,999,999,1,,,,1184371,,,3,,,1,1
30,100,410619707002014,15,2019GQ0020530,999,1,999,999,1,,,,1159866,,,3,,,1,1
31,100,410619707002014,15,2019GQ0020530,999,1,999,999,1,,,,1159866,,,3,,,1,1
32,100,410619707002014,8,2019GQ0042994,999,1,999,999,1,,,,1159866,,,3,,,1,1
33,100,410619707002014,8,2019GQ0042994,999,1,999,999,1,,,,1159866,,,3,,,1,1
34,100,410619707002014,8,2019GQ0042994,999,1,999,999,1,,,,1159866,,,3,,,1,1
35,100,410619707002014,14,2019GQ0063247,999,1,999,999,1,,,,1159866,,,3,,,1,1
36,100,410619707002014,14,2019GQ0063247,999,1,999,999,1,,,,1159866,,,3,,,1,1
37,100,410619707002014,14,2019GQ0063247,999,1,999,999,1,,,,1159866,,,3,,,1,1
38,100,410619707002014,14,2019GQ0063247,999,1,999,999,1,,,,1159866,,,3,,,1,1
39,100,410619707002014,14,2019GQ0063247,999,1,999,999,1,,,,1159866,,,3,,,1,1
40,100,410619707002014,14,2019GQ0063247,999,1,999,999,1,,,,1159866,,,3,,,1,1
41,100,410619707002014,13,2019GQ0081415,999,1,999,999,1,,,,1159866,,,3,,,1,1
42,100,410619707002014,13,2019GQ0081415,999,1,999,999,1,,,,1159866,,,3,,,1,1
43,100,410619707002014,13,2019GQ0081415,999,1,999,999,1,,,,1159866,,,3,,,1,1
44,100,410619707002014,5,2019GQ0089374,999,1,999,999,1,,,,1159866,,,3,,,1,1
45,100,410619707002014,5,2019GQ0089374,999,1,999,999,1,,,,1159866,,,3,,,1,1
46,100,410619707002014,4,2019GQ0095961,999,1,999,999,1,,,,1159866,,,3,,,1,1
47,100,410619707002014,4,2019GQ0095961,999,1,999,999,1,,,,1159866,,,3,,,1,1
48,100,410619707002014,12,2019GQ0101555,999,0,999,999,1,,,,1159866,,,3,,,1,1
49,100,410619707002014,12,2019GQ0101555,999,0,999,999,1,,,,1159866,,,3,,,1,1
50,100,410619707002014,12,2019GQ0101555,999,0,999,999,1,,,,1159866,,,3,,,1,1
51,100,410619707002014,5,2019GQ0103445,999,1,999,999,1,,,,1159866,,,3,,,1,1
52,100,410619707002014,5,2019GQ0103445,999,1,999,999,1,,,,1159866,,,3,,,1,1
53,100,410619707002014,5,2019GQ0148648,999,1,999,999,1,,,,1159866,,,3,,,1,1
54,100,410619707002014,5,2019GQ0148648,999,1,999,999,1,,,,1159866,,,3,,,1,1
55,100,410619707002014,5,2019GQ0148648,999,1,999,999,1,,,,1159866,,,3,,,1,1
56,100,410619707002014,4,2020GQ0021937,999,0,999,999,1,,,,1140108,,,3,,,1,1
57,100,410619707002014,4,2020GQ0021937,999,0,999,999,1,,,,1140108,,,3,,,1,1
58,100,410619707002014,11,2020GQ0026155,999,1,999,999,1,,,,1140108,,,3,,,1,1
59,100,410619707002014,11,2020GQ0026155,999,1,999,999,1,,,,1140108,,,3,,,1,1
60,100,410619707002014,4,2020GQ0070354,999,0,999,999,1,,,,1140108,,,3,,,1,1
