PUMA,BLOCK,household_id,gqwgtp,SERIALNO,employed,soc,OCCP,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG
100,410619707002014,1,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,2,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,3,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,4,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,5,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,6,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,7,13,2018GQ0010998,1,19,1,24,1,20,1,6,4,4,12,1,1
100,410619707002014,8,14,2018GQ0017782,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,9,14,2018GQ0017782,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,10,14,2018GQ0017782,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,11,14,2018GQ0017782,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,12,4,2018GQ0046046,0,0,999,18,1,10,3,6,1,4,12,1,1
100,410619707002014,13,10,2018GQ0058280,0,0,999,21,1,13,6,6,4,3,11,1,1
100,410619707002014,14,10,2018GQ0058280,0,0,999,21,1,13,6,6,4,3,11,1,1
100,410619707002014,15,5,2018GQ0075267,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,16,5,2018GQ0075267,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,17,5,2018GQ0075267,0,0,999,18,2,20,6,6,6,4,9,1,1
100,410619707002014,18,6,2018GQ0081108,0,0,999,18,2,10,6,6,6,4,9,1,1
100,410619707002014,19,3,2018GQ0095168,0,0,999,17,2,40,3,6,6,4,9,1,1
100,410619707002014,20,14,2018GQ0102291,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,21,14,2018GQ0102291,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,22,14,2018GQ0102291,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,23,14,2018GQ0102291,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,24,12,2018GQ0129206,0,0,999,19,1,-8,6,6,-8,4,10,1,1
100,410619707002014,25,12,2018GQ0129206,0,0,999,19,1,-8,6,6,-8,4,10,1,1
100,410619707002014,26,16,2018GQ0153731,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,27,16,2018GQ0153731,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,28,16,2018GQ0153731,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,29,16,2018GQ0153731,0,0,999,18,2,10,6,6,6,4,10,1,1
100,410619707002014,30,15,2019GQ0020530,1,35,3,18,1,30,1,6,6,4,10,1,1
100,410619707002014,31,15,2019GQ0020530,1,35,3,18,1,30,1,6,6,4,10,1,1
100,410619707002014,32,8,2019GQ0042994,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,33,8,2019GQ0042994,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,34,8,2019GQ0042994,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,35,14,2019GQ0063247,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,36,14,2019GQ0063247,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,37,14,2019GQ0063247,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,38,14,2019GQ0063247,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,39,14,2019GQ0063247,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,40,14,2019GQ0063247,1,53,6,18,2,40,1,6,6,4,10,1,1
100,410619707002014,41,13,2019GQ0081415,1,35,3,18,1,30,1,6,6,4,10,1,1
100,410619707002014,42,13,2019GQ0081415,1,35,3,18,1,30,1,6,6,4,10,1,1
100,410619707002014,43,13,2019GQ0081415,1,35,3,18,1,30,1,6,6,4,10,1,1
100,410619707002014,44,5,2019GQ0089374,1,53,6,19,2,40,1,6,6,4,9,1,1
100,410619707002014,45,5,2019GQ0089374,1,53,6,19,2,40,1,6,6,4,9,1,1
100,410619707002014,46,4,2019GQ0095961,1,25,2,19,1,6,1,6,6,4,11,1,1
