process,pid,rss,full_rss,uss,event,children,time
MainProcess,189752,104_898_560,104_898_560,72_744_960,pipeline.run before preload_injectables,0,2024/02/27 12:43:44.015625
MainProcess,189752,105_172_992,105_172_992,72_744_960,pipeline.run after preload_injectables,0,2024/02/27 12:43:44.035774
MainProcess,189752,105_201_664,105_201_664,72_744_960,pipeline.run_model input_pre_processor start,0,2024/02/27 12:43:44.063998
MainProcess,189752,120_569_856,120_569_856,87_912_448,pipeline.run_model input_pre_processor finished,0,2024/02/27 12:43:44.245078
MainProcess,189752,124_080_128,124_080_128,91_488_256,pipeline.run after input_pre_processor,0,2024/02/27 12:43:44.329581
MainProcess,189752,124_342_272,124_342_272,91_500_544,pipeline.run_model setup_data_structures start,0,2024/02/27 12:43:44.353887
MainProcess,189752,125_030_400,125_030_400,91_774_976,pipeline.run_model setup_data_structures finished,0,2024/02/27 12:43:44.447318
MainProcess,189752,125_136_896,125_136_896,91_938_816,pipeline.run after setup_data_structures,0,2024/02/27 12:43:44.572210
MainProcess,189752,125_337_600,125_337_600,92_004_352,pipeline.run_model initial_seed_balancing start,0,2024/02/27 12:43:44.603681
MainProcess,189752,125_476_864,125_476_864,92_004_352,pipeline.run_model initial_seed_balancing finished,0,2024/02/27 12:43:44.731296
MainProcess,189752,125_480_960,125_480_960,92_008_448,pipeline.run after initial_seed_balancing,0,2024/02/27 12:43:44.775420
MainProcess,189752,125_480_960,125_480_960,92_073_984,pipeline.run_model meta_control_factoring start,0,2024/02/27 12:43:44.806891
MainProcess,189752,125_546_496,125_546_496,92_073_984,pipeline.run_model meta_control_factoring finished,0,2024/02/27 12:43:44.831436
MainProcess,189752,125_546_496,125_546_496,92_073_984,pipeline.run after meta_control_factoring,0,2024/02/27 12:43:44.869197
MainProcess,189752,125_546_496,125_546_496,92_073_984,pipeline.run_model final_seed_balancing start,0,2024/02/27 12:43:44.900333
MainProcess,189752,125_546_496,125_546_496,92_090_368,pipeline.run_model final_seed_balancing finished,0,2024/02/27 12:43:44.916014
MainProcess,189752,123_461_632,123_461_632,90_005_504,pipeline.run after final_seed_balancing,0,2024/02/27 12:43:44.971798
MainProcess,189752,123_478_016,123_478_016,90_005_504,pipeline.run_model integerize_final_seed_weights start,0,2024/02/27 12:43:45.002083
MainProcess,189752,125_734_912,125_734_912,90_349_568,pipeline.run_model integerize_final_seed_weights finished,0,2024/02/27 12:43:45.228437
MainProcess,189752,125_820_928,125_820_928,90_353_664,pipeline.run after integerize_final_seed_weights,0,2024/02/27 12:43:45.276071
MainProcess,189752,125_820_928,125_820_928,90_353_664,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/02/27 12:43:45.291413
MainProcess,189752,126_271_488,126_271_488,90_931_200,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/02/27 12:43:45.954575
MainProcess,189752,126_517_248,126_517_248,91_066_368,pipeline.run after sub_balancing.geography=BLOCK,0,2024/02/27 12:43:45.998997
MainProcess,189752,126_648_320,126_648_320,91_066_368,pipeline.run_model expand_households start,0,2024/02/27 12:43:46.030039
MainProcess,189752,128_958_464,128_958_464,93_270_016,pipeline.run_model expand_households finished,0,2024/02/27 12:43:47.324651
MainProcess,189752,129_343_488,129_343_488,93_655_040,pipeline.run after expand_households,0,2024/02/27 12:43:47.367062
MainProcess,189752,129_343_488,129_343_488,93_655_040,pipeline.run_model summarize start,0,2024/02/27 12:43:47.396300
MainProcess,189752,129_400_832,129_400_832,93_655_040,pipeline.run_model summarize finished,0,2024/02/27 12:43:47.707540
MainProcess,189752,132_911_104,132_911_104,97_427_456,pipeline.run after summarize,0,2024/02/27 12:43:47.889156
MainProcess,189752,133_173_248,133_173_248,97_492_992,pipeline.run_model write_tables start,0,2024/02/27 12:43:47.919369
MainProcess,189752,134_475_776,134_475_776,98_709_504,pipeline.run_model write_tables finished,0,2024/02/27 12:43:47.988187
MainProcess,189752,134_475_776,134_475_776,98_709_504,pipeline.run after write_tables,0,2024/02/27 12:43:48.030209
MainProcess,189752,134_475_776,134_475_776,98_709_504,pipeline.run_model write_synthetic_population start,0,2024/02/27 12:43:48.053524
MainProcess,189752,134_750_208,134_750_208,98_983_936,pipeline.run_model write_synthetic_population finished,0,2024/02/27 12:43:48.299337
MainProcess,189752,134_750_208,134_750_208,98_983_936,pipeline.run after write_synthetic_population,0,2024/02/27 12:43:48.340366
MainProcess,189752,134_750_208,134_750_208,98_983_936,pipeline.run after run_models,0,2024/02/27 12:43:48.369469
