TRACT,W0,W1,W2,W3,OCCP_1,OCCP_2,OCCP_4,OCCP_5,OCCP_6,OCCP_7
41001950100,649,349,194,28,418,141,87,102,70,0
41001950200,561,508,330,18,466,351,282,112,147,0
41001950300,651,303,178,53,349,112,152,85,237,0
41001950400,504,510,304,77,504,209,333,81,159,0
41001950500,427,360,252,0,379,256,75,166,29,0
41001950600,438,304,192,11,282,209,155,124,64,0
41003000101,347,871,519,49,927,250,272,168,245,0
41003000102,235,355,549,177,1006,358,378,0,211,0
41003000202,551,827,797,138,1967,545,442,29,318,0
41003000401,427,338,408,27,848,236,160,56,18,0
41003000402,623,738,767,85,1469,369,489,20,135,0
41003000500,551,322,443,56,862,281,138,72,61,0
41003000600,828,852,512,58,919,419,468,73,205,0
41003000900,794,1061,562,186,1805,511,533,106,135,0
41003001001,542,738,429,94,563,607,409,202,181,0
41003001002,344,545,312,158,1060,265,266,139,120,0
41003001101,271,582,387,135,910,675,436,15,169,0
41003001102,607,807,411,194,1045,529,555,100,237,0
41003010101,558,603,299,175,803,267,297,118,183,0
41003010102,640,648,1108,176,1817,521,519,268,155,0
41003010200,595,383,551,109,1216,276,320,135,139,0
41003010300,463,572,243,57,400,185,227,376,130,0
41003010400,457,548,362,149,775,214,361,265,232,0
41003010601,649,646,214,101,674,262,354,78,106,0
41003010602,212,314,55,52,378,345,270,31,57,0
41003010702,290,313,272,51,733,457,150,44,67,0
41003010800,253,543,567,136,1010,358,454,156,494,0
41003010900,698,878,621,277,1542,422,644,196,239,0
41005020101,424,390,247,26,769,32,213,40,13,0
41005020102,415,317,295,36,695,53,177,51,62,0
41005020201,618,814,588,13,1522,166,250,89,131,0
41005020202,288,302,245,142,714,115,252,33,125,0
41005020302,387,609,674,59,1745,185,287,59,95,0
41005020303,777,799,660,64,1634,187,407,65,138,0
41005020304,439,973,751,34,1805,177,374,115,149,0
41005020401,426,821,877,59,1713,260,517,94,246,0
41005020403,313,590,403,37,1232,65,274,20,36,0
41005020404,396,578,487,28,1271,98,305,0,108,0
41005020503,181,349,444,52,930,60,326,8,53,0
41005020504,557,1044,769,121,1715,389,868,70,174,0
41005020505,719,403,361,33,546,31,268,89,42,0
41005020506,497,509,337,26,808,149,168,43,51,0
41005020507,339,567,479,94,1065,299,329,10,83,0
41005020601,431,461,253,74,730,97,218,30,125,0
41005020602,416,788,491,201,1378,233,632,170,76,0
41005020700,338,566,528,77,1044,184,406,51,176,0
41005020800,512,1053,395,168,975,429,487,290,202,0
41005020900,458,525,458,180,930,256,586,243,199,0
41005021000,372,733,630,154,1357,485,643,134,338,0
41005021100,472,848,767,103,1225,351,624,260,318,0
41005021200,707,688,366,119,623,376,303,130,279,0
41005021300,761,768,538,397,1137,647,761,264,459,0
41005021400,619,664,579,227,1271,332,471,152,205,0
41005021500,748,486,575,152,1173,258,434,195,368,0
41005021601,656,691,743,282,1301,660,750,267,571,0
41005021602,444,728,643,141,1043,494,659,137,362,0
41005021700,843,926,944,64,1295,420,622,211,645,0
41005021801,604,610,722,206,1168,341,646,97,388,0
41005021802,673,522,600,48,750,459,449,155,320,0
41005021900,421,527,391,74,560,223,510,237,139,0
41005022000,699,918,669,346,1197,403,771,395,597,0
41005022101,847,795,741,228,1050,540,1026,248,314,0
41005022105,684,608,784,179,1151,435,852,73,593,0
41005022107,479,564,578,77,615,448,635,162,429,0
41005022108,242,501,517,34,466,375,440,266,419,0
41005022109,383,464,252,142,578,262,325,63,102,0
41005022110,313,445,743,103,1085,236,637,119,389,28
41005022201,1083,954,305,194,683,647,332,154,572,0
41005022205,534,510,463,115,1143,249,340,66,116,0
41005022206,508,990,761,223,1749,377,842,135,434,0
41005022207,281,672,911,144,2006,380,554,125,281,0
41005022208,458,1237,1002,282,2262,467,844,337,375,27
41005022301,654,663,422,117,882,343,288,170,274,0
41005022302,528,613,934,140,1078,536,582,345,574,0
41005022400,445,624,548,80,921,515,399,138,219,0
41005022501,233,444,518,72,601,276,431,141,200,0
41005022502,345,607,576,233,1026,290,524,241,423,0
41005022602,410,491,689,96,1112,268,515,188,223,0
41005022603,335,423,593,126,569,361,469,208,312,0
41005022605,543,1134,768,392,1262,520,963,840,411,0
41005022606,417,607,1013,67,1145,316,667,480,187,0
41005022702,571,1299,640,124,1866,168,640,100,138,0
41005022707,514,1344,1094,217,2067,524,872,334,432,0
41005022708,253,538,587,177,1207,502,437,214,216,0
41005022710,292,528,332,12,785,127,233,23,196,0
41005022800,1217,481,349,91,468,151,447,175,141,0
41005022901,389,459,571,212,842,375,611,335,298,0
41005022904,330,554,424,119,534,390,582,370,193,0
41005022905,494,544,387,197,697,315,414,246,373,0
41005022906,550,183,336,109,567,164,232,162,288,0
41005022907,363,534,363,145,464,250,485,278,174,0
41005023001,286,418,435,147,543,298,348,211,316,0
41005023002,302,557,483,52,791,275,358,88,158,0
41005023100,774,639,782,171,1113,368,594,354,238,0
41005023201,519,435,519,149,850,303,358,229,137,0
41005023202,513,704,1171,281,1819,668,1054,521,467,0
41005023300,474,529,699,155,1011,315,585,423,293,0
41005023401,363,700,513,166,767,227,678,256,398,0
41005023403,422,857,783,202,1040,520,652,303,559,0
41005023404,743,878,784,189,835,479,697,360,738,0
41005023500,621,778,484,297,700,267,607,642,356,0
41005023600,471,696,226,67,689,144,310,179,206,0
41005023700,445,564,643,129,1086,417,395,303,194,0
41005023800,579,702,644,336,1141,544,361,818,243,0
41005023901,412,757,754,126,986,378,598,326,601,0
41005023902,435,811,513,294,696,471,838,601,479,0
41005024000,347,279,349,27,326,116,257,101,176,0
41005024100,527,565,558,157,680,244,501,431,432,0
41005024200,784,811,965,179,980,534,637,363,833,17
41005024302,409,785,623,148,579,228,550,528,721,0
41005024303,469,517,378,63,447,302,396,186,221,0
41005024304,338,388,184,61,413,219,169,122,131,0
41005024401,354,379,512,78,670,379,431,135,218,0
41005024402,620,891,653,89,1499,164,598,117,261,13
41005980000,0,22,0,0,15,28,12,0,0,0
41007950100,471,648,359,40,648,351,235,112,123,5
41007950200,536,788,505,69,661,422,388,205,163,21
41007950300,314,749,246,38,493,280,354,114,122,6
41007950400,571,421,320,162,297,356,442,159,366,0
41007950500,688,915,433,126,664,526,652,178,347,3
41007950600,370,371,370,174,285,538,290,238,221,38
41007950700,326,358,337,70,487,213,303,88,110,0
41007950900,1073,716,425,40,398,650,637,180,314,0
41007951100,808,771,464,90,818,402,482,208,100,0
41007951200,497,508,247,20,362,254,189,242,141,0
41007951300,348,383,342,26,628,285,200,106,133,43
41007990000,0,0,0,0,0,0,0,0,0,0
41009970201,441,614,303,44,296,258,324,224,270,0
41009970202,240,372,358,98,344,293,403,146,371,0
41009970300,757,678,272,50,401,177,263,209,361,0
41009970400,374,235,288,93,360,110,207,122,174,0
41009970500,801,1054,553,178,941,385,607,430,487,9
41009970600,673,756,606,366,1153,231,698,307,758,0
41009970700,520,685,387,129,372,490,380,202,469,0
41009970800,530,937,1047,262,1156,1036,706,276,623,0
41009970900,720,515,773,157,929,354,500,171,354,0
41009971000,496,802,519,275,914,413,691,242,557,0
41009971100,425,570,427,77,626,244,375,230,185,0
41011000101,482,232,115,12,151,154,53,53,70,0
41011000102,395,101,258,66,316,86,70,62,199,0
41011000103,355,290,318,0,477,173,177,54,126,0
41011000200,425,209,284,113,376,361,180,179,171,0
41011000300,464,517,347,165,556,529,282,218,205,0
41011000401,303,471,332,82,561,363,201,113,253,1
41011000402,570,719,298,31,598,212,402,121,112,0
41011000502,545,353,262,42,442,120,226,83,130,5
41011000503,351,351,274,127,285,357,435,188,159,8
41011000505,1007,429,251,110,114,543,357,30,421,15
41011000506,266,307,240,48,194,328,202,164,44,0
41011000600,479,371,180,92,429,271,253,92,129,0
41011000701,695,701,580,144,736,597,323,162,353,0
41011000702,213,576,311,0,180,518,453,124,70,0
41011000800,431,293,493,11,412,293,287,225,162,0
41011000901,792,421,336,45,316,326,169,130,141,0
41011000902,695,391,469,17,376,333,258,84,268,0
41011001001,1047,539,110,128,122,430,283,77,84,0
41011001002,1093,205,402,0,324,318,247,67,96,0
41011001101,565,376,64,21,186,125,72,210,97,0
41011001102,740,485,203,31,280,219,203,139,139,0
41011990101,0,0,0,0,0,0,0,0,0,0
41013950101,338,330,249,344,771,243,438,247,252,0
41013950102,670,850,458,65,549,646,331,150,402,0
41013950200,709,577,488,155,576,476,259,323,507,0
41013950301,386,483,490,48,765,400,227,340,97,0
41013950302,459,517,310,55,327,263,292,166,365,0
41013950401,328,453,193,8,170,115,157,259,173,0
41013950402,447,345,198,22,279,52,148,184,76,0
41015950100,990,344,238,46,302,282,200,157,20,0
41015950201,765,372,311,178,452,311,386,262,103,0
41015950202,455,204,265,0,286,190,183,52,28,0
41015950301,635,786,601,18,526,585,331,305,160,0
41015950302,872,745,621,58,497,511,347,316,366,0
41015950401,606,389,315,47,498,215,236,92,87,0
41015950402,848,142,102,0,139,56,78,29,35,2
41015990101,0,0,0,0,0,0,0,0,0,0
41017000100,336,212,261,32,566,110,117,60,70,0
41017000201,580,526,248,32,285,132,116,194,168,0
41017000202,495,446,167,63,449,156,326,86,50,0
41017000301,833,428,592,48,678,208,516,185,136,0
41017000302,828,596,487,111,597,578,257,317,326,48
41017000401,556,638,672,236,1121,744,566,213,423,0
41017000403,560,220,145,0,290,15,82,28,32,0
41017000404,351,263,139,67,358,79,153,43,88,0
41017000501,679,252,348,50,484,124,220,84,111,0
41017000502,652,649,365,107,872,297,494,148,68,0
41017000601,153,210,352,13,416,157,202,153,109,0
41017000602,373,307,355,18,619,321,216,170,45,0
41017000603,886,429,379,45,828,163,390,107,132,0
41017000701,490,520,451,77,512,279,323,218,242,0
41017000702,476,541,649,179,901,602,526,295,123,50
41017000800,839,1059,760,226,1349,626,840,323,445,0
41017000901,333,847,472,126,588,519,554,305,437,0
41017000902,177,648,344,81,535,312,189,224,181,0
41017001002,379,270,304,51,622,137,101,62,199,0
41017001003,580,748,737,186,1093,382,634,153,336,0
41017001004,419,570,1381,126,1387,606,1318,834,257,0
41017001005,803,440,485,85,848,401,266,76,253,0
41017001101,568,1263,868,240,1548,515,626,252,361,0
41017001102,679,591,828,310,1466,340,744,213,232,0
41017001200,920,944,1022,263,1614,593,1196,375,439,0
41017001301,720,779,752,216,2095,304,526,0,190,0
41017001302,1233,1180,1087,136,1841,875,710,133,164,0
41017001401,763,883,597,94,1487,372,569,58,100,0
41017001402,65,246,257,24,639,141,86,0,7,0
41017001501,480,504,665,36,764,587,455,107,306,0
41017001502,250,521,308,54,731,276,372,31,39,0
41017001601,630,744,661,122,1142,295,660,234,170,0
41017001602,319,205,379,36,440,261,284,122,72,0
41017001701,687,860,633,90,1064,443,580,243,275,0
41017001702,304,552,462,122,692,493,444,278,103,55
41017001801,700,807,545,179,910,417,768,225,222,0
41017001802,587,679,476,115,736,610,528,290,98,0
41017001901,159,321,179,30,346,191,109,103,61,0
41017001903,688,791,796,376,1241,629,1281,418,120,0
41017001904,521,496,533,204,870,523,453,79,287,0
41017002001,209,126,163,14,475,31,47,39,60,0
41017002002,603,1560,1306,256,2044,1077,1218,320,634,0
41017002101,451,554,683,121,922,462,661,160,377,0
41017002102,404,142,317,33,445,82,322,124,37,0
41017002103,589,673,806,224,2186,474,473,127,106,0
41019010000,516,418,192,0,316,87,256,84,108,0
41019020000,856,492,355,44,290,312,340,146,130,13
41019030000,592,589,438,67,484,348,388,266,247,7
41019040000,599,249,235,35,202,146,208,144,165,0
41019050001,779,598,507,112,711,293,528,255,407,0
41019050003,613,509,264,34,247,594,288,87,54,0
41019050004,679,344,451,62,432,306,364,148,204,0
41019060000,596,455,272,122,514,127,500,200,207,0
41019070000,736,769,549,113,800,229,488,228,397,0
41019080001,738,255,379,0,503,232,148,126,61,0
41019080002,777,459,539,116,914,150,440,255,148,0
41019090001,1006,636,501,0,551,544,398,55,205,0
41019090002,249,111,98,0,191,19,81,3,38,0
41019100000,545,423,317,7,414,276,261,143,65,0
41019110000,478,467,166,81,372,130,191,115,185,0
41019120001,444,393,220,124,398,206,245,136,172,0
41019120002,780,782,645,22,526,458,466,192,266,0
41019130001,262,416,149,149,273,149,294,61,409,11
41019130002,608,417,179,57,255,147,213,101,356,0
41019140000,1103,702,450,113,647,389,397,171,363,0
41019150001,593,597,265,240,703,519,654,313,277,0
41019150002,291,478,328,14,456,211,250,94,203,0
41019160001,531,266,317,99,267,435,186,88,262,0
41019160002,917,594,413,100,530,318,342,138,406,0
41019170000,588,495,387,47,257,219,324,324,345,0
41019180000,690,716,370,119,453,620,295,233,262,0
41019190000,1203,379,207,100,276,260,319,97,346,0
41019200000,922,697,338,54,443,316,332,264,403,0
41019210000,939,664,226,29,499,206,151,183,176,0
41019990000,0,0,0,0,0,0,0,0,0,0
41021960100,395,242,217,12,224,227,98,111,117,0
41023960100,461,329,132,29,280,130,163,192,33,0
41023960201,342,143,175,41,163,176,68,175,56,0
41023960202,623,463,468,94,511,331,284,159,162,0
41025960101,291,467,255,17,174,327,300,147,140,0
41025960102,547,409,309,5,480,355,95,6,215,0
41025960200,297,283,255,39,337,151,95,185,117,0
41027950100,391,616,523,93,841,381,258,685,348,0
41027950201,392,453,409,157,634,252,310,263,212,0
41027950202,302,569,428,189,1122,392,396,167,43,15
41027950301,393,588,452,49,759,406,322,81,163,0
41027950302,274,358,321,174,649,276,242,148,221,0
41027950400,353,558,602,321,891,567,424,779,358,0
41029000100,278,354,215,50,262,359,342,179,144,0
41029000201,516,482,225,178,256,384,654,101,308,0
41029000202,255,759,361,64,311,490,255,278,374,0
41029000203,448,482,479,94,436,487,357,144,349,0
41029000300,527,1231,478,149,661,695,809,410,436,0
41029000403,676,395,563,58,698,289,448,138,134,0
41029000404,531,645,583,94,1143,168,456,123,278,0
41029000405,630,429,447,229,621,434,802,114,224,13
41029000406,725,446,606,106,746,522,381,286,99,0
41029000501,384,717,222,39,575,303,224,91,185,0
41029000502,933,886,471,178,669,517,729,252,206,0
41029000603,454,636,421,62,927,157,351,64,96,0
41029000604,557,350,467,146,842,268,444,122,184,0
41029000605,738,676,392,8,536,213,388,110,95,0
41029000606,707,277,128,83,362,92,159,15,74,0
41029000701,426,681,592,225,958,605,735,108,282,0
41029000702,623,617,657,198,941,588,739,41,185,0
41029000800,633,1371,668,142,1034,813,593,356,554,0
41029000901,450,330,321,126,577,73,382,52,230,0
41029000902,650,571,965,325,1246,761,883,466,463,0
41029001001,908,745,821,189,740,624,653,480,535,0
41029001002,291,660,543,155,644,680,506,121,588,0
41029001100,805,488,681,179,830,519,674,89,311,0
41029001200,334,706,618,102,726,462,606,178,210,0
41029001301,494,464,497,223,663,436,612,229,502,0
41029001303,542,450,575,318,614,491,651,558,565,19
41029001304,719,593,577,151,1400,270,420,96,119,4
41029001401,512,451,997,80,456,360,1053,321,538,0
41029001402,169,376,23,0,205,50,84,13,38,0
41029001403,847,593,393,84,479,128,414,89,315,0
41029001500,932,806,456,87,1269,361,307,18,101,0
41029001601,923,457,696,92,506,595,428,135,303,0
41029001602,875,1018,663,129,1484,346,580,234,336,0
41029001701,570,542,149,138,442,503,187,15,205,0
41029001702,701,450,758,1,1035,330,617,150,87,0
41029001801,880,638,585,0,984,493,319,0,12,0
41029001802,787,491,668,0,961,97,482,35,237,0
41029001900,320,470,256,41,636,532,264,39,63,0
41029002000,321,519,263,10,644,273,196,18,11,0
41029002100,758,481,368,78,1029,192,160,51,63,0
41029002200,739,993,412,62,1493,207,359,79,274,0
41029002300,356,242,118,26,356,73,102,19,74,0
41029002400,282,344,176,41,403,185,184,42,69,0
41029002500,349,368,320,77,795,100,160,201,29,0
41029002600,467,376,283,16,346,200,169,205,102,3
41029002701,598,593,123,65,392,105,135,91,180,0
41029002702,972,411,299,67,451,281,98,254,337,0
41029002800,834,693,375,32,473,281,412,226,210,0
41029002901,1038,345,390,35,299,174,284,78,157,0
41029002902,598,676,314,35,573,178,123,209,248,0
41029003001,802,509,380,48,682,263,282,93,100,0
41029003002,866,728,451,122,716,353,364,302,259,0
41031940000,210,289,143,64,360,141,257,48,116,0
41031960100,175,202,140,46,220,109,111,115,131,0
41031960201,492,523,192,139,216,296,426,226,224,0
41031960202,667,725,822,102,1101,498,659,150,176,0
41031960301,777,642,452,77,579,505,196,134,383,0
41031960303,151,88,25,17,74,10,41,34,47,0
41031960304,147,317,262,110,380,207,239,236,494,0
41031960305,141,343,164,36,240,115,119,106,198,0
41033360100,520,212,79,0,142,41,123,16,48,0
41033360300,814,770,513,153,763,368,469,473,261,0
41033360400,763,590,393,98,895,343,223,108,162,0
41033360500,916,716,511,366,849,698,516,296,323,0
41033360601,559,453,286,0,199,270,232,36,244,0
41033360602,516,681,251,49,767,79,177,22,234,0
41033360701,427,892,417,108,358,1019,539,152,343,0
41033360703,511,456,299,17,268,277,303,139,72,0
41033360704,459,426,476,22,431,395,365,123,201,0
41033360800,996,557,616,21,932,375,221,127,240,0
41033360900,486,413,139,47,338,194,133,36,83,0
41033361000,835,647,319,164,560,435,310,127,410,34
41033361101,733,734,719,51,895,638,747,120,246,0
41033361102,555,818,278,94,385,648,270,138,218,0
41033361201,801,437,403,39,404,407,349,65,132,0
41033361202,544,408,366,70,384,441,342,64,322,0
41033361301,828,439,314,79,629,214,254,78,160,0
41033361302,421,703,226,77,405,221,241,178,207,0
41033361400,601,239,307,13,220,149,301,41,198,0
41033361500,580,229,218,30,467,50,81,95,54,0
41033361601,1196,600,243,66,292,349,290,84,399,0
41033361602,787,431,361,27,459,112,181,188,112,0
41035970100,737,513,224,4,218,200,262,188,161,0
41035970201,552,340,23,6,178,52,121,43,19,0
41035970202,599,500,186,36,247,276,154,69,167,0
41035970300,420,602,390,8,394,83,292,316,228,0
41035970400,237,172,156,22,182,56,155,121,76,47
41035970500,330,182,179,5,150,54,190,129,76,0
41035970600,101,236,170,45,250,182,113,176,62,0
41035970700,228,339,254,7,368,161,150,154,132,17
41035970800,375,245,287,82,438,257,191,196,121,4
41035970901,317,480,164,63,443,179,88,94,124,0
41035970902,441,297,226,33,339,196,322,48,192,0
41035971000,369,277,392,22,549,132,104,105,150,0
41035971100,643,749,800,87,1163,413,545,147,291,17
41035971200,403,430,195,29,275,186,168,81,261,0
41035971300,1007,835,507,35,539,306,516,370,241,32
41035971400,461,897,784,49,970,328,536,323,473,38
41035971500,748,703,291,0,409,176,340,272,226,0
41035971600,658,577,183,33,186,307,286,30,210,34
41035971700,543,560,137,69,267,338,237,118,265,32
41035971800,456,458,206,14,334,162,227,34,113,0
41035971900,609,539,273,63,442,262,234,101,236,0
41035972000,591,667,434,38,724,280,334,88,330,29
41037960100,539,459,243,6,325,187,152,178,146,0
41037960200,834,682,587,37,819,451,350,159,270,0
41039000100,1135,607,433,60,779,347,264,192,136,0
41039000200,575,530,688,216,853,413,501,455,432,16
41039000300,327,359,365,20,451,162,241,120,103,0
41039000402,362,376,488,101,941,238,220,275,311,0
41039000403,662,621,962,139,848,698,731,309,434,0
41039000404,466,410,474,134,620,479,455,337,147,0
41039000500,423,351,174,13,142,168,179,165,50,0
41039000702,701,377,139,24,210,186,171,68,79,0
41039000705,924,601,351,55,546,524,178,57,129,0
41039000706,696,601,165,16,361,209,286,95,110,152
41039000707,1388,431,231,87,357,298,378,29,101,0
