"TAZ","HHINC1","HHINC2","HHINC3","HHINC4","HHINC5","HHINC6","HHINC7","HHINC8","HHSIZE1","HHSIZE2","HHSIZE3","HHSIZE4","HHWORK0","HHWORK1","HHWORK2","HHWORK3","HHWCHILD","HHWOCHILD"
100,0,0,1,0,4,3,6,0,3,8,3,0,4,6,4,0,1,13
101,0,0,1,0,4,1,7,0,3,8,1,1,4,4,5,0,1,12
102,1,1,10,1,24,14,30,4,20,33,10,22,23,31,26,5,24,61
103,0,0,4,0,13,7,14,1,9,16,3,11,11,13,13,2,12,27
104,0,0,3,0,9,5,11,1,6,11,6,6,8,12,8,1,7,22
105,0,0,1,0,7,2,5,1,3,7,2,4,4,6,5,1,4,12
106,0,0,1,0,5,1,3,0,2,7,0,1,2,6,2,0,1,9
107,0,0,1,0,4,1,7,0,6,5,1,1,5,4,4,0,1,12
108,0,0,0,3,7,0,0,0,0,7,0,3,3,4,3,0,2,8
109,2,2,2,7,6,3,1,1,3,10,6,5,7,9,7,1,3,21
110,1,1,1,2,2,1,1,0,1,4,2,2,2,3,3,1,2,7
111,0,14,14,14,12,14,0,0,14,26,14,14,14,27,27,0,14,54
112,14,15,15,23,21,14,9,5,28,61,12,15,31,41,37,7,25,91
113,46,55,58,89,86,50,37,23,72,220,67,85,117,157,139,31,128,316
114,19,22,22,37,34,19,14,9,43,78,28,27,46,63,56,11,43,133
115,13,16,18,27,28,15,10,7,38,56,21,19,35,48,42,9,36,98
116,23,25,27,42,42,24,17,10,51,91,30,38,55,76,65,14,58,152
117,13,10,7,29,39,14,7,0,50,31,17,21,32,42,37,8,35,84
118,31,25,17,76,96,35,16,0,105,81,53,57,78,104,94,20,103,193
119,12,9,7,27,37,12,6,0,17,41,22,30,28,39,36,7,51,59
120,1,1,12,2,30,16,37,4,11,30,17,45,29,36,32,6,59,44
121,0,0,1,0,3,3,6,0,2,5,0,6,3,4,6,0,5,8
122,0,0,0,1,3,1,1,0,1,2,1,2,2,2,2,0,3,3
123,13,10,7,30,40,14,6,0,21,48,20,31,32,43,37,8,48,72
124,9,5,5,16,20,7,3,0,14,24,15,12,17,23,21,4,28,37
125,21,26,26,43,44,26,18,10,78,74,28,34,58,74,67,15,65,149
126,1,0,1,0,0,0,1,1,2,1,1,0,1,1,2,0,0,4
127,3,0,0,3,7,1,0,0,1,1,9,3,3,7,4,0,8,6
128,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,2
129,0,0,1,0,3,1,6,0,1,3,1,6,2,4,3,2,4,7
130,1,1,0,4,3,0,0,0,0,5,3,1,1,4,4,0,5,4
131,4,5,7,9,10,4,3,2,5,17,10,12,12,14,15,3,15,29
132,1,2,1,2,6,1,2,0,3,8,1,3,5,5,5,0,4,11
133,2,1,2,2,4,1,2,0,2,8,1,3,3,5,6,0,4,10
134,1,1,2,1,1,2,3,0,3,5,0,3,2,5,3,1,3,8
135,0,1,2,1,1,2,1,1,2,7,0,0,2,4,3,0,0,9
136,6,7,4,10,7,11,3,2,11,23,6,10,12,20,15,3,13,37
137,14,28,0,36,56,1,5,4,38,43,22,41,31,58,43,12,53,91
138,11,25,1,32,43,8,7,5,31,50,23,28,28,54,39,11,40,92
139,8,20,8,18,34,0,1,3,14,25,20,33,20,37,28,7,49,43
140,19,14,17,17,20,28,7,12,16,38,30,50,33,40,45,16,70,64
141,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,3,4,5,6,4,4,1,0,9,8,4,6,8,9,9,1,5,22
146,2,2,0,0,0,0,0,2,0,4,2,0,0,4,2,0,2,4
147,2,2,2,0,2,0,0,0,0,1,2,5,3,3,2,0,2,6
148,0,6,0,4,1,6,1,4,4,11,4,3,6,9,7,0,7,15
149,1,14,2,5,1,9,3,3,9,15,3,11,11,14,12,1,12,26
150,1,5,1,2,0,3,1,1,3,6,1,4,4,5,4,1,4,10
151,4,5,6,6,7,6,0,0,1,20,5,8,11,13,9,1,8,26
152,0,15,17,0,26,10,11,3,14,30,16,22,21,29,25,7,26,56
153,10,21,12,5,20,9,16,9,17,44,19,22,35,41,23,3,29,73
154,0,9,7,0,15,4,4,1,7,24,2,7,9,16,12,3,8,32
155,2,0,6,1,2,5,0,0,0,9,1,6,3,8,5,0,5,11
156,16,2,32,16,27,22,7,0,17,52,15,38,36,52,31,3,44,78
157,5,8,9,10,9,7,2,0,6,23,11,10,15,19,15,1,9,41
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,6,6,8,8,8,8,1,0,3,18,5,19,14,16,14,1,15,30
160,3,4,5,6,5,3,0,0,3,11,4,8,8,8,8,2,10,16
161,5,7,8,9,10,8,1,0,11,15,5,17,15,17,15,1,19,29
162,35,41,55,57,53,44,8,0,87,109,47,50,92,98,92,11,64,229
163,15,15,24,19,51,30,9,8,29,60,41,41,54,57,53,7,56,115
164,1,0,1,0,2,2,0,0,1,1,2,2,2,2,2,0,2,4
165,5,4,5,5,13,7,2,2,7,15,12,9,13,15,13,2,13,30
166,20,19,27,24,60,40,12,8,27,79,49,55,64,73,66,7,80,130
167,0,0,3,0,2,3,0,0,0,5,0,3,3,0,5,0,0,8
168,0,0,0,0,2,0,0,0,0,2,0,0,1,0,1,0,0,2
169,1,2,1,2,1,1,1,0,2,3,2,2,2,3,3,1,3,6
170,2,5,3,9,12,4,2,0,4,19,4,10,9,10,15,3,15,22
171,8,20,13,30,34,15,4,0,32,41,22,29,31,37,43,13,31,93
172,0,2,2,2,1,1,1,0,2,3,2,2,2,2,4,1,4,5
173,16,11,16,12,15,22,6,8,19,35,14,38,27,32,36,11,38,68
174,6,3,4,4,4,7,1,2,5,11,4,11,9,9,10,3,8,23
175,9,6,9,8,10,14,4,5,6,28,16,15,16,20,22,7,15,50
176,17,11,17,12,17,26,6,9,21,49,18,27,30,35,39,11,33,82
177,3,2,5,2,0,5,0,0,3,6,3,5,5,5,5,2,5,12
178,2,0,2,0,1,7,0,0,0,7,2,3,3,6,3,0,3,9
179,1,1,0,2,3,4,7,0,5,8,1,4,4,8,5,1,5,13
180,0,0,0,0,3,0,4,0,0,4,0,3,1,3,3,0,3,4
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,1,1,2,1,1,0,0,0,3,0,3,1,2,3,0,3,3
183,1,1,0,2,2,4,0,0,2,5,1,2,3,5,2,0,3,7
184,1,2,1,1,0,3,1,0,1,2,1,5,2,4,3,0,4,5
185,4,6,2,7,4,13,6,3,3,18,6,18,9,20,13,3,18,27
186,3,5,1,6,4,8,3,1,6,11,3,11,6,14,9,2,11,20
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,6,10,8,16,21,13,28,6,16,57,17,18,25,45,31,7,21,87
189,0,12,61,35,23,24,12,0,35,24,48,60,35,72,60,0,72,95
18904,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,2
190,0,1,2,2,2,1,1,0,2,2,2,3,2,4,3,0,3,6
191,0,1,1,3,0,0,0,0,0,3,1,1,1,1,3,0,1,4
192,0,0,1,4,2,1,1,1,0,6,1,3,4,3,3,0,2,8
193,0,0,2,2,3,2,0,1,0,5,3,2,4,4,2,0,3,7
194,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2
195,32,38,95,122,106,64,30,24,129,192,87,103,134,223,141,13,185,326
196,0,0,8,3,4,3,0,0,0,6,6,6,3,9,6,0,9,9
197,22,27,67,84,74,44,21,17,68,111,84,93,94,153,100,9,151,205
198,23,29,73,87,78,47,22,18,59,136,72,110,99,164,106,8,159,218
199,6,7,20,24,24,13,5,4,38,39,15,11,26,46,29,2,28,75
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
