"controlName","geography","Observed","Predicted","Difference","pcDifference","N","PRMSE","meanPCDiff","SDEV"
"HH","BLOCK",1671983,1671984,1,5.9809220548295e-05,74554,0.0163307650209267,0.000670654827373448,0.183119472936857
"HHSF","BG",1051185,1051399,214,0.0203579769498233,2907,4.00726884116643,4.6804588602969,86.5144815413613
"HHSFA","BG",82750,82742,-8,-0.00966767371601208,1742,16.5566506036364,7.38060795034654,55.0547497182692
"HHDUP","BG",43416,43407,-9,-0.0207296849087894,1270,16.373473742537,4.59978715273899,37.4627696307435
"HHMF4","BG",73211,73162,-49,-0.0669298329486006,1432,15.7330342007825,5.97482248814501,34.8688093583595
"HHMF9","BG",74794,74851,57,0.0762093216033372,1308,13.6026270351648,3.69248399570455,24.285371158942
"HHMF19","BG",62977,63006,29,0.046048557409848,1132,12.2197848697379,3.69706627414578,32.3519319529422
"HHMF49","BG",56408,56409,1,0.00177279818465466,1083,13.3205488782892,2.55688573175567,30.3261783236774
"HHMF50","BG",99147,99064,-83,-0.0837140811118844,1026,10.3314474445245,3.48732917386904,26.9104567467028
"HHMH","BG",121258,121193,-65,-0.0536047106170315,1472,12.202824969556,6.6193300711601,44.1250691778498
"HHRV","BG",6837,6753,-84,-1.22860903905222,301,20.5461215665525,-1.66139004796939,37.3787300725253
"HHS1","BG",467344,462918,-4426,-0.947053990208497,2936,11.3702403369082,3.26385379281692,24.8457900318904
"HHS2","BG",617437,612722,-4715,-0.763640662934032,2947,7.56683034302362,1.50891816724757,15.1780380069396
"HHS3","BG",246893,245375,-1518,-0.614841247017939,2818,12.8821755293752,5.704353112677,27.6158498133312
"HHS4","BG",201395,200509,-886,-0.439931477941359,2700,18.1206633865745,9.80530400221608,41.9512656374055
"HHS5","BG",84955,84677,-278,-0.3272320640339,2115,25.9100178104987,9.77985355465609,46.6207422544705
"HHS6","BG",33355,33182,-173,-0.518662869135062,1250,37.9975359158266,8.86705943827039,58.7399937591867
"HHS7","BG",20604,20500,-104,-0.50475635798874,915,55.6379282248145,13.0739979654548,101.79812026737
"HHINC1","BG",131931,131914,-17,-0.0128855234933412,2431,15.0276794856236,5.7334934554409,35.7446952288703
"HHINC2","BG",113473,113482,9,0.0079314021837794,2393,15.731023155774,5.96616675984955,35.9169048077059
"HHINC3","BG",115547,115526,-21,-0.0181744225293603,2454,15.8336247315046,6.37083577709044,33.7383039319303
"HHINC4","BG",181487,181474,-13,-0.00716304749100487,2760,12.4445374283398,5.99497367170248,32.8403690001618
"HHINC5","BG",276409,276445,36,0.0130241779392133,2891,9.3918880698826,4.55616560120898,22.3014035364198
"HHINC6","BG",223902,223857,-45,-0.0200980786236836,2826,10.0246065928366,4.5176486903576,35.4578001329898
"HHINC7","BG",301776,301747,-29,-0.00960977678808123,2871,8.49740672732965,4.07391556208125,24.4985677432479
"HHINC8","BG",151642,151671,29,0.0191239893960776,2548,11.7826283272065,6.17984897083869,36.7259057338984
"HHINC9","BG",175816,175870,54,0.0307139281976612,2409,11.4948753488493,5.73242758071482,36.804598733141
"HHKID","BG",436114,436234,120,0.0275157412970003,2894,10.8455939886141,3.2523078947255,29.0891011252766
"HHV0","BG",117453,117461,8,0.00681123513235081,2072,17.5149197721312,6.82114269690621,45.3837092028605
