geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,410670314021026,31,31,0
BLOCK,410670314032003,21,21,0
BLOCK,410670319152027,11,11,0
BLOCK,410670319161028,7,7,0
BLOCK,410710302023046,3,3,0
BLOCK,410619701002033,6,6,0
BLOCK,410659708002061,2,2,0
BLOCK,410659708002114,5,5,0
BLOCK,410670331011027,7,7,0
BLOCK,410670314032013,12,12,0
BLOCK,410670314033025,28,28,0
BLOCK,410670315041009,16,16,0
BLOCK,410670319183003,18,18,0
BLOCK,410670320013016,1,1,0
BLOCK,410710303033015,24,24,0
BLOCK,410579604023030,14,14,0
BLOCK,410599506011044,9,9,0
BLOCK,410599506013031,20,20,0
BLOCK,410619701003057,5,5,0
BLOCK,410639601002231,2,2,0
BLOCK,410639601002283,43,43,0
BLOCK,410670331021031,10,10,0
BLOCK,410670332013000,184,184,0
BLOCK,410670315041014,1,1,0
BLOCK,410670315061006,50,50,0
BLOCK,410670315072004,32,32,0
BLOCK,410670315091015,8,8,0
BLOCK,410670321042005,108,108,0
BLOCK,410710303044019,6,6,0
BLOCK,410599506022007,31,31,0
BLOCK,410619701004081,4,4,0
BLOCK,410619702001048,4,4,0
BLOCK,410619702002019,31,31,0
BLOCK,410670333012010,87,87,0
BLOCK,410670333014028,22,22,0
BLOCK,410670333021028,13,13,0
BLOCK,410670315092008,18,18,0
BLOCK,410670315093044,11,11,0
BLOCK,410670315111001,109,109,0
BLOCK,410670321071026,14,14,0
BLOCK,410670321083004,55,55,0
BLOCK,410670321092018,24,24,0
BLOCK,410710304003027,7,7,0
BLOCK,410619702002057,4,4,0
BLOCK,410619702003034,2,2,0
BLOCK,410639602001092,3,3,0
BLOCK,410639602001144,2,2,0
BLOCK,410659708003289,7,7,0
BLOCK,410670315144005,7,7,0
BLOCK,410670315153006,9,9,0
BLOCK,410670315172010,157,157,0
BLOCK,410670321112005,22,22,0
BLOCK,410710304004070,5,5,0
BLOCK,410710304005034,8,8,0
BLOCK,410619702003251,4,4,0
BLOCK,410639602002102,2,2,0
BLOCK,410659708004150,12,12,0
BLOCK,410670315191013,8,8,0
BLOCK,410670315192042,17,17,0
BLOCK,410670315201015,27,27,0
BLOCK,410670322011002,98,98,0
BLOCK,410670322012023,3,3,0
BLOCK,410670322022005,9,9,0
BLOCK,410710304005093,1,1,0
BLOCK,410559501001014,1,1,0
BLOCK,410710305012049,3,3,0
BLOCK,410619703001045,2,2,0
BLOCK,410639602002277,3,3,0
BLOCK,410670316062000,114,114,0
BLOCK,410670316121010,21,21,0
BLOCK,410670316142005,24,24,0
BLOCK,410670322023033,1,1,0
BLOCK,410670323022008,12,12,0
BLOCK,410619703001076,1,1,0
BLOCK,410619703002024,9,9,0
BLOCK,410639602002347,2,2,0
BLOCK,410639602002388,1,1,0
BLOCK,410670301041015,47,47,0
BLOCK,410670301043017,14,14,0
BLOCK,410699601001098,3,3,0
BLOCK,410670316153006,19,19,0
BLOCK,410670323024019,31,31,0
BLOCK,410670324044003,54,54,0
BLOCK,410670324072007,34,34,0
BLOCK,410619704001025,6,6,0
BLOCK,410619704002019,63,63,0
BLOCK,410639603001107,1,1,0
BLOCK,410639603003002,1,1,0
BLOCK,410670316182012,69,69,0
BLOCK,410670316191014,12,12,0
BLOCK,410670316201013,36,36,0
BLOCK,410670324102010,12,12,0
BLOCK,410670324122001,65,65,0
BLOCK,410670324132004,13,13,0
BLOCK,410710305023004,15,15,0
BLOCK,410579601012021,4,4,0
BLOCK,410599512022028,15,15,0
BLOCK,410619704002043,13,13,0
BLOCK,410619705001032,4,4,0
BLOCK,410619705003009,6,6,0
BLOCK,410639603003066,1,1,0
BLOCK,410670304012018,8,8,0
BLOCK,410699601002141,1,1,0
BLOCK,410699601002193,3,3,0
BLOCK,410670316221007,21,21,0
BLOCK,410670324143014,13,13,0
BLOCK,410670325013049,10,10,0
BLOCK,410710306012018,16,16,0
BLOCK,410579601021134,19,19,0
BLOCK,410619705003035,1,1,0
BLOCK,410619706001016,4,4,0
BLOCK,410659701003001,21,21,0
BLOCK,410659702002006,19,19,0
BLOCK,410670305013007,12,12,0
BLOCK,410670317031004,36,36,0
BLOCK,410670317062010,24,24,0
BLOCK,410670325031015,13,13,0
BLOCK,410670326033013,82,82,0
BLOCK,410579601022020,10,10,0
BLOCK,410599502012015,7,7,0
BLOCK,410599502013028,24,24,0
BLOCK,410659702003028,20,20,0
BLOCK,410659703001010,2,2,0
BLOCK,410659703003012,11,11,0
BLOCK,410670308011018,158,158,0
BLOCK,410670317073020,23,23,0
BLOCK,410670318041006,18,18,0
BLOCK,410670318061008,37,37,0
BLOCK,410670326044034,7,7,0
BLOCK,410670326062005,50,50,0
BLOCK,410710307031053,42,42,0
BLOCK,410599502023008,4,4,0
BLOCK,410599502024009,26,26,0
BLOCK,410659704002010,8,8,0
BLOCK,410659705001014,15,15,0
BLOCK,410670308014011,18,18,0
BLOCK,410670308033011,12,12,0
BLOCK,410670308061001,78,78,0
BLOCK,410670318072001,42,42,0
BLOCK,410670318132007,117,117,0
BLOCK,410670318141009,61,61,0
BLOCK,410670326082005,14,14,0
BLOCK,410670326101000,44,44,0
BLOCK,410619706003025,8,8,0
BLOCK,410659705003023,87,87,0
BLOCK,410670310052006,4,4,0
BLOCK,410670310072008,63,63,0
BLOCK,410670318163006,29,29,0
BLOCK,410670318182002,150,150,0
BLOCK,410670318202006,119,119,0
BLOCK,410710309001036,4,4,0
BLOCK,410619707001018,10,10,0
BLOCK,410619707002037,5,5,0
BLOCK,410659706002004,11,11,0
BLOCK,410659706002057,13,13,0
BLOCK,410670329011037,3,3,0
BLOCK,410670310084014,16,16,0
BLOCK,410670310101004,18,18,0
BLOCK,410670311001014,19,19,0
BLOCK,410670319092014,13,13,0
BLOCK,410670319111014,13,13,0
BLOCK,410710309002061,13,13,0
BLOCK,410710310001018,11,11,0
BLOCK,410710310002014,2,2,0
BLOCK,410619708003035,8,8,0
BLOCK,410659707002030,4,4,0
BLOCK,410659708001029,11,11,0
BLOCK,410670329013006,5,5,0
BLOCK,410670329031026,19,19,0
BLOCK,410670311002010,2,2,0
BLOCK,410670312012011,8,8,0
BLOCK,410670312021006,14,14,0
BLOCK,410670313012001,14,14,0
BLOCK,410670319122011,55,55,0
BLOCK,410670319141004,11,11,0
BLOCK,410670319144016,8,8,0
BLOCK,410639601001000,9,9,0
BLOCK,410639601001080,13,13,0
BLOCK,410659708001135,3,3,0
BLOCK,410670329043008,1,1,0
