process,pid,rss,full_rss,uss,event,children,time
MainProcess,20940,104_972_288,104_972_288,72_798_208,pipeline.run before preload_injectables,0,2024/04/04 10:59:12.800272
MainProcess,20940,105_246_720,105_246_720,72_798_208,pipeline.run after preload_injectables,0,2024/04/04 10:59:12.827774
MainProcess,20940,105_275_392,105_275_392,72_802_304,pipeline.run_model input_pre_processor start,0,2024/04/04 10:59:12.874657
MainProcess,20940,760_745_984,760_745_984,730_980_352,pipeline.run_model input_pre_processor finished,0,2024/04/04 10:59:19.389729
MainProcess,20940,784_072_704,784_072_704,753_582_080,pipeline.run after input_pre_processor,0,2024/04/04 10:59:30.202392
MainProcess,20940,784_367_616,784_367_616,753_590_272,pipeline.run_model setup_data_structures start,0,2024/04/04 10:59:30.295986
MainProcess,20940,942_010_368,942_010_368,911_667_200,pipeline.run_model setup_data_structures finished,0,2024/04/04 10:59:31.989408
MainProcess,20940,954_855_424,954_855_424,924_393_472,pipeline.run after setup_data_structures,0,2024/04/04 10:59:43.108926
MainProcess,20940,955_772_928,955_772_928,924_393_472,pipeline.run_model initial_seed_balancing start,0,2024/04/04 10:59:43.187215
MainProcess,20940,960_286_720,960_286_720,929_341_440,pipeline.run_model initial_seed_balancing finished,0,2024/04/04 11:01:16.946484
MainProcess,20940,960_786_432,960_786_432,929_357_824,pipeline.run after initial_seed_balancing,0,2024/04/04 11:01:17.031396
MainProcess,20940,960_786_432,960_786_432,929_357_824,pipeline.run_model final_seed_balancing start,0,2024/04/04 11:01:17.140811
MainProcess,20940,961_818_624,961_818_624,930_611_200,pipeline.run_model final_seed_balancing finished,0,2024/04/04 11:01:17.218943
MainProcess,20940,964_161_536,964_161_536,932_732_928,pipeline.run after final_seed_balancing,0,2024/04/04 11:01:17.312864
MainProcess,20940,964_161_536,964_161_536,932_732_928,pipeline.run_model integerize_final_seed_weights start,0,2024/04/04 11:01:17.406647
MainProcess,20940,963_796_992,963_796_992,931_102_720,pipeline.run_model integerize_final_seed_weights finished,0,2024/04/04 11:01:25.302336
MainProcess,20940,966_447_104,966_447_104,932_753_408,pipeline.run after integerize_final_seed_weights,0,2024/04/04 11:01:25.397482
MainProcess,20940,966_447_104,966_447_104,932_753_408,pipeline.run_model sub_balancing.geography=TRACT start,0,2024/04/04 11:01:25.484543
MainProcess,20940,1_134_157_824,1_134_157_824,1_103_228_928,pipeline.run_model sub_balancing.geography=TRACT finished,0,2024/04/04 12:01:21.070566
MainProcess,20940,1_135_169_536,1_135_169_536,1_103_237_120,pipeline.run after sub_balancing.geography=TRACT,0,2024/04/04 12:01:22.952438
MainProcess,20940,1_135_173_632,1_135_173_632,1_103_237_120,pipeline.run_model sub_balancing.geography=BG start,0,2024/04/04 12:01:23.067963
MainProcess,20940,1_591_799_808,1_591_799_808,1_560_829_952,pipeline.run_model sub_balancing.geography=BG finished,0,2024/04/04 13:35:42.426014
MainProcess,20940,1_592_717_312,1_592_717_312,1_557_389_312,pipeline.run after sub_balancing.geography=BG,0,2024/04/04 13:35:49.505296
MainProcess,20940,1_589_358_592,1_589_358_592,1_557_417_984,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/04/04 13:35:49.605535
MainProcess,20940,13_470_519_296,13_470_519_296,13_467_963_392,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/04/04 14:27:10.331614
MainProcess,20940,13_470_707_712,13_470_707_712,13_468_532_736,pipeline.run after sub_balancing.geography=BLOCK,0,2024/04/04 14:30:52.124267
MainProcess,20940,13_471_277_056,13_471_277_056,13_468_520_448,pipeline.run_model expand_households start,0,2024/04/04 14:30:52.619481
MainProcess,20940,13_563_068_416,13_563_068_416,13_560_225_792,pipeline.run_model expand_households finished,0,2024/04/04 14:31:42.947721
MainProcess,20940,13_563_068_416,13_563_068_416,13_560_225_792,pipeline.run after expand_households,0,2024/04/04 14:31:44.053584
MainProcess,20940,13_563_068_416,13_563_068_416,13_560_225_792,pipeline.run_model summarize start,0,2024/04/04 14:31:44.498130
MainProcess,20940,2_368_425_984,2_368_425_984,2_340_626_432,pipeline.run_model summarize finished,0,2024/04/04 16:24:33.711856
MainProcess,20940,2_399_399_936,2_399_399_936,2_371_338_240,pipeline.run after summarize,0,2024/04/04 16:24:34.297235
MainProcess,20940,2_399_404_032,2_399_404_032,2_371_342_336,pipeline.run_model write_tables start,0,2024/04/04 16:24:34.455977
MainProcess,20940,2_476_302_336,2_476_302_336,2_448_220_160,pipeline.run_model write_tables finished,0,2024/04/04 16:24:50.844997
MainProcess,20940,2_476_310_528,2_476_310_528,2_448_228_352,pipeline.run after write_tables,0,2024/04/04 16:24:51.016750
MainProcess,20940,2_476_310_528,2_476_310_528,2_448_228_352,pipeline.run_model write_synthetic_population start,0,2024/04/04 16:24:51.173144
MainProcess,20940,3_115_806_720,3_115_806_720,3_087_724_544,pipeline.run_model write_synthetic_population finished,0,2024/04/04 16:26:40.371915
MainProcess,20940,3_115_806_720,3_115_806_720,3_087_724_544,pipeline.run after write_synthetic_population,0,2024/04/04 16:26:40.551470
MainProcess,20940,3_115_806_720,3_115_806_720,3_087_724_544,pipeline.run after run_models,0,2024/04/04 16:26:40.735924
