"BLOCK","NAME","GQ_HH","GQ_Inst","GQ_Inst_Cor","GQ_Inst_Juv","GQ_Inst_Nur","GQ_Inst_Oth","GQ_Non","GQ_Non_Uni","GQ_Non_Mil","GQ_Non_Oth"
530110417001027,"Block 1027, Block Group 1, Census Tract 417, Clark County, Washington",26,0,0,0,0,0,26,0,0,26
530110417001030,"Block 1030, Block Group 1, Census Tract 417, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110409101007,"Block 1007, Block Group 1, Census Tract 409.10, Clark County, Washington",10,0,0,0,0,0,10,0,0,10
530110419001030,"Block 1030, Block Group 1, Census Tract 419, Clark County, Washington",87,86,0,0,86,0,1,0,0,1
530110419002040,"Block 2040, Block Group 2, Census Tract 419, Clark County, Washington",3,0,0,0,0,0,3,0,0,3
530110410081016,"Block 1016, Block Group 1, Census Tract 410.08, Clark County, Washington",16,0,0,0,0,0,16,0,0,16
530110410111003,"Block 1003, Block Group 1, Census Tract 410.11, Clark County, Washington",32,0,0,0,0,0,32,0,0,32
530110410112006,"Block 2006, Block Group 2, Census Tract 410.11, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110423001029,"Block 1029, Block Group 1, Census Tract 423, Clark County, Washington",3,0,0,0,0,0,3,0,0,3
530110423002012,"Block 2012, Block Group 2, Census Tract 423, Clark County, Washington",15,0,0,0,0,0,15,0,0,15
530110423002013,"Block 2013, Block Group 2, Census Tract 423, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110424001007,"Block 1007, Block Group 1, Census Tract 424, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110424001009,"Block 1009, Block Group 1, Census Tract 424, Clark County, Washington",49,0,0,0,0,0,49,0,0,49
530110424002002,"Block 2002, Block Group 2, Census Tract 424, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110411041014,"Block 1014, Block Group 1, Census Tract 411.04, Clark County, Washington",23,0,0,0,0,0,23,0,0,23
530110411051011,"Block 1011, Block Group 1, Census Tract 411.05, Clark County, Washington",9,0,0,0,0,0,9,0,0,9
530110411072001,"Block 2001, Block Group 2, Census Tract 411.07, Clark County, Washington",11,0,0,0,0,0,11,0,0,11
530110426011027,"Block 1027, Block Group 1, Census Tract 426.01, Clark County, Washington",10,0,0,0,0,0,10,0,0,10
530110411102006,"Block 2006, Block Group 2, Census Tract 411.10, Clark County, Washington",2,0,0,0,0,0,2,0,0,2
530110426021009,"Block 1009, Block Group 1, Census Tract 426.02, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
530110426021016,"Block 1016, Block Group 1, Census Tract 426.02, Clark County, Washington",6,0,0,0,0,0,6,0,0,6
530110411121004,"Block 1004, Block Group 1, Census Tract 411.12, Clark County, Washington",14,0,0,0,0,0,14,0,0,14
530110426022008,"Block 2008, Block Group 2, Census Tract 426.02, Clark County, Washington",16,0,0,0,0,0,16,0,0,16
530110412052017,"Block 2017, Block Group 2, Census Tract 412.05, Clark County, Washington",14,0,0,0,0,0,14,0,0,14
530110412061007,"Block 1007, Block Group 1, Census Tract 412.06, Clark County, Washington",7,0,0,0,0,0,7,0,0,7
530110429001021,"Block 1021, Block Group 1, Census Tract 429, Clark County, Washington",13,0,0,0,0,0,13,0,0,13
530110429001022,"Block 1022, Block Group 1, Census Tract 429, Clark County, Washington",2,0,0,0,0,0,2,0,0,2
530110429001026,"Block 1026, Block Group 1, Census Tract 429, Clark County, Washington",4,0,0,0,0,0,4,0,0,4
