RT,SERIALNO,DIVISION,SPORDER,PUMA,PUMA20,REGION,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTRNS,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPIK,MLPJ,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELSHIPP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WKWN,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA10,MIGPUMA20,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA10,POWPUMA20,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDISP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHICOVP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRNSP,FLANP,FLANXP,FMARP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPERNP,FPINCP,FPOBP,FPOWSP,FPRIVCOVP,FPUBCOVP,FRACP,FRELSHIPP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWNP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,GQTYPE,gqwgtp,GQFLAG,employed,soc,hhnum
P,2018GQ0000023,9,1,10100,-9,4,53,1184371,5,57,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,2,3,2,2,2,2,1987,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,2,0,9000,0,-8,3,-8,NA,2,NA,1,917,999,NA,2,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,,1,NA,NA,999,NA,0,9000,53,69,NA,NA,NA,2,1,2,3,27,3,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,0,5,0,5,0,0,0,0,4,5,0,0,4,0,0,9,9,9,9,9,5,9,5,8,5,5,5,5,9,10,5,4,8,4,5,5,4,6,5,4,9,4,8,4,9,10,9,10,5,4,8,9,4,8,9,0,0,0,0,0,5,0,4,0,5,4,5,5,0,0,5,5,0,5,4,5,4,5,1,0,0,1
P,2018GQ0000317,9,1,11609,-9,4,53,1184371,1,94,1,NA,NA,1,2,1,1,1,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,2,2,2,2,2,2009,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,6500,1,-8,11,0,2,0,5500,0,-8,3,-8,NA,2,NA,1,431,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,3,,1,NA,NA,999,NA,0,12000,36,101,NA,NA,NA,2,1,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,2,1,1,1,2,0,1,1,1,0,1,1,0,0,0,0,1,0,2,0,1,1,0,1,0,1,0,1,1,2,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,2,1,0,1,2,2,1,1,2,0,0,0,1,4,1,1,0,0,2
P,2018GQ0000491,9,1,11402,-9,4,53,1184371,2,74,1,NA,NA,1,2,2,1,2,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,3,2,2,3,2,1985,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,2,0,10800,0,-8,3,-8,NA,2,NA,1,917,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,11500,-9,53,4,,1,NA,NA,999,NA,0,10800,51,89,NA,NA,NA,2,1,4,3,5,3,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,3,4,5,5,3,0,6,3,2,3,3,0,0,3,3,3,3,0,5,0,2,5,5,5,3,0,5,3,3,3,2,0,0,2,3,2,3,5,0,5,2,0,0,0,3,5,0,3,2,3,3,5,6,3,3,3,2,5,0,4,2,0,0,0,3,6,0,2,3,3,3,5,6,2,2,2,4,2,1,0,0,3
P,2018GQ0000545,9,1,11701,-9,4,53,1184371,2,23,1,NA,2,2,2,2,2,2,NA,NA,2,NA,1,NA,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,3,0,320,38,0,1,-8,12,0,2,0,0,0,-8,2,-8,NA,2,NA,4,999,999,NA,2,NA,NA,6,NA,NA,1,1,8380,NA,NA,NA,11700,-9,53,6,6242,1,NA,NA,999,NA,0,320,53,2,NA,NA,NA,2,1,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,352021,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,2,4,2,2,2,0,2,0,2,2,0,2,3,0,0,0,0,2,2,0,2,0,2,1,2,4,2,4,2,2,3,2,0,3,4,0,0,2,2,0,2,0,1,1,2,4,2,4,1,1,3,2,0,3,4,4,3,3,2,4,1,4,2,2,2,0,2,0,2,2,0,1,3,0,0,4,4,2,1,0,0,4
P,2018GQ0000589,9,1,10800,-9,4,53,1184371,1,57,1,NA,NA,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,2,3,2,2,2,2,1987,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,2,0,9000,0,-8,3,-8,NA,2,NA,1,917,999,NA,2,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,4,,1,NA,NA,999,NA,0,9000,53,69,NA,NA,NA,2,1,2,3,27,3,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,3,1,0,0,0,1,2,1,1,1,3,2,2,2,3,3,1,0,2,1,0,1,2,2,3,1,1,1,1,2,0,0,0,2,3,3,1,0,1,1,0,1,2,2,2,2,1,1,1,1,0,0,0,1,0,0,1,3,1,1,2,1,0,0,0,1,2,1,2,1,3,2,2,1,0,4,1,1,0,0,5
P,2018GQ0000603,9,1,11501,-9,4,53,1184371,3,54,1,NA,NA,2,2,2,2,2,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,2,14300,0,0,-8,3,-8,NA,2,NA,1,599,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,,1,NA,NA,999,NA,0,14300,53,111,NA,NA,NA,2,1,4,2,2,2,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,3,4,7,4,6,0,0,4,4,4,7,4,0,3,0,0,7,3,3,6,4,3,6,3,7,0,0,3,3,3,7,3,0,4,0,0,7,3,3,0,3,3,0,3,0,6,7,4,3,4,0,3,6,4,6,6,0,4,3,0,3,3,0,4,0,7,7,3,4,4,0,3,8,4,7,6,0,3,4,3,1,0,0,6
P,2018GQ0000631,9,1,11608,-9,4,53,1184371,7,32,1,NA,2,2,2,2,2,2,NA,NA,2,NA,NA,2,NA,NA,2,2,2,1,2,2,2,0,25,2,1,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,1,-8,9,0,1,0,0,500,20,1,6,NA,1,NA,1,902,999,NA,2,2,NA,1,NA,NA,1,1,8370,87,43,NA,NA,NA,NA,6,6241,1,NA,NA,5,NA,500,500,38,3,11600,-9,53,2,1,2,9,68,16,0,0,1,0,2,0,0,1,NA,NA,NA,NA,NA,472111,NA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA,1,0,1,NA,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,5,0,7,6,12,13,0,0,14,7,0,14,11,6,6,1,6,6,5,6,6,13,7,6,0,0,11,12,0,6,14,0,0,6,5,13,6,5,7,6,6,1,7,5,12,12,0,0,12,6,0,13,11,6,6,0,6,6,6,7,6,13,6,7,1,0,12,12,0,6,14,0,0,6,6,12,6,6,6,6,4,7,1,1,47,7
P,2018GQ0000690,9,1,11609,-9,4,53,1184371,1,94,5,NA,NA,2,2,2,1,2,NA,NA,2,1,NA,2,NA,NA,2,2,1,2,2,2,2,0,NA,NA,NA,1,2,2,2,1,2,1943,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,1,-8,1,0,2,0,7900,0,-8,3,-8,NA,NA,2018,1,144,999,8,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,1220,NA,NA,NA,3,,2,NA,NA,999,NA,0,7900,132,67,NA,NA,NA,2,1,2,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,,NA,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,2,1,2,1,2,0,1,1,1,0,1,1,1,0,0,1,0,0,2,1,1,0,0,1,0,2,0,0,1,2,1,0,1,1,1,1,1,2,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,2,1,1,1,1,0,1,0,1,4,1,1,0,0,8
P,2018GQ0001105,9,1,10702,-9,4,53,1184371,25,50,1,NA,NA,1,1,2,1,2,NA,NA,1,NA,NA,2,NA,NA,2,2,1,1,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,9,0,1,9000,0,0,-8,3,-8,NA,2,NA,4,999,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,6,,1,NA,NA,999,NA,0,9000,53,69,NA,NA,NA,2,1,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,1,0,24,25,26,47,26,0,23,0,0,50,25,49,26,28,48,23,25,45,0,0,25,25,26,52,24,1,26,0,0,45,26,48,24,22,45,24,25,0,53,53,26,26,23,0,26,53,26,53,49,0,24,1,24,27,0,24,27,0,57,52,25,26,25,0,23,50,26,57,52,0,25,0,27,26,0,26,24,4,25,1,0,0,9
P,2018GQ0001128,9,1,11102,-9,4,53,1184371,2,48,1,NA,NA,2,2,2,1,2,NA,NA,1,NA,NA,2,NA,NA,2,2,2,1,2,2,2,0,NA,NA,NA,2,3,2,2,1,2,1989,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,1,-8,1,0,1,9000,0,0,-8,3,-8,NA,2,NA,1,902,999,NA,1,NA,NA,6,NA,NA,1,1,NA,NA,NA,NA,11600,-9,53,4,,1,NA,NA,999,NA,0,9000,12,70,NA,NA,NA,2,1,2,2,2,2,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,2,0,1,2,3,1,1,1,2,1,0,2,3,2,2,1,3,2,0,1,0,3,1,0,0,1,1,1,2,2,2,1,0,0,0,1,0,1,3,1,3,0,2,2,3,1,1,1,1,2,0,2,3,2,2,1,3,1,0,1,0,2,1,0,0,2,1,2,1,1,3,2,0,0,4,2,1,0,0,10
