"BLOCK","BG","TRACT","PUMA","REGION"
530110417001027,530110417001,53011041700,11101,2
530110417001030,530110417001,53011041700,11101,2
530110409101007,530110409101,53011040910,11102,4
530110419001030,530110419001,53011041900,11101,2
530110419002040,530110419002,53011041900,11101,2
530110410081016,530110410081,53011041008,11102,4
530110410111003,530110410111,53011041011,11101,2
530110410112006,530110410112,53011041011,11101,2
530110423001029,530110423001,53011042300,11101,2
530110423002012,530110423002,53011042300,11101,2
530110423002013,530110423002,53011042300,11101,2
530110424001007,530110424001,53011042400,11101,2
530110424001009,530110424001,53011042400,11101,2
530110424002002,530110424002,53011042400,11101,2
530110411041014,530110411041,53011041104,11102,4
530110411051011,530110411051,53011041105,11102,4
530110411072001,530110411072,53011041107,11102,4
530110426011027,530110426011,53011042601,11101,2
530110411102006,530110411102,53011041110,11102,4
530110426021009,530110426021,53011042602,11101,2
530110426021016,530110426021,53011042602,11101,2
530110411121004,530110411121,53011041112,11102,4
530110426022008,530110426022,53011042602,11101,2
530110412052017,530110412052,53011041205,11101,2
530110412061007,530110412061,53011041206,11101,2
530110429001021,530110429001,53011042900,11101,2
530110429001022,530110429001,53011042900,11101,2
530110429001026,530110429001,53011042900,11101,2
530110412061013,530110412061,53011041206,11101,2
530110412062017,530110412062,53011041206,11101,2
530110412063005,530110412063,53011041206,11101,2
530110412063017,530110412063,53011041206,11101,2
530110430002013,530110430002,53011043000,11101,2
530110430002017,530110430002,53011043000,11101,2
530110430002020,530110430002,53011043000,11101,2
530110412031001,530110412031,53011041203,11101,2
530110412031008,530110412031,53011041203,11101,2
530110412071007,530110412071,53011041207,11101,2
530110412081008,530110412081,53011041208,11101,2
530110409072002,530110409072,53011040907,11102,4
530110412033003,530110412033,53011041203,11101,2
530110412081014,530110412081,53011041208,11101,2
530110412081021,530110412081,53011041208,11101,2
530110412081026,530110412081,53011041208,11101,2
530110431003000,530110431003,53011043100,11101,2
530110409081010,530110409081,53011040908,11102,4
530110409083005,530110409083,53011040908,11102,4
530110431003002,530110431003,53011043100,11101,2
530110431004003,530110431004,53011043100,11101,2
530110431004016,530110431004,53011043100,11101,2
530110416001001,530110416001,53011041600,11101,2
530110409091020,530110409091,53011040909,11102,4
530110413192022,530110413192,53011041319,11103,1
530110413201007,530110413201,53011041320,11103,1
530110413212007,530110413212,53011041321,11103,1
530110413221004,530110413221,53011041322,11101,2
530110413223000,530110413223,53011041322,11101,2
530110413231002,530110413231,53011041323,11103,1
530110413231005,530110413231,53011041323,11103,1
530110413231007,530110413231,53011041323,11103,1
530110413232005,530110413232,53011041323,11103,1
530110413233001,530110413233,53011041323,11103,1
530110413233005,530110413233,53011041323,11103,1
530110413233007,530110413233,53011041323,11103,1
530110413234013,530110413234,53011041323,11103,1
530110408034001,530110408034,53011040803,11102,4
530110413261006,530110413261,53011041326,11103,1
530110413261011,530110413261,53011041326,11103,1
530110413261013,530110413261,53011041326,11103,1
530110408062000,530110408062,53011040806,11102,4
530110408063013,530110408063,53011040806,11102,4
530110408093004,530110408093,53011040809,11102,4
530110413302004,530110413302,53011041330,11101,2
530110413312004,530110413312,53011041331,11101,2
530110413321000,530110413321,53011041332,11103,1
530110413332002,530110413332,53011041333,11103,1
530110413332012,530110413332,53011041333,11103,1
530110408112021,530110408112,53011040811,11102,4
530110408121000,530110408121,53011040812,11102,4
530110408123016,530110408123,53011040812,11102,4
530110413342007,530110413342,53011041334,11103,1
530110413351014,530110413351,53011041335,11103,1
530110408121006,530110408121,53011040812,11102,4
530110409043011,530110409043,53011040904,11102,4
530110413352002,530110413352,53011041335,11103,1
530110413372007,530110413372,53011041337,11101,2
530110413091000,530110413091,53011041309,11101,2
530110413091001,530110413091,53011041309,11101,2
530110413091002,530110413091,53011041309,11101,2
530110413093000,530110413093,53011041309,11101,2
530110413093002,530110413093,53011041309,11101,2
530110413101001,530110413101,53011041310,11103,1
530110413101003,530110413101,53011041310,11103,1
530110413101006,530110413101,53011041310,11103,1
530110413123000,530110413123,53011041312,11101,2
530110413171016,530110413171,53011041317,11101,2
530110413173000,530110413173,53011041317,11101,2
530110413191004,530110413191,53011041319,11103,1
530110405071021,530110405071,53011040507,11103,1
530110403032037,530110403032,53011040303,11104,3
530110402012008,530110402012,53011040201,11104,3
530110407031017,530110407031,53011040703,11104,3
530110407032006,530110407032,53011040703,11104,3
530110407034000,530110407034,53011040703,11104,3
530110407062000,530110407062,53011040706,11104,3
530110407124017,530110407124,53011040712,11104,3
530110407073006,530110407073,53011040707,11104,3
530110407073013,530110407073,53011040707,11104,3
530110407133005,530110407133,53011040713,11104,3
530110404031032,530110404031,53011040403,11104,3
530110404082003,530110404082,53011040408,11104,3
530110404082011,530110404082,53011040408,11104,3
530110404082014,530110404082,53011040408,11104,3
530110404083001,530110404083,53011040408,11104,3
530110404111007,530110404111,53011040411,11102,4
530110404112004,530110404112,53011040411,11102,4
530110405132021,530110405132,53011040513,11103,1
530110407112010,530110407112,53011040711,11104,3
530110404131008,530110404131,53011040413,11104,3
530110408031016,530110408031,53011040803,11102,4
530110404142001,530110404142,53011040414,11104,3
530110407121000,530110407121,53011040712,11104,3
530110404151024,530110404151,53011040415,11104,3
530110404151026,530110404151,53011040415,11104,3
530110406054001,530110406054,53011040605,11103,1
530110407122000,530110407122,53011040712,11104,3
530110405053019,530110405053,53011040505,11104,3
530110406081022,530110406081,53011040608,11103,1
530599502002072,530599502002,53059950200,11000,5
530599502003114,530599502003,53059950200,11000,5
530599503001029,530599503001,53059950300,11000,5
530110407151029,530110407151,53011040715,11104,3
530110411102001,530110411102,53011041110,11102,4
530110411111002,530110411111,53011041111,11102,4
530110409083014,530110409083,53011040908,11102,4
530110428001009,530110428001,53011042800,11101,2
530110410092005,530110410092,53011041009,11102,4
530110408062003,530110408062,53011040806,11102,4
530110408063002,530110408063,53011040806,11102,4
530110424001011,530110424001,53011042400,11101,2
530110424001017,530110424001,53011042400,11101,2
530110424002019,530110424002,53011042400,11101,2
530110411143002,530110411143,53011041114,11102,4
530110412033008,530110412033,53011041203,11101,2
530110418002001,530110418002,53011041800,11101,2
530110413331010,530110413331,53011041333,11103,1
530110413351002,530110413351,53011041335,11103,1
530110413351012,530110413351,53011041335,11103,1
530110413302002,530110413302,53011041330,11101,2
530110413302008,530110413302,53011041330,11101,2
530110413171000,530110413171,53011041317,11101,2
530110413211014,530110413211,53011041321,11103,1
530110413231006,530110413231,53011041323,11103,1
530110413171013,530110413171,53011041317,11101,2
530110413191020,530110413191,53011041319,11103,1
530110413193000,530110413193,53011041319,11103,1
530110412053000,530110412053,53011041205,11101,2
530110413093005,530110413093,53011041309,11101,2
530110404082009,530110404082,53011040408,11104,3
530110404111002,530110404111,53011040411,11102,4
530110404121015,530110404121,53011040412,11102,4
530110412071001,530110412071,53011041207,11101,2
530110407061002,530110407061,53011040706,11104,3
530110406041001,530110406041,53011040604,11103,1
530110405071010,530110405071,53011040507,11103,1
