household_id,PUMA,BLOCK,GQWGTP,SERIALNO,HTYPE,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,TYPE,NPF,HUPAC,GQFLAG,GQTYPE
1,11000,530599502002072,8,2018GQ0026320,999,0,999,999,1,,,,1184371,,,3,,,1,4
2,11000,530599502002072,13,2018GQ0077667,999,0,999,999,1,,,,1184371,,,3,,,1,4
3,11000,530599502002072,8,2018GQ0132732,999,0,999,999,1,,,,1184371,,,3,,,1,4
4,11000,530599502002072,2,2019GQ0058720,999,1,999,999,1,,,,1159866,,,3,,,1,4
5,11000,530599502002072,32,2020GQ0048745,999,0,999,999,1,,,,1140108,,,3,,,1,4
6,11000,530599502002072,9,2020GQ0086553,999,0,999,999,1,,,,1140108,,,3,,,1,4
7,11000,530599502002072,23,2020GQ0111507,999,0,999,999,1,,,,1140108,,,3,,,1,4
8,11000,530599502002072,5,2020GQ0131107,999,0,999,999,1,,,,1140108,,,3,,,1,4
9,11000,530599502002072,12,2021GQ0095458,999,1,999,999,1,,,,1113261,,,3,,,1,4
10,11000,530599502002072,5,2021GQ0129088,999,0,999,999,1,,,,1113261,,,3,,,1,4
11,11000,530599502003114,3,2018GQ0005045,999,0,999,999,1,,,,1184371,,,3,,,1,4
12,11000,530599502003114,9,2018GQ0013730,999,0,999,999,1,,,,1184371,,,3,,,1,4
13,11000,530599502003114,9,2018GQ0013730,999,0,999,999,1,,,,1184371,,,3,,,1,4
14,11000,530599502003114,9,2018GQ0013730,999,0,999,999,1,,,,1184371,,,3,,,1,4
15,11000,530599502003114,9,2018GQ0013730,999,0,999,999,1,,,,1184371,,,3,,,1,4
16,11000,530599502003114,9,2018GQ0013730,999,0,999,999,1,,,,1184371,,,3,,,1,4
17,11000,530599502003114,9,2018GQ0013730,999,0,999,999,1,,,,1184371,,,3,,,1,4
18,11000,530599502003114,8,2018GQ0026320,999,0,999,999,1,,,,1184371,,,3,,,1,4
19,11000,530599502003114,8,2018GQ0026320,999,0,999,999,1,,,,1184371,,,3,,,1,4
20,11000,530599502003114,8,2018GQ0026320,999,0,999,999,1,,,,1184371,,,3,,,1,4
21,11000,530599502003114,3,2018GQ0026539,999,0,999,999,1,,,,1184371,,,3,,,1,4
22,11000,530599502003114,3,2018GQ0026539,999,0,999,999,1,,,,1184371,,,3,,,1,4
23,11000,530599502003114,3,2018GQ0026539,999,0,999,999,1,,,,1184371,,,3,,,1,4
24,11000,530599502003114,4,2018GQ0031515,999,0,999,999,1,,,,1184371,,,3,,,1,4
25,11000,530599502003114,4,2018GQ0031515,999,0,999,999,1,,,,1184371,,,3,,,1,4
26,11000,530599502003114,4,2018GQ0031515,999,0,999,999,1,,,,1184371,,,3,,,1,4
27,11000,530599502003114,4,2018GQ0031515,999,0,999,999,1,,,,1184371,,,3,,,1,4
28,11000,530599502003114,6,2018GQ0053908,999,0,999,999,1,,,,1184371,,,3,,,1,4
29,11000,530599502003114,6,2018GQ0053908,999,0,999,999,1,,,,1184371,,,3,,,1,4
30,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
31,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
32,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
33,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
34,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
35,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
36,11000,530599502003114,11,2018GQ0062038,999,0,999,999,1,,,,1184371,,,3,,,1,4
37,11000,530599502003114,5,2018GQ0062768,999,0,999,999,1,,,,1184371,,,3,,,1,4
