PUMA,BLOCK,household_id,gqwgtp,SERIALNO,employed,soc,OCCP,AGEP,SEX,WKHP,ESR,SCHG,WKW,MIL,SCHL,per_num,GQFLAG
11000,530599502002072,1,8,2018GQ0026320,0,0,999,51,1,-8,6,-8,-8,2,9,1,1
11000,530599502002072,2,13,2018GQ0077667,0,0,999,46,1,40,6,-8,3,3,9,1,1
11000,530599502002072,3,8,2018GQ0132732,0,0,999,33,1,20,6,-8,5,4,9,1,1
11000,530599502002072,4,2,2019GQ0058720,1,53,6,48,1,12,1,-8,4,2,9,1,1
11000,530599502002072,5,32,2020GQ0048745,0,0,999,55,1,30,6,-8,6,4,11,1,1
11000,530599502002072,6,9,2020GQ0086553,0,0,999,36,1,40,6,-8,6,4,11,1,1
11000,530599502002072,7,23,2020GQ0111507,0,0,999,50,1,-8,6,-8,-8,4,9,1,1
11000,530599502002072,8,5,2020GQ0131107,0,0,999,83,2,-8,6,-8,-8,4,13,1,1
11000,530599502002072,9,12,2021GQ0095458,1,47,5,27,1,50,1,-8,1,4,9,1,1
11000,530599502002072,10,5,2021GQ0129088,0,0,999,85,1,-8,6,-8,-8,2,9,1,1
11000,530599502003114,11,3,2018GQ0005045,0,0,999,21,1,-8,6,-8,-8,4,7,1,1
11000,530599502003114,12,9,2018GQ0013730,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,13,9,2018GQ0013730,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,14,9,2018GQ0013730,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,15,9,2018GQ0013730,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,16,9,2018GQ0013730,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,17,9,2018GQ0013730,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,18,8,2018GQ0026320,0,0,999,51,1,-8,6,-8,-8,2,9,1,1
11000,530599502003114,19,8,2018GQ0026320,0,0,999,51,1,-8,6,-8,-8,2,9,1,1
11000,530599502003114,20,8,2018GQ0026320,0,0,999,51,1,-8,6,-8,-8,2,9,1,1
11000,530599502003114,21,3,2018GQ0026539,0,0,999,46,1,40,6,-8,3,3,9,1,1
11000,530599502003114,22,3,2018GQ0026539,0,0,999,46,1,40,6,-8,3,3,9,1,1
11000,530599502003114,23,3,2018GQ0026539,0,0,999,46,1,40,6,-8,3,3,9,1,1
11000,530599502003114,24,4,2018GQ0031515,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,25,4,2018GQ0031515,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
11000,530599502003114,26,4,2018GQ0031515,0,0,999,31,1,-8,6,-8,-8,4,9,1,1
