geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,530110417001027,26,26,0
BLOCK,530110417001030,7,7,0
BLOCK,530110409101007,10,10,0
BLOCK,530110419001030,1,1,0
BLOCK,530110419002040,3,3,0
BLOCK,530110410081016,16,16,0
BLOCK,530110410111003,32,32,0
BLOCK,530110410112006,9,9,0
BLOCK,530110423001029,3,3,0
BLOCK,530110423002012,15,15,0
BLOCK,530110423002013,6,6,0
BLOCK,530110424001007,7,7,0
BLOCK,530110424001009,49,49,0
BLOCK,530110424002002,11,11,0
BLOCK,530110411041014,23,23,0
BLOCK,530110411051011,9,9,0
BLOCK,530110411072001,11,11,0
BLOCK,530110426011027,10,10,0
BLOCK,530110411102006,2,2,0
BLOCK,530110426021009,4,4,0
BLOCK,530110426021016,6,6,0
BLOCK,530110411121004,14,14,0
BLOCK,530110426022008,16,16,0
BLOCK,530110412052017,14,14,0
BLOCK,530110412061007,7,7,0
BLOCK,530110429001021,13,13,0
BLOCK,530110429001022,2,2,0
BLOCK,530110429001026,4,4,0
BLOCK,530110412061013,9,9,0
BLOCK,530110412062017,4,4,0
BLOCK,530110412063005,3,3,0
BLOCK,530110412063017,10,10,0
BLOCK,530110430002013,1,1,0
BLOCK,530110430002017,8,8,0
BLOCK,530110430002020,8,8,0
BLOCK,530110412031001,38,38,0
BLOCK,530110412031008,54,54,0
BLOCK,530110412071007,5,5,0
BLOCK,530110412081008,6,6,0
BLOCK,530110409072002,9,9,0
BLOCK,530110412033003,13,13,0
BLOCK,530110412081014,12,12,0
BLOCK,530110412081021,7,7,0
BLOCK,530110412081026,6,6,0
BLOCK,530110431003000,5,5,0
BLOCK,530110409081010,4,4,0
BLOCK,530110409083005,5,5,0
BLOCK,530110431003002,7,7,0
BLOCK,530110431004003,7,7,0
BLOCK,530110431004016,6,6,0
BLOCK,530110416001001,18,18,0
BLOCK,530110409091020,6,6,0
BLOCK,530110413192022,7,7,0
BLOCK,530110413201007,14,14,0
BLOCK,530110413212007,5,5,0
BLOCK,530110413221004,1,1,0
BLOCK,530110413223000,11,11,0
BLOCK,530110413231002,11,11,0
BLOCK,530110413231005,7,7,0
BLOCK,530110413231007,5,5,0
BLOCK,530110413232005,1,1,0
BLOCK,530110413233001,7,7,0
BLOCK,530110413233005,7,7,0
BLOCK,530110413233007,11,11,0
BLOCK,530110413234013,7,7,0
BLOCK,530110408034001,3,3,0
BLOCK,530110413261006,1,1,0
BLOCK,530110413261011,9,9,0
BLOCK,530110413261013,7,7,0
BLOCK,530110408062000,5,5,0
BLOCK,530110408063013,6,6,0
BLOCK,530110408093004,6,6,0
BLOCK,530110413302004,4,4,0
BLOCK,530110413312004,12,12,0
BLOCK,530110413321000,4,4,0
BLOCK,530110413332002,7,7,0
BLOCK,530110413332012,11,11,0
BLOCK,530110408112021,15,15,0
BLOCK,530110408121000,1,1,0
BLOCK,530110408123016,7,7,0
BLOCK,530110413342007,15,15,0
BLOCK,530110413351014,7,7,0
BLOCK,530110408121006,5,5,0
BLOCK,530110409043011,6,6,0
BLOCK,530110413352002,5,5,0
BLOCK,530110413372007,2,2,0
BLOCK,530110413091000,7,7,0
BLOCK,530110413091001,13,13,0
BLOCK,530110413091002,10,10,0
BLOCK,530110413093000,25,25,0
BLOCK,530110413093002,9,9,0
BLOCK,530110413101001,12,12,0
BLOCK,530110413101003,13,13,0
BLOCK,530110413101006,11,11,0
BLOCK,530110413123000,4,4,0
BLOCK,530110413171016,8,8,0
BLOCK,530110413173000,14,14,0
BLOCK,530110413191004,6,6,0
BLOCK,530110405071021,7,7,0
BLOCK,530110403032037,24,24,0
BLOCK,530110402012008,15,15,0
BLOCK,530110407031017,9,9,0
BLOCK,530110407032006,3,3,0
BLOCK,530110407034000,17,17,0
BLOCK,530110407062000,7,7,0
BLOCK,530110407124017,5,5,0
BLOCK,530110407073006,15,15,0
BLOCK,530110407073013,6,6,0
BLOCK,530110407133005,7,7,0
BLOCK,530110404031032,7,7,0
BLOCK,530110404082003,16,16,0
BLOCK,530110404082011,6,6,0
BLOCK,530110404082014,15,15,0
BLOCK,530110404083001,7,7,0
BLOCK,530110404111007,8,8,0
BLOCK,530110404112004,54,54,0
BLOCK,530110405132021,15,15,0
BLOCK,530110407112010,8,8,0
BLOCK,530110404131008,11,11,0
BLOCK,530110408031016,11,11,0
BLOCK,530110404142001,2,2,0
BLOCK,530110407121000,8,8,0
BLOCK,530110404151024,6,6,0
BLOCK,530110404151026,1,1,0
BLOCK,530110406054001,8,8,0
BLOCK,530110407122000,16,16,0
BLOCK,530110405053019,6,6,0
BLOCK,530110406081022,3,3,0
BLOCK,530599502002072,10,10,0
BLOCK,530599502003114,408,408,0
BLOCK,530599503001029,26,26,0
BLOCK,530110407151029,8,8,0
BLOCK,530110411102001,7,7,0
BLOCK,530110411111002,9,9,0
BLOCK,530110409083014,6,6,0
BLOCK,530110428001009,11,11,0
BLOCK,530110410092005,13,13,0
BLOCK,530110408062003,6,6,0
BLOCK,530110408063002,93,93,0
BLOCK,530110424001011,105,105,0
BLOCK,530110424001017,6,6,0
