process,pid,rss,full_rss,uss,event,children,time
MainProcess,21164,104_697_856,104_697_856,72_523_776,pipeline.run before preload_injectables,0,2024/04/03 15:12:06.810533
MainProcess,21164,104_972_288,104_972_288,72_523_776,pipeline.run after preload_injectables,0,2024/04/03 15:12:06.842026
MainProcess,21164,105_000_960,105_000_960,72_523_776,pipeline.run_model input_pre_processor start,0,2024/04/03 15:12:06.888831
MainProcess,21164,132_825_088,132_825_088,99_983_360,pipeline.run_model input_pre_processor finished,0,2024/04/03 15:12:07.326111
MainProcess,21164,136_728_576,136_728_576,104_189_952,pipeline.run after input_pre_processor,0,2024/04/03 15:12:07.469928
MainProcess,21164,137_064_448,137_064_448,104_189_952,pipeline.run_model setup_data_structures start,0,2024/04/03 15:12:07.529377
MainProcess,21164,127_692_800,127_692_800,94_310_400,pipeline.run_model setup_data_structures finished,0,2024/04/03 15:12:07.670468
MainProcess,21164,128_585_728,128_585_728,95_166_464,pipeline.run after setup_data_structures,0,2024/04/03 15:12:08.310788
MainProcess,21164,128_585_728,128_585_728,95_166_464,pipeline.run_model initial_seed_balancing start,0,2024/04/03 15:12:08.357779
MainProcess,21164,128_659_456,128_659_456,95_166_464,pipeline.run_model initial_seed_balancing finished,0,2024/04/03 15:12:08.435375
MainProcess,21164,128_675_840,128_675_840,95_182_848,pipeline.run after initial_seed_balancing,0,2024/04/03 15:12:08.498230
MainProcess,21164,128_675_840,128_675_840,95_182_848,pipeline.run_model meta_control_factoring start,0,2024/04/03 15:12:08.560774
MainProcess,21164,128_675_840,128_675_840,95_182_848,pipeline.run_model meta_control_factoring finished,0,2024/04/03 15:12:08.608055
MainProcess,21164,128_679_936,128_679_936,95_186_944,pipeline.run after meta_control_factoring,0,2024/04/03 15:12:08.654579
MainProcess,21164,128_679_936,128_679_936,95_186_944,pipeline.run_model final_seed_balancing start,0,2024/04/03 15:12:08.716938
MainProcess,21164,128_679_936,128_679_936,95_186_944,pipeline.run_model final_seed_balancing finished,0,2024/04/03 15:12:08.747954
MainProcess,21164,126_574_592,126_574_592,93_081_600,pipeline.run after final_seed_balancing,0,2024/04/03 15:12:08.810443
MainProcess,21164,126_574_592,126_574_592,93_081_600,pipeline.run_model integerize_final_seed_weights start,0,2024/04/03 15:12:08.873152
MainProcess,21164,128_753_664,128_753_664,93_356_032,pipeline.run_model integerize_final_seed_weights finished,0,2024/04/03 15:12:09.013602
MainProcess,21164,128_847_872,128_847_872,93_360_128,pipeline.run after integerize_final_seed_weights,0,2024/04/03 15:12:09.072500
MainProcess,21164,128_856_064,128_856_064,93_368_320,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/04/03 15:12:09.138629
MainProcess,21164,129_527_808,129_527_808,94_314_496,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/04/03 15:12:09.591508
MainProcess,21164,129_916_928,129_916_928,94_314_496,pipeline.run after sub_balancing.geography=BLOCK,0,2024/04/03 15:12:09.669618
MainProcess,21164,129_916_928,129_916_928,94_314_496,pipeline.run_model expand_households start,0,2024/04/03 15:12:09.716770
MainProcess,21164,130_039_808,130_039_808,94_330_880,pipeline.run_model expand_households finished,0,2024/04/03 15:12:09.841945
MainProcess,21164,130_039_808,130_039_808,94_330_880,pipeline.run after expand_households,0,2024/04/03 15:12:09.890567
MainProcess,21164,130_039_808,130_039_808,94_330_880,pipeline.run_model summarize start,0,2024/04/03 15:12:09.950945
MainProcess,21164,130_097_152,130_097_152,94_330_880,pipeline.run_model summarize finished,0,2024/04/03 15:12:10.175505
MainProcess,21164,130_936_832,130_936_832,95_563_776,pipeline.run after summarize,0,2024/04/03 15:12:10.295327
MainProcess,21164,131_330_048,131_330_048,95_563_776,pipeline.run_model write_tables start,0,2024/04/03 15:12:10.342157
MainProcess,21164,131_444_736,131_444_736,95_657_984,pipeline.run_model write_tables finished,0,2024/04/03 15:12:10.451357
MainProcess,21164,131_444_736,131_444_736,95_657_984,pipeline.run after write_tables,0,2024/04/03 15:12:10.513761
MainProcess,21164,131_444_736,131_444_736,95_657_984,pipeline.run_model write_synthetic_population start,0,2024/04/03 15:12:10.576319
MainProcess,21164,131_215_360,131_215_360,95_756_288,pipeline.run_model write_synthetic_population finished,0,2024/04/03 15:12:10.764400
MainProcess,21164,131_547_136,131_547_136,95_760_384,pipeline.run after write_synthetic_population,0,2024/04/03 15:12:10.810799
MainProcess,21164,131_547_136,131_547_136,95_760_384,pipeline.run after run_models,0,2024/04/03 15:12:10.877135
