RT,SERIALNO,DIVISION,SPORDER,PUMA,PUMA20,REGION,ST,ADJINC,PWGTP,AGEP,CIT,CITWP,COW,DDRS,DEAR,DEYE,DOUT,DPHY,DRAT,DRATX,DREM,ENG,FER,GCL,GCM,GCR,HINS1,HINS2,HINS3,HINS4,HINS5,HINS6,HINS7,INTP,JWMNP,JWRIP,JWTRNS,LANX,MAR,MARHD,MARHM,MARHT,MARHW,MARHYP,MIG,MIL,MLPA,MLPB,MLPCD,MLPE,MLPFG,MLPH,MLPIK,MLPJ,NWAB,NWAV,NWLA,NWLK,NWRE,OIP,PAP,RELSHIPP,RETP,SCH,SCHG,SCHL,SEMP,SEX,SSIP,SSP,WAGP,WKHP,WKL,WKW,WKWN,WRK,YOEP,ANC,ANC1P,ANC2P,DECADE,DIS,DRIVESP,ESP,ESR,FOD1P,FOD2P,HICOV,HISP,INDP,JWAP,JWDP,LANP,MIGPUMA10,MIGPUMA20,MIGSP,MSP,NAICSP,NATIVITY,NOP,OC,OCCP,PAOC,PERNP,PINCP,POBP,POVPIP,POWPUMA10,POWPUMA20,POWSP,PRIVCOV,PUBCOV,QTRBIR,RAC1P,RAC2P,RAC3P,RACAIAN,RACASN,RACBLK,RACNH,RACNUM,RACPI,RACSOR,RACWHT,RC,SCIENGP,SCIENGRLP,SFN,SFR,SOCP,VPS,WAOB,FAGEP,FANCP,FCITP,FCITWP,FCOWP,FDDRSP,FDEARP,FDEYEP,FDISP,FDOUTP,FDPHYP,FDRATP,FDRATXP,FDREMP,FENGP,FESRP,FFERP,FFODP,FGCLP,FGCMP,FGCRP,FHICOVP,FHINS1P,FHINS2P,FHINS3C,FHINS3P,FHINS4C,FHINS4P,FHINS5C,FHINS5P,FHINS6P,FHINS7P,FHISP,FINDP,FINTP,FJWDP,FJWMNP,FJWRIP,FJWTRNSP,FLANP,FLANXP,FMARP,FMARHDP,FMARHMP,FMARHTP,FMARHWP,FMARHYP,FMIGP,FMIGSP,FMILPP,FMILSP,FOCCP,FOIP,FPAP,FPERNP,FPINCP,FPOBP,FPOWSP,FPRIVCOVP,FPUBCOVP,FRACP,FRELSHIPP,FRETP,FSCHGP,FSCHLP,FSCHP,FSEMP,FSEXP,FSSIP,FSSP,FWAGP,FWKHP,FWKLP,FWKWNP,FWKWP,FWRKP,FYOEP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,GQTYPE,gqwgtp,GQFLAG,employed,soc,hhnum
P,2018GQ0000365,9,1,11602,-9,4,53,1184371,1,20,1,NA,4,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,40,5,NA,10,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,2,6,11,0,1,0,0,6000,20,1,4,NA,1,NA,2,51,82,NA,2,NA,NA,1,NA,NA,1,1,7870,231,133,NA,NA,NA,NA,6,611M1,1,NA,NA,1,NA,6000,6040,53,NA,11600,-9,53,1,2,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,113013,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,2,0,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,11,1
P,2018GQ0000408,9,1,11602,-9,4,53,1184371,9,18,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,2,3,0,0,38,0,2,6,9,0,1,0,0,6000,70,1,4,NA,2,NA,1,32,999,NA,2,NA,NA,6,NA,NA,1,1,8680,NA,NA,NA,10200,-9,53,6,722Z,1,NA,NA,999,NA,6000,6000,53,NA,NA,NA,NA,1,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,352010,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,17,9,1,15,1,8,9,8,8,8,8,15,1,9,9,1,1,8,2,9,8,2,8,8,9,2,17,16,15,16,1,9,8,15,1,8,8,1,8,1,1,8,15,2,16,8,8,8,9,9,8,1,16,8,9,16,15,8,16,9,9,16,9,9,8,15,1,1,2,1,16,8,8,1,15,9,9,16,1,9,1,0,0,2
P,2018GQ0000514,9,1,11602,-9,4,53,1184371,10,19,1,NA,6,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,8000,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,14000,0,38,0,2,6,10,500,1,0,0,0,6,1,6,NA,2,NA,2,50,51,NA,2,NA,NA,6,NA,NA,1,1,7770,NA,NA,NA,1000,-9,26,6,56173,1,NA,NA,999,NA,500,22500,26,NA,NA,NA,NA,1,2,4,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,373011,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,11,10,18,10,19,17,2,2,11,11,10,10,19,2,10,10,10,2,18,2,10,10,19,10,19,19,2,1,10,10,10,10,18,2,10,10,10,18,1,19,9,10,1,10,1,2,18,18,10,11,10,10,2,18,10,10,10,18,2,18,10,10,2,10,2,2,19,18,10,11,9,10,2,18,10,11,10,1,1,10,1,0,0,3
P,2018GQ0000807,9,1,10800,-9,4,53,1184371,10,19,1,NA,1,2,2,2,2,2,NA,NA,2,NA,2,NA,NA,NA,1,2,2,2,2,2,2,-1400,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,2,6,11,0,2,0,0,2000,24,1,6,NA,2,NA,1,195,999,NA,2,NA,NA,6,NA,NA,1,1,8680,NA,NA,NA,NA,NA,NA,6,722Z,1,NA,NA,999,NA,2000,600,53,NA,NA,NA,NA,1,2,2,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,412010,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,19,19,10,11,2,1,19,11,11,10,19,10,10,11,2,10,10,18,1,19,1,2,10,10,18,20,1,10,11,11,2,10,10,10,20,10,11,2,19,2,18,20,10,10,2,2,19,10,10,11,19,10,11,10,2,10,11,19,2,19,2,2,10,10,18,19,1,11,11,11,1,9,11,11,18,10,11,2,1,10,1,0,0,4
P,2018GQ0001077,9,1,10600,-9,4,53,1184371,17,20,1,NA,4,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,13,NA,10,2,5,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,3,3,0,0,38,0,2,6,11,0,1,0,0,4200,15,1,1,NA,1,NA,1,740,999,NA,2,NA,NA,1,NA,NA,1,1,7870,204,121,NA,NA,NA,NA,6,611M1,1,NA,NA,4,NA,4200,4200,15,NA,10600,-9,53,1,2,3,6,48,7,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,434171,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,30,18,30,31,16,17,16,17,31,17,31,16,30,31,31,30,16,17,16,2,3,17,2,2,16,17,17,17,2,16,3,17,2,2,2,3,16,16,16,29,32,17,31,28,16,17,16,17,30,17,33,17,31,30,30,31,16,17,17,3,3,17,2,3,17,17,16,16,3,16,3,16,3,3,2,3,17,17,17,1,17,1,1,43,5
P,2018GQ0001308,9,1,11602,-9,4,53,1184371,12,19,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,1,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,0,0,38,0,2,6,11,0,1,0,0,2500,25,1,6,NA,2,NA,2,89,32,NA,2,NA,NA,6,NA,NA,1,1,5593,NA,NA,NA,11600,-9,53,6,454110,1,NA,NA,999,NA,2500,2500,53,NA,NA,NA,NA,1,2,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,537065,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,12,11,11,1,2,20,2,12,12,22,20,20,11,11,2,21,11,1,11,22,21,1,2,11,11,11,12,21,2,12,11,12,20,2,12,11,19,12,21,12,11,12,11,21,21,2,20,12,12,2,2,2,10,11,21,2,11,21,11,2,2,21,20,12,11,11,11,2,20,12,11,11,2,20,11,12,2,12,1,12,1,0,0,6
P,2018GQ0001382,9,1,11602,-9,4,53,1184371,15,20,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,2,6,11,0,1,0,0,7700,45,1,6,NA,2,NA,2,32,89,NA,2,NA,NA,6,NA,NA,1,1,6280,NA,NA,NA,11600,-9,53,6,487,1,NA,NA,999,NA,7700,7700,53,NA,NA,NA,NA,1,2,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,5350XX,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,29,15,15,28,15,15,28,15,15,15,27,2,2,2,3,27,15,14,14,28,3,14,15,2,14,15,2,15,15,15,2,28,27,28,28,3,14,15,14,28,3,15,14,3,15,15,2,15,15,16,3,28,26,26,28,3,14,15,15,2,27,15,15,28,15,14,27,15,14,16,26,3,3,2,2,29,15,15,1,15,1,0,0,7
P,2018GQ0001692,9,1,10800,-9,4,53,1184371,9,18,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,3,0,0,38,0,2,6,9,0,1,0,0,1500,7,1,6,NA,2,NA,2,11,32,NA,2,NA,NA,6,NA,NA,1,1,8590,NA,NA,NA,11600,-9,53,6,713Z,1,NA,NA,999,NA,1500,1500,53,NA,NA,NA,NA,1,2,1,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,272022,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,2,9,9,9,9,9,9,17,2,9,9,2,2,10,16,17,9,8,9,9,9,16,1,2,2,2,17,9,9,1,17,10,9,17,9,9,16,17,1,18,1,10,9,8,9,9,9,17,1,9,10,1,1,8,17,17,9,9,9,9,9,17,1,1,1,2,16,9,9,1,16,8,9,17,8,9,18,17,1,9,1,0,0,8
P,2018GQ0001877,9,1,11602,-9,4,53,1184371,18,18,5,NA,NA,2,2,2,2,2,NA,NA,2,1,NA,NA,NA,NA,2,1,2,2,2,2,2,100,NA,NA,NA,1,5,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,2,5,2,2,3,0,0,38,0,2,6,10,0,1,0,0,0,-8,3,-8,NA,2,2018,1,782,999,8,2,NA,NA,6,NA,NA,1,1,NA,NA,NA,2030,1,-9,240,6,,2,NA,NA,999,NA,0,100,240,NA,NA,NA,NA,1,2,1,6,44,5,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,19,18,3,17,18,3,18,19,18,3,33,32,34,34,3,17,17,16,32,3,19,17,3,18,17,3,18,18,18,2,33,33,32,34,2,18,16,18,2,35,18,18,31,18,18,33,18,18,18,35,2,3,3,2,34,18,18,18,3,34,18,18,33,18,18,33,17,18,17,34,3,2,2,2,33,19,19,18,1,18,1,0,0,9
P,2018GQ0002141,9,1,11505,-9,4,53,1184371,1,22,1,NA,1,2,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,0,NA,NA,NA,2,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,3,400,0,38,0,2,6,10,0,1,0,0,0,-8,2,-8,NA,2,NA,1,195,999,NA,2,NA,NA,3,NA,NA,1,1,4971,NA,NA,NA,1325,-9,41,6,44511,1,NA,NA,999,NA,0,400,41,3,NA,NA,NA,1,2,3,1,1,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,353023,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,10
