household_id,PUMA,BLOCK,GQWGTP,SERIALNO,HTYPE,NWESR,HHINCADJ,hhchild,NP,HINCP,TEN,BLD,ADJINC,VEH,HHT,TYPE,NPF,HUPAC,GQFLAG,GQTYPE
1,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
2,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
3,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
4,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
5,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
6,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
7,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
8,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
9,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
10,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
11,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
12,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
13,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
14,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
15,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
16,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
17,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
18,11102,530110411112001,15,2018GQ0112787,999,0,999,999,1,,,,1184371,,,3,,,1,1
19,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
20,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
21,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
22,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
23,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
24,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
25,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
26,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
27,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
28,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
29,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
30,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
31,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
32,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
33,11102,530110411112001,15,2019GQ0011277,999,0,999,999,1,,,,1159866,,,3,,,1,1
34,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
35,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
36,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
37,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
38,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
39,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
40,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
41,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
42,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
43,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
44,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
45,11102,530110411112001,12,2019GQ0090253,999,0,999,999,1,,,,1159866,,,3,,,1,1
46,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
47,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
48,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
49,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
50,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
51,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
52,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
53,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
54,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
55,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
56,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
57,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
58,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
59,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
60,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
61,11102,530110411112001,14,2019GQ0114227,999,1,999,999,1,,,,1159866,,,3,,,1,1
62,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
63,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
64,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
65,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
66,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
67,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
68,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
69,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
70,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
71,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
72,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
73,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
74,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
75,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
76,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
77,11102,530110411112001,14,2020GQ0123181,999,1,999,999,1,,,,1140108,,,3,,,1,1
78,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
79,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
80,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
81,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
82,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
83,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
84,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
85,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
86,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
87,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
88,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
89,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
90,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
91,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
92,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
93,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
94,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
95,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
96,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
97,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
98,11102,530110411112001,16,2020GQ0142467,999,1,999,999,1,,,,1140108,,,3,,,1,1
99,11102,530110411112001,20,2021GQ0068918,999,0,999,999,1,,,,1113261,,,3,,,1,1
100,11102,530110411112001,20,2021GQ0068918,999,0,999,999,1,,,,1113261,,,3,,,1,1
101,11102,530110411112001,20,2021GQ0068918,999,0,999,999,1,,,,1113261,,,3,,,1,1
102,11102,530110411112001,20,2021GQ0068918,999,0,999,999,1,,,,1113261,,,3,,,1,1
103,11102,530110411112001,20,2021GQ0068918,999,0,999,999,1,,,,1113261,,,3,,,1,1
