process,pid,rss,full_rss,uss,event,children,time
MainProcess,20804,104_816_640,104_816_640,72_638_464,pipeline.run before preload_injectables,0,2024/04/04 10:28:59.081151
MainProcess,20804,105_095_168,105_095_168,72_642_560,pipeline.run after preload_injectables,0,2024/04/04 10:28:59.112184
MainProcess,20804,105_123_840,105_123_840,72_646_656,pipeline.run_model input_pre_processor start,0,2024/04/04 10:28:59.159645
MainProcess,20804,128_278_528,128_278_528,95_588_352,pipeline.run_model input_pre_processor finished,0,2024/04/04 10:28:59.549780
MainProcess,20804,131_829_760,131_829_760,99_213_312,pipeline.run after input_pre_processor,0,2024/04/04 10:28:59.690666
MainProcess,20804,132_091_904,132_091_904,99_213_312,pipeline.run_model setup_data_structures start,0,2024/04/04 10:28:59.737270
MainProcess,20804,125_685_760,125_685_760,92_274_688,pipeline.run_model setup_data_structures finished,0,2024/04/04 10:28:59.862045
MainProcess,20804,124_710_912,124_710_912,91_287_552,pipeline.run after setup_data_structures,0,2024/04/04 10:29:00.018288
MainProcess,20804,124_710_912,124_710_912,91_287_552,pipeline.run_model initial_seed_balancing start,0,2024/04/04 10:29:00.065387
MainProcess,20804,124_776_448,124_776_448,91_287_552,pipeline.run_model initial_seed_balancing finished,0,2024/04/04 10:29:00.549683
MainProcess,20804,124_792_832,124_792_832,91_320_320,pipeline.run after initial_seed_balancing,0,2024/04/04 10:29:00.618273
MainProcess,20804,124_809_216,124_809_216,91_320_320,pipeline.run_model meta_control_factoring start,0,2024/04/04 10:29:00.674773
MainProcess,20804,124_809_216,124_809_216,91_320_320,pipeline.run_model meta_control_factoring finished,0,2024/04/04 10:29:00.718647
MainProcess,20804,124_809_216,124_809_216,91_336_704,pipeline.run after meta_control_factoring,0,2024/04/04 10:29:00.768608
MainProcess,20804,124_825_600,124_825_600,91_336_704,pipeline.run_model final_seed_balancing start,0,2024/04/04 10:29:00.831147
MainProcess,20804,124_825_600,124_825_600,91_598_848,pipeline.run_model final_seed_balancing finished,0,2024/04/04 10:29:00.878612
MainProcess,20804,122_986_496,122_986_496,89_497_600,pipeline.run after final_seed_balancing,0,2024/04/04 10:29:00.940895
MainProcess,20804,122_986_496,122_986_496,89_497_600,pipeline.run_model integerize_final_seed_weights start,0,2024/04/04 10:29:00.987229
MainProcess,20804,125_132_800,125_132_800,89_927_680,pipeline.run_model integerize_final_seed_weights finished,0,2024/04/04 10:29:01.096468
MainProcess,20804,125_419_520,125_419_520,89_935_872,pipeline.run after integerize_final_seed_weights,0,2024/04/04 10:29:01.174751
MainProcess,20804,125_419_520,125_419_520,89_935_872,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/04/04 10:29:01.237476
MainProcess,20804,125_501_440,125_501_440,89_944_064,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/04/04 10:29:01.299656
MainProcess,20804,125_513_728,125_513_728,89_956_352,pipeline.run after sub_balancing.geography=BLOCK,0,2024/04/04 10:29:01.361943
MainProcess,20804,125_513_728,125_513_728,89_956_352,pipeline.run_model expand_households start,0,2024/04/04 10:29:01.428192
MainProcess,20804,125_620_224,125_620_224,89_960_448,pipeline.run_model expand_households finished,0,2024/04/04 10:29:01.487025
MainProcess,20804,125_698_048,125_698_048,90_431_488,pipeline.run after expand_households,0,2024/04/04 10:29:01.549689
MainProcess,20804,126_091_264,126_091_264,90_431_488,pipeline.run_model summarize start,0,2024/04/04 10:29:01.612347
MainProcess,20804,126_115_840,126_115_840,90_431_488,pipeline.run_model summarize finished,0,2024/04/04 10:29:01.674600
MainProcess,20804,128_487_424,128_487_424,93_065_216,pipeline.run after summarize,0,2024/04/04 10:29:01.768379
MainProcess,20804,128_749_568,128_749_568,93_097_984,pipeline.run_model write_tables start,0,2024/04/04 10:29:01.830662
MainProcess,20804,128_831_488,128_831_488,93_261_824,pipeline.run_model write_tables finished,0,2024/04/04 10:29:01.928234
MainProcess,20804,128_966_656,128_966_656,93_261_824,pipeline.run after write_tables,0,2024/04/04 10:29:01.971492
MainProcess,20804,128_966_656,128_966_656,93_261_824,pipeline.run_model write_synthetic_population start,0,2024/04/04 10:29:02.028840
MainProcess,20804,130_314_240,130_314_240,94_605_312,pipeline.run_model write_synthetic_population finished,0,2024/04/04 10:29:02.159447
MainProcess,20804,130_314_240,130_314_240,94_605_312,pipeline.run after write_synthetic_population,0,2024/04/04 10:29:02.221590
MainProcess,20804,130_314_240,130_314_240,94_605_312,pipeline.run after run_models,0,2024/04/04 10:29:02.268701
