"BLOCK","HH","POP","HH_Occ","GQ_Inst","GQ_Non","GP"
530110417001023,14,31,14,0,0,31
530110417001024,12,37,12,0,0,37
530110417001026,7,22,7,0,0,22
530110417001027,13,53,13,0,26,27
530110417001029,4,18,4,0,0,18
530110417001030,7,17,7,0,7,10
530110417002001,13,49,13,0,0,49
530110417002002,12,27,12,0,0,27
530110417002004,32,73,32,0,0,73
530110417002005,40,90,40,0,0,90
530110417002006,20,43,20,0,0,43
530110417002008,26,56,26,0,0,56
530110417002009,9,30,9,0,0,30
530110417002012,32,54,28,0,0,54
530110417002014,9,25,9,0,0,25
530110417002015,10,23,10,0,0,23
530110417002018,88,186,78,0,0,186
530110417002019,305,580,305,0,0,580
530110417002022,36,80,36,0,0,80
530110417002024,4,29,4,0,0,29
530110417002025,12,35,12,0,0,35
530110417002027,10,18,10,0,0,18
530110417002028,11,36,11,0,0,36
530110417002029,8,27,8,0,0,27
530110418001001,200,405,197,0,0,405
530110418001002,15,26,15,0,0,26
530110418001003,24,56,24,0,0,56
530110418001004,15,50,15,0,0,50
530110418001005,15,32,14,0,0,32
530110418001007,20,50,20,0,0,50
530110418001008,21,40,21,0,0,40
530110418001009,20,40,20,0,0,40
530110418001010,24,52,18,0,0,52
530110418001011,18,31,16,0,0,31
530110409094000,27,47,27,0,0,47
530110409094001,301,673,301,0,0,673
530110409094002,4,16,4,0,0,16
530110409094003,24,44,10,0,0,44
530110409094004,22,80,22,0,0,80
530110409094005,14,24,9,0,0,24
530110409094006,14,38,14,0,0,38
530110409094007,13,23,13,0,0,23
530110409094008,5,16,5,0,0,16
530110409094009,10,43,8,0,0,43
530110409094010,8,10,8,0,0,10
530110409094012,38,99,37,0,0,99
530110409094013,20,80,20,0,0,80
530110409101001,3,15,3,0,0,15
530110409101002,5,16,0,0,0,16
530110409101004,29,71,29,0,0,71
530110409101005,22,61,22,0,0,61
530110409101007,11,40,11,0,10,30
530110409101010,74,118,74,0,0,118
530110409101012,125,337,121,0,0,337
530110409101014,15,42,15,0,0,42
530110409101015,12,53,12,0,0,53
530110409101017,9,23,9,0,0,23
530110409101018,15,55,15,0,0,55
530110409101020,27,78,27,0,0,78
530110409101021,20,49,20,0,0,49
530110409101024,22,82,22,0,0,82
530110409101025,16,43,16,0,0,43
530110409101033,14,46,14,0,0,46
530110409102007,12,79,12,0,0,79
530110409102009,6,31,0,0,0,31
530110409102010,43,107,43,0,0,107
530110409102012,18,60,18,0,0,60
530110409102013,10,43,10,0,0,43
530110409102015,1,22,0,0,0,22
530110409102016,128,389,128,0,0,389
530110409102017,21,66,21,0,0,66
530110409102018,20,64,17,0,0,64
530110410031000,35,106,35,0,0,106
530110410031001,10,32,10,0,0,32
530110410031002,39,89,34,0,0,89
530110410031003,10,28,10,0,0,28
530110410031004,10,36,8,0,0,36
530110410031005,19,35,19,0,0,35
530110410031006,78,187,75,0,0,187
530110410031007,10,33,10,0,0,33
530110410031009,33,77,33,0,0,77
530110410031010,21,65,21,0,0,65
530110410032001,2,15,0,0,0,15
530110410032002,22,48,22,0,0,48
530110410032004,17,39,17,0,0,39
530110410032005,6,21,3,0,0,21
530110410032007,2,13,0,0,0,13
530110410032008,3,20,3,0,0,20
530110410032010,4,10,4,0,0,10
530110410032011,38,66,37,0,0,66
530110410032014,16,25,15,0,0,25
530110410032015,3,15,3,0,0,15
530110410032017,151,455,151,65,0,390
530110410032018,18,40,9,0,0,40
530110418001013,20,59,17,0,0,59
530110418001014,15,42,15,0,0,42
530110418001015,9,21,6,0,0,21
530110418001017,8,33,8,0,0,33
530110418001018,12,38,12,0,0,38
530110418001020,10,30,8,0,0,30
530110418001021,1,14,0,0,0,14
530110418001023,38,84,38,0,0,84
530110418001024,45,100,45,0,0,100
530110418001026,24,53,24,0,0,53
530110418001027,9,35,5,0,0,35
530110418001028,10,21,10,0,0,21
530110418001030,5,15,5,0,0,15
530110418001033,16,57,16,0,0,57
530110418002000,51,145,51,0,0,145
530110418002002,18,43,18,0,0,43
530110418002003,24,55,24,0,0,55
530110418002005,23,53,19,0,0,53
530110418002006,26,74,26,0,0,74
530110418002007,19,62,19,0,0,62
530110418002012,13,45,13,0,0,45
530110418002013,76,153,75,0,0,153
530110418002015,16,36,16,0,0,36
530110418002016,19,44,19,0,0,44
530110418002017,21,45,21,0,0,45
530110418002018,17,41,17,0,0,41
530110418002019,29,57,29,0,0,57
530110418002020,20,38,18,0,0,38
530110418002021,18,42,8,0,0,42
530110418003000,17,34,17,0,0,34
530110418003001,6,11,6,0,0,11
530110418003002,9,20,9,0,0,20
530110418003003,6,21,6,0,0,21
