BLOCK,BG,TRACT,PUMA,REGION
530110405121013,530110405121,53011040512,11103,1
530110405121025,530110405121,53011040512,11103,1
530110406042013,530110406042,53011040604,11103,1
530110413253006,530110413253,53011041325,11103,1
530110405121028,530110405121,53011040512,11103,1
530110413331019,530110413331,53011041333,11103,1
530110413284003,530110413284,53011041328,11103,1
530110405102012,530110405102,53011040510,11103,1
530110413351020,530110413351,53011041335,11103,1
530110406051007,530110406051,53011040605,11103,1
530110406051000,530110406051,53011040605,11103,1
530110405132017,530110405132,53011040513,11103,1
530110405131004,530110405131,53011040513,11103,1
530110406102003,530110406102,53011040610,11103,1
530110413321019,530110413321,53011041332,11103,1
530110406042032,530110406042,53011040604,11103,1
530110406041009,530110406041,53011040604,11103,1
530110414002011,530110414002,53011041400,11103,1
530110413232001,530110413232,53011041323,11103,1
530110405072005,530110405072,53011040507,11103,1
530110413201001,530110413201,53011041320,11103,1
530110413202001,530110413202,53011041320,11103,1
530110415003011,530110415003,53011041500,11103,1
530110413283015,530110413283,53011041328,11103,1
530110413303000,530110413303,53011041330,11101,2
530110406052010,530110406052,53011040605,11103,1
530110413101004,530110413101,53011041310,11103,1
530110406042023,530110406042,53011040604,11103,1
530110413201017,530110413201,53011041320,11103,1
530110405091018,530110405091,53011040509,11103,1
530110415003013,530110415003,53011041500,11103,1
530110414003026,530110414003,53011041400,11103,1
530110414002007,530110414002,53011041400,11103,1
530110405132010,530110405132,53011040513,11103,1
530110405101010,530110405101,53011040510,11103,1
530110413102001,530110413102,53011041310,11103,1
530110414002033,530110414002,53011041400,11103,1
530110414001012,530110414001,53011041400,11103,1
530110413353003,530110413353,53011041335,11103,1
530110413351018,530110413351,53011041335,11103,1
530110413352013,530110413352,53011041335,11103,1
530110405104027,530110405104,53011040510,11103,1
530110413252014,530110413252,53011041325,11103,1
530110413353032,530110413353,53011041335,11103,1
530110421002008,530110421002,53011042100,11101,2
530110424001019,530110424001,53011042400,11101,2
530110423001016,530110423001,53011042300,11101,2
530110423001012,530110423001,53011042300,11101,2
530110425001001,530110425001,53011042500,11101,2
530110431004008,530110431004,53011043100,11101,2
530110431001008,530110431001,53011043100,11101,2
530110416002008,530110416002,53011041600,11101,2
530110410111020,530110410111,53011041011,11101,2
530110423003008,530110423003,53011042300,11101,2
530110423001019,530110423001,53011042300,11101,2
530110412052000,530110412052,53011041205,11101,2
530110428001021,530110428001,53011042800,11101,2
530110420001004,530110420001,53011042000,11101,2
530110430001015,530110430001,53011043000,11101,2
530110430001013,530110430001,53011043000,11101,2
530110419002010,530110419002,53011041900,11101,2
530110426022008,530110426022,53011042602,11101,2
530110419001035,530110419001,53011041900,11101,2
530110412033009,530110412033,53011041203,11101,2
530110416002007,530110416002,53011041600,11101,2
530110413121003,530110413121,53011041312,11101,2
530110421002020,530110421002,53011042100,11101,2
530110421001004,530110421001,53011042100,11101,2
