TRACT,W0,W1,W2,W3,OCCP_1,OCCP_2,OCCP_3,OCCP_4,OCCP_5,OCCP_6
53011040101,549,615,472,125,833,344,375,340,224,0
53011040102,344,462,313,65,408,130,252,273,139,0
53011040201,694,819,645,208,1019,437,659,638,383,25
53011040202,322,531,442,111,490,218,344,256,177,0
53011040203,552,644,544,135,853,244,475,262,273,0
53011040301,194,172,241,89,499,104,192,39,87,0
53011040303,398,629,738,83,1250,549,537,243,310,0
53011040304,343,305,323,49,616,65,208,70,156,0
53011040305,237,476,264,54,443,229,197,150,192,0
53011040403,343,566,431,94,622,308,495,257,186,0
53011040407,355,834,924,134,1107,369,523,427,716,0
53011040408,392,397,401,91,760,201,366,129,109,0
53011040409,285,199,276,55,519,55,180,44,160,0
53011040411,276,406,284,42,600,136,206,85,161,0
53011040412,446,1022,742,66,1297,431,615,107,301,0
53011040413,248,380,406,86,428,333,403,197,236,2
53011040414,413,748,701,227,1135,318,581,211,419,0
53011040415,446,633,422,83,488,310,339,268,435,0
53011040416,259,441,417,105,706,246,388,194,277,0
53011040504,491,605,366,122,870,318,309,238,206,7
53011040505,625,741,390,239,1048,298,499,401,266,0
53011040507,250,457,197,20,291,227,124,63,167,0
53011040509,279,439,491,94,657,439,322,205,345,0
53011040510,661,710,716,223,1193,330,475,234,343,0
53011040511,179,274,323,66,574,167,197,110,115,0
53011040512,117,308,400,23,581,122,243,46,142,0
53011040513,277,418,908,109,1047,290,789,158,59,0
53011040603,517,503,547,106,918,192,430,145,317,14
53011040604,280,712,1034,250,1596,524,920,210,490,0
53011040605,552,1044,650,118,1675,252,510,129,229,0
53011040608,454,670,552,85,1233,145,386,79,192,0
53011040609,238,481,675,215,1524,379,456,50,352,0
53011040610,215,418,509,115,1110,151,333,90,103,0
53011040703,375,718,977,209,921,556,808,674,510,0
53011040706,494,522,346,109,386,355,453,273,471,0
53011040707,210,312,468,118,452,253,313,260,424,0
53011040709,409,555,651,287,1168,491,407,210,381,0
53011040711,82,467,401,88,576,370,245,162,234,0
53011040712,332,800,856,176,1178,440,470,495,704,0
53011040713,307,586,499,124,1056,229,282,59,306,0
53011040714,397,726,514,131,1040,297,519,256,584,0
53011040715,230,390,265,63,594,143,273,167,85,0
53011040803,486,947,464,141,820,400,529,280,320,0
53011040806,403,497,499,238,1031,465,656,213,593,0
53011040808,165,233,227,19,240,134,216,77,166,0
53011040809,615,976,732,177,1064,580,724,195,499,0
53011040810,201,610,450,170,487,383,616,249,411,0
53011040811,415,488,278,105,607,92,300,144,211,0
53011040812,555,474,666,229,1029,272,498,310,278,0
53011040904,731,1005,496,282,859,659,645,313,537,0
53011040905,289,559,290,93,647,179,434,119,355,0
53011040907,398,728,1050,121,2172,197,961,113,49,13
53011040908,589,764,913,178,1897,518,714,128,347,0
53011040909,780,636,723,96,1258,405,247,229,247,0
53011040910,324,407,579,144,1101,482,202,205,330,0
53011041003,430,724,456,62,731,378,339,59,356,0
53011041005,213,558,213,107,215,300,187,309,225,0
53011041007,387,580,346,61,664,218,352,100,221,0
53011041008,455,349,536,121,1041,188,391,163,257,0
53011041009,561,699,444,51,638,293,340,123,404,0
53011041010,504,946,587,78,738,505,461,160,486,0
53011041011,350,487,477,95,711,200,411,213,214,47
53011041104,331,541,329,206,442,342,438,281,398,0
53011041105,645,876,742,182,926,463,574,557,466,0
53011041107,209,499,247,172,493,219,495,99,343,0
53011041110,460,689,1185,114,1433,888,739,267,752,0
53011041111,224,744,456,154,384,525,278,216,557,0
53011041112,482,1199,806,222,1427,742,639,403,497,12
53011041113,187,576,266,26,249,177,217,286,216,0
53011041114,1057,835,419,37,557,258,425,150,380,0
53011041203,548,657,694,78,571,420,513,311,460,0
53011041205,701,767,546,154,851,440,291,354,330,0
53011041206,681,859,518,241,1301,405,501,320,375,57
53011041207,314,307,158,125,270,252,214,23,279,0
53011041208,542,1038,450,69,1066,195,437,137,93,0
53011041309,451,726,669,100,1042,359,420,237,384,0
53011041310,1463,475,458,43,828,215,304,34,125,0
53011041312,505,825,675,73,650,358,715,228,467,0
53011041313,382,412,329,66,298,333,462,126,262,0
53011041317,519,1184,962,99,913,897,494,429,431,22
53011041319,575,731,746,285,1033,829,552,249,424,0
53011041320,360,1028,826,279,1228,794,998,342,607,0
53011041321,237,364,337,90,690,312,247,138,227,0
53011041322,696,740,549,106,738,583,566,169,387,0
53011041323,778,701,574,187,709,567,481,195,495,0
53011041325,576,726,654,67,1408,234,319,28,271,4
53011041326,176,300,256,94,445,175,220,107,279,0
53011041328,459,972,1038,36,1631,354,787,156,415,0
53011041329,696,1014,560,129,1131,334,526,61,241,0
53011041330,295,582,530,254,864,471,595,522,240,0
53011041331,223,400,294,141,499,281,436,128,232,0
53011041332,335,221,481,207,584,351,372,339,515,0
53011041333,303,367,343,85,560,230,364,184,261,0
53011041334,87,232,283,276,609,304,455,81,567,0
53011041335,445,554,613,299,1132,273,808,242,279,0
53011041336,164,815,263,35,584,142,383,59,174,0
53011041337,342,557,428,97,903,269,295,130,279,0
53011041400,709,746,610,170,1232,458,468,163,327,0
53011041500,343,291,416,58,634,309,192,116,151,13
53011041600,328,753,318,34,356,413,150,215,380,0
53011041700,302,792,389,177,703,538,689,248,206,0
53011041800,479,673,410,118,537,452,375,324,361,0
53011041900,270,361,299,51,625,133,194,65,200,0
53011042000,214,176,272,33,495,79,158,56,74,0
53011042100,322,429,482,86,809,287,219,81,264,0
53011042300,681,644,364,78,697,252,758,21,62,0
53011042400,494,392,83,4,396,28,136,17,66,0
53011042500,193,388,296,26,593,151,185,52,63,0
53011042601,303,618,239,18,665,94,211,33,270,0
53011042602,382,893,465,69,694,511,480,211,510,0
53011042700,802,762,466,120,584,564,540,224,380,0
53011042800,277,586,362,54,780,101,390,83,207,0
53011042900,201,221,165,45,276,118,152,51,122,0
53011043000,228,196,254,64,303,193,298,96,116,0
53011043100,575,634,448,87,828,222,348,289,160,0
53059950100,26,17,12,0,9,3,0,0,6,0
53059950200,553,509,583,159,1092,290,438,271,393,0
53059950300,270,418,199,17,360,162,193,109,102,0
