"controlName","geography","Observed","Predicted","Difference","pcDifference","N","PRMSE","meanPCDiff","SDEV"
"HH","BLOCK",191905,191905,0,0,5807,0,0,0
"HHSF","BG",130793,130805,12,0.00917480293287867,318,3.26081825812824,2.98710733037344,22.9590398590558
"HHSFA","BG",10363,10370,7,0.0675480073337837,190,14.0475586500317,4.3499339316959,21.8530248750855
"HHDUP","BG",5539,5538,-1,-0.0180538003249684,117,9.32557852051071,4.47713529845447,21.3855569029361
"HHMF4","BG",6324,6325,1,0.0158127767235927,128,17.2410581920472,3.20728211671332,31.9723051718839
"HHMF9","BG",8724,8730,6,0.0687757909215956,118,10.450222441927,4.97390063447823,28.5001749581309
"HHMF19","BG",6203,6188,-15,-0.241818474931485,114,9.84852516589221,1.01874282435205,18.2828717142503
"HHMF49","BG",4664,4654,-10,-0.214408233276158,91,9.47848336136957,0.357510423082767,13.4953860003441
"HHMF50","BG",10708,10708,0,0,117,12.7697066754329,8.04814955420794,33.7117280258159
"HHMH","BG",8233,8214,-19,-0.230778574031337,141,12.3303538788647,0.498884292728118,20.5861006359799
"HHRV","BG",385,373,-12,-3.11688311688312,21,8.62439361864103,-5.72487038510908,13.6474696257778
"HHS1","BG",45244,44653,-591,-1.30625055255946,319,10.7492099211149,2.92424723025296,30.2705168752194
"HHS2","BG",70456,69710,-746,-1.05881685023277,323,6.35102486652348,0.454895518057857,8.93052319798604
"HHS3","BG",29667,29423,-244,-0.822462668958776,318,13.5606956698231,4.79257719746634,22.9415507593135
"HHS4","BG",25766,25625,-141,-0.54723278739424,306,13.683368714203,4.73139659082813,26.3030816362837
"HHS5","BG",12360,12323,-37,-0.299352750809061,271,20.0281066589533,10.3972111463614,43.9253158619121
"HHS6","BG",4689,4669,-20,-0.426530177010023,182,32.2066639109459,2.91773283116926,29.8439256873651
"HHS7","BG",3754,3757,3,0.079914757591902,132,52.1118616163292,25.8549663943259,116.469642326099
"HHINC1","BG",10640,10623,-17,-0.159774436090226,244,14.7412239851523,3.8507789406896,21.6283971873021
"HHINC2","BG",8663,8645,-18,-0.207780214706222,244,13.2971235182997,2.79692625665503,18.8045853271395
"HHINC3","BG",10520,10539,19,0.180608365019011,262,11.1516894095725,3.78198919597456,23.4946644827261
"HHINC4","BG",17501,17505,4,0.0228558368093252,298,13.7986633367549,3.99849554426075,21.2764065515307
"HHINC5","BG",31888,31897,9,0.0282237832413447,317,8.76097141313157,2.48776788147525,12.6936310461108
"HHINC6","BG",27888,27879,-9,-0.0322719449225473,320,9.17035346827511,2.26229413036398,11.7541705470939
"HHINC7","BG",40366,40350,-16,-0.0396373185354011,321,7.44155835498104,2.66260688998241,14.9202404056423
"HHINC8","BG",21478,21477,-1,-0.00465592699506472,305,7.05765234751174,2.99388148061116,21.5453569439086
"HHINC9","BG",22992,22990,-2,-0.00869867780097425,289,12.1293643340305,6.60188525613739,40.4018858990211
"HHKID","BG",59040,59040,0,0,322,8.23795309168875,0.792170161886732,10.5991790530143
"HHV0","BG",9055,9054,-1,-0.0110436223081171,216,19.8094633462364,2.5402856184784,29.807803142943
"HHV1","BG",50654,50656,2,0.00394835550993011,321,6.98862204915469,2.29049135584906,12.1445196032603
"HHV2","BG",73905,73891,-14,-0.0189432379405994,323,5.61989169048463,3.32154535065446,38.3876028174797
"HHV3","BG",37073,37061,-12,-0.032368570118415,310,8.96068082465138,2.95637243868833,15.8304706307099
"HHV4","BG",14234,14235,1,0.00702543206407194,272,11.4778383685353,4.06328329355196,19.9285953757906
"HHV5","BG",7015,7008,-7,-0.0997861724875267,221,26.1026661662808,4.78913710670466,43.059271278513
"AGE1","BG",28651,28610,-41,-0.14310146242714,302,14.0223622543192,3.6050101568899,22.7080426161731
"AGE2","BG",32463,32390,-73,-0.22487139204633,309,18.9631299795531,4.84029108276446,38.6424373343129
"AGE3","BG",33278,33236,-42,-0.12620950778292,309,14.1070520869656,4.87427947470328,35.4638455408157
"AGE4","BG",20846,20795,-51,-0.24465125203876,292,17.4411093257477,6.59943037896291,40.9370913110847
"AGE5","BG",42525,42464,-61,-0.143445032333921,312,23.5582847985322,9.55363733015044,65.6424132007498
"AGE6","BG",68003,67879,-124,-0.182344896548682,321,13.9787719239357,1.89290174328165,25.2404179833631
"AGE7","BG",68230,68016,-214,-0.313645024182911,322,13.0109395095826,2.16926022644927,20.1317073492091
"AGE8","BG",66498,66336,-162,-0.243616349363891,322,12.5400898694832,4.32078693590396,35.8924763000881
"AGE9","BG",65832,65685,-147,-0.223295661684287,323,10.2863980190357,3.79511292944487,22.0299399117023
"AGE10","BG",52764,52606,-158,-0.299446592373588,322,11.4828677722361,3.83693713826242,21.5450495738618
"AGE11","BG",23190,23086,-104,-0.448469167744718,310,13.5372085690905,4.68924932454692,22.9480371239861
"AGE12","BG",8848,8820,-28,-0.316455696202532,231,27.7420738014048,11.4942964981683,55.6316799879937
"OCCP_1","TRACT",95616,94387,-1229,-1.28534973226238,120,4.3950705699317,-0.884560291041345,4.21929019473577
"OCCP_2","TRACT",38618,38500,-118,-0.305556994147807,120,4.12709908762571,0.024349467269538,3.56588321095727
"OCCP_4","TRACT",49766,49328,-438,-0.880118956717438,119,4.18299135215973,-0.600608559824318,3.54013880662217
"OCCP_5","TRACT",23171,22994,-177,-0.763885891847568,119,4.72853180935633,-0.56299378396011,4.21310238604007
"OCCP_6","TRACT",35906,35638,-268,-0.746393360441152,120,4.40166134402292,0.217424998781505,6.23942320330861
"W0","TRACT",49133,48662,-471,-0.958622514399691,120,3.96942315903285,-1.11607972414502,4.0564620222104
"W1","TRACT",70391,70200,-191,-0.271341506726712,120,1.02987744056304,-0.587805203573571,3.86738629183204
"W2","TRACT",58430,58789,359,0.614410405613555,120,2.79110287151416,0.344806666166849,5.33226380215722
"W3","TRACT",13982,14254,272,1.94535831783722,119,6.99640232780577,2.34398188714385,6.47572628310758
