geography,id,num_hh_control,hh_by_type_sf_control,hh_by_type_sfa_control,hh_by_type_dup_control,hh_by_type_mf4_control,hh_by_type_mf9_control,hh_by_type_mf19_control,hh_by_type_mf49_control,hh_by_type_mf50_control,hh_by_type_mh_control,hh_by_type_rv_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_inc_5_control,hh_inc_6_control,hh_inc_7_control,hh_inc_8_control,hh_inc_9_control,hhkid_control,hh_veh_0_control,hh_veh_1_control,hh_veh_2_control,hh_veh_3_control,hh_veh_4_control,hh_veh_5_control,hh_age_1_control,hh_age_2_control,hh_age_3_control,hh_age_4_control,hh_age_5_control,hh_age_6_control,hh_age_7_control,hh_age_8_control,hh_age_9_control,hh_age_10_control,hh_age_11_control,hh_age_12_control,num_hh_result,hh_by_type_sf_result,hh_by_type_sfa_result,hh_by_type_dup_result,hh_by_type_mf4_result,hh_by_type_mf9_result,hh_by_type_mf19_result,hh_by_type_mf49_result,hh_by_type_mf50_result,hh_by_type_mh_result,hh_by_type_rv_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_inc_5_result,hh_inc_6_result,hh_inc_7_result,hh_inc_8_result,hh_inc_9_result,hhkid_result,hh_veh_0_result,hh_veh_1_result,hh_veh_2_result,hh_veh_3_result,hh_veh_4_result,hh_veh_5_result,hh_age_1_result,hh_age_2_result,hh_age_3_result,hh_age_4_result,hh_age_5_result,hh_age_6_result,hh_age_7_result,hh_age_8_result,hh_age_9_result,hh_age_10_result,hh_age_11_result,hh_age_12_result,num_hh_diff,hh_by_type_sf_diff,hh_by_type_sfa_diff,hh_by_type_dup_diff,hh_by_type_mf4_diff,hh_by_type_mf9_diff,hh_by_type_mf19_diff,hh_by_type_mf49_diff,hh_by_type_mf50_diff,hh_by_type_mh_diff,hh_by_type_rv_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_inc_5_diff,hh_inc_6_diff,hh_inc_7_diff,hh_inc_8_diff,hh_inc_9_diff,hhkid_diff,hh_veh_0_diff,hh_veh_1_diff,hh_veh_2_diff,hh_veh_3_diff,hh_veh_4_diff,hh_veh_5_diff,hh_age_1_diff,hh_age_2_diff,hh_age_3_diff,hh_age_4_diff,hh_age_5_diff,hh_age_6_diff,hh_age_7_diff,hh_age_8_diff,hh_age_9_diff,hh_age_10_diff,hh_age_11_diff,hh_age_12_diff
BG,530110401011,608,409,8,0,0,0,0,0,0,154,37,145,242,45,78,59,11,28,40,34,36,36,84,50,132,106,90,179,47,114,116,189,101,41,102,82,174,118,189,232,141,350,280,156,135,38,608,409,8,0,0,0,0,0,0,155,36,132,232,45,80,65,12,38,40,34,36,37,85,50,129,107,90,175,47,113,115,189,100,44,100,79,168,112,184,223,135,336,266,149,128,37,0,0,0,0,0,0,0,0,0,1,-1,-13,-10,0,2,6,1,10,0,0,0,1,1,0,-3,1,0,-4,0,-1,-1,0,-1,3,-2,-3,-6,-6,-5,-9,-6,-14,-14,-7,-7,-1
BG,530110401012,425,422,0,0,0,0,0,0,0,3,0,89,141,64,76,14,5,36,5,5,4,63,144,88,54,40,22,144,0,32,222,93,44,34,221,154,43,22,96,373,115,136,96,153,41,3,425,422,0,0,0,0,0,0,0,3,0,83,136,62,76,15,6,42,5,5,4,61,143,89,55,41,22,150,0,32,222,92,45,34,210,148,46,22,91,358,110,131,94,149,41,3,0,0,0,0,0,0,0,0,0,0,0,-6,-5,-2,0,1,1,6,0,0,0,-2,-1,1,1,1,0,6,0,0,0,-1,1,0,-11,-6,3,0,-5,-15,-5,-5,-2,-4,0,0
BG,530110401013,433,306,0,0,0,0,7,0,0,120,0,128,106,36,37,99,17,10,48,68,3,25,12,18,102,91,66,115,44,49,158,53,13,116,115,141,72,10,115,264,78,140,172,211,48,2,433,306,0,0,0,0,7,0,0,120,0,122,104,36,39,101,18,12,48,68,3,26,12,18,102,90,66,117,44,50,159,54,13,113,114,137,70,11,111,261,78,136,169,206,47,2,0,0,0,0,0,0,0,0,0,0,0,-6,-2,0,2,2,1,2,0,0,0,1,0,0,0,-1,0,2,0,1,1,1,0,-3,-1,-4,-2,1,-4,-3,0,-4,-3,-5,-1,0
BG,530110401014,295,243,0,0,0,0,0,0,0,52,0,71,116,16,11,56,11,14,8,4,11,7,147,22,85,0,11,94,2,27,98,128,26,14,113,92,31,12,15,120,43,135,122,81,22,2,295,243,0,0,0,0,0,0,0,52,0,76,120,16,10,52,10,11,8,4,11,7,148,22,84,0,11,91,2,27,98,127,27,14,117,96,34,13,16,126,46,143,128,85,23,2,0,0,0,0,0,0,0,0,0,0,0,5,4,0,-1,-4,-1,-3,0,0,0,0,1,0,-1,0,0,-3,0,0,0,-1,1,0,4,4,3,1,1,6,3,8,6,4,1,0
BG,530110401021,391,312,0,0,0,0,0,0,0,72,7,7,136,96,41,27,25,59,34,0,7,27,65,37,109,48,64,134,0,0,123,130,106,32,167,79,104,48,154,87,80,157,160,96,102,1,391,319,0,0,0,0,0,0,0,69,3,12,154,91,37,25,20,52,34,0,7,27,65,36,108,48,66,132,0,2,124,128,106,31,194,80,112,50,161,115,99,171,196,122,109,2,0,7,0,0,0,0,0,0,0,-3,-4,5,18,-5,-4,-2,-5,-7,0,0,0,0,0,-1,-1,0,2,-2,0,2,1,-2,0,-1,27,1,8,2,7,28,19,14,36,26,7,1
BG,530110401022,315,299,0,0,0,0,0,0,0,16,0,69,164,24,21,0,37,0,26,21,0,21,41,55,95,27,29,59,39,32,154,64,26,0,183,17,16,16,13,208,101,51,237,166,24,28,315,296,0,0,0,0,0,0,0,17,2,60,152,30,27,0,46,0,27,20,0,22,41,54,95,27,29,64,38,32,153,65,27,0,146,25,15,16,13,161,71,36,180,128,21,26,0,-3,0,0,0,0,0,0,0,1,2,-9,-12,6,6,0,9,0,1,-1,0,1,0,-1,0,0,0,5,-1,0,-1,1,1,0,-37,8,-1,0,0,-47,-30,-15,-57,-38,-3,-2
BG,530110401023,478,424,0,0,0,0,0,0,0,54,0,24,242,70,19,43,47,33,29,5,11,64,30,111,126,53,49,163,10,66,217,92,83,10,169,101,158,102,155,127,236,63,227,95,175,0,478,421,0,0,0,0,0,0,0,55,2,30,232,64,18,45,45,44,29,6,11,64,30,109,127,53,49,162,12,65,216,92,83,10,178,94,152,98,147,144,246,63,248,108,169,0,0,-3,0,0,0,0,0,0,0,1,2,6,-10,-6,-1,2,-2,11,0,1,0,0,0,-2,1,0,0,-1,2,-1,-1,0,0,0,9,-7,-6,-4,-8,17,10,0,21,13,-6,0
BG,530110402011,583,405,8,0,0,0,0,0,0,170,0,121,148,33,49,42,8,182,0,12,36,52,44,50,81,113,195,244,0,52,168,112,226,25,235,161,391,44,75,300,102,75,112,145,57,32,583,409,9,0,0,0,0,0,0,165,0,161,173,35,45,35,6,128,0,12,36,58,46,51,83,109,188,237,0,57,169,112,220,25,275,187,415,54,91,348,131,98,139,185,71,33,0,4,1,0,0,0,0,0,0,-5,0,40,25,2,-4,-7,-2,-54,0,0,0,6,2,1,2,-4,-7,-7,0,5,1,0,-6,0,40,26,24,10,16,48,29,23,27,40,14,1
BG,530110402012,530,387,0,0,0,0,0,0,0,114,29,163,146,37,106,78,0,0,144,19,19,33,19,66,132,21,77,177,0,196,95,73,70,96,158,105,16,99,171,142,114,143,96,230,114,0,530,394,0,0,0,0,0,0,0,108,28,156,152,46,101,75,0,0,136,21,20,39,21,62,132,25,74,177,0,197,103,73,70,87,149,100,20,96,169,141,112,148,101,229,112,0,0,7,0,0,0,0,0,0,0,-6,-1,-7,6,9,-5,-3,0,0,-8,2,1,6,2,-4,0,4,-3,0,0,1,8,0,0,-9,-9,-5,4,-3,-2,-1,-2,5,5,-1,-2,0
BG,530110402013,434,241,34,59,9,0,0,0,0,91,0,38,219,57,73,37,5,5,16,18,10,123,100,15,53,70,29,136,0,51,215,103,49,16,106,71,51,29,125,123,33,68,110,316,120,4,434,239,33,58,9,0,0,0,0,95,0,41,223,57,69,32,5,7,24,17,10,119,96,16,54,69,29,133,0,53,213,101,50,17,107,70,51,31,130,125,33,68,108,319,123,15,0,-2,-1,-1,0,0,0,0,0,4,0,3,4,0,-4,-5,0,2,8,-1,0,-4,-4,1,1,-1,0,-3,0,2,-2,-2,1,1,1,-1,0,2,5,2,0,0,-2,3,3,11
BG,530110402014,819,775,9,14,0,0,0,0,0,21,0,50,294,265,72,93,12,33,0,31,26,172,70,50,204,113,153,227,0,140,265,175,182,57,70,95,108,167,226,283,250,355,352,188,105,73,819,768,10,15,0,0,0,0,0,26,0,65,313,253,68,76,10,34,0,30,25,165,69,51,204,114,161,239,0,135,261,175,186,62,76,101,119,179,249,297,258,376,375,214,121,69,0,-7,1,1,0,0,0,0,0,5,0,15,19,-12,-4,-17,-2,1,0,-1,-1,-7,-1,1,0,1,8,12,0,-5,-4,0,4,5,6,6,11,12,23,14,8,21,23,26,16,-4
