geography,id,num_hh_control,num_hh_result,num_hh_diff
BLOCK,530110417001023,14,14,0
BLOCK,530110417001024,12,12,0
BLOCK,530110417001026,7,7,0
BLOCK,530110417001027,13,13,0
BLOCK,530110417001029,4,4,0
BLOCK,530110417001030,7,7,0
BLOCK,530110417002001,13,13,0
BLOCK,530110417002002,12,12,0
BLOCK,530110417002004,32,32,0
BLOCK,530110417002005,40,40,0
BLOCK,530110417002006,20,20,0
BLOCK,530110417002008,26,26,0
BLOCK,530110417002009,9,9,0
BLOCK,530110417002012,28,28,0
BLOCK,530110417002014,9,9,0
BLOCK,530110417002015,10,10,0
BLOCK,530110417002018,78,78,0
BLOCK,530110417002019,305,305,0
BLOCK,530110417002022,36,36,0
BLOCK,530110417002024,4,4,0
BLOCK,530110417002025,12,12,0
BLOCK,530110417002027,10,10,0
BLOCK,530110417002028,11,11,0
BLOCK,530110417002029,8,8,0
BLOCK,530110418001001,197,197,0
BLOCK,530110418001002,15,15,0
BLOCK,530110418001003,24,24,0
BLOCK,530110418001004,15,15,0
BLOCK,530110418001005,14,14,0
BLOCK,530110418001007,20,20,0
BLOCK,530110418001008,21,21,0
BLOCK,530110418001009,20,20,0
BLOCK,530110418001010,18,18,0
BLOCK,530110418001011,16,16,0
BLOCK,530110409094000,27,27,0
BLOCK,530110409094001,301,301,0
BLOCK,530110409094002,4,4,0
BLOCK,530110409094003,10,10,0
BLOCK,530110409094004,22,22,0
BLOCK,530110409094005,9,9,0
BLOCK,530110409094006,14,14,0
BLOCK,530110409094007,13,13,0
BLOCK,530110409094008,5,5,0
BLOCK,530110409094009,8,8,0
BLOCK,530110409094010,8,8,0
BLOCK,530110409094012,37,37,0
BLOCK,530110409094013,20,20,0
BLOCK,530110409101001,3,3,0
BLOCK,530110409101004,29,29,0
BLOCK,530110409101005,22,22,0
BLOCK,530110409101007,11,11,0
BLOCK,530110409101010,74,74,0
BLOCK,530110409101012,121,121,0
BLOCK,530110409101014,15,15,0
BLOCK,530110409101015,12,12,0
BLOCK,530110409101017,9,9,0
BLOCK,530110409101018,15,15,0
BLOCK,530110409101020,27,27,0
BLOCK,530110409101021,20,20,0
BLOCK,530110409101024,22,22,0
BLOCK,530110409101025,16,16,0
BLOCK,530110409101033,14,14,0
BLOCK,530110409102007,12,12,0
BLOCK,530110409102010,43,43,0
BLOCK,530110409102012,18,18,0
BLOCK,530110409102013,10,10,0
BLOCK,530110409102016,128,128,0
BLOCK,530110409102017,21,21,0
BLOCK,530110409102018,17,17,0
BLOCK,530110410031000,35,35,0
BLOCK,530110410031001,10,10,0
BLOCK,530110410031002,34,34,0
BLOCK,530110410031003,10,10,0
BLOCK,530110410031004,8,8,0
BLOCK,530110410031005,19,19,0
BLOCK,530110410031006,75,75,0
BLOCK,530110410031007,10,10,0
BLOCK,530110410031009,33,33,0
BLOCK,530110410031010,21,21,0
BLOCK,530110410032002,22,22,0
BLOCK,530110410032004,17,17,0
BLOCK,530110410032005,3,3,0
BLOCK,530110410032008,3,3,0
BLOCK,530110410032010,4,4,0
BLOCK,530110410032011,37,37,0
BLOCK,530110410032014,15,15,0
BLOCK,530110410032015,3,3,0
BLOCK,530110410032017,151,151,0
BLOCK,530110410032018,9,9,0
BLOCK,530110418001013,17,17,0
BLOCK,530110418001014,15,15,0
BLOCK,530110418001015,6,6,0
BLOCK,530110418001017,8,8,0
BLOCK,530110418001018,12,12,0
BLOCK,530110418001020,8,8,0
BLOCK,530110418001023,38,38,0
BLOCK,530110418001024,45,45,0
BLOCK,530110418001026,24,24,0
BLOCK,530110418001027,5,5,0
BLOCK,530110418001028,10,10,0
BLOCK,530110418001030,5,5,0
BLOCK,530110418001033,16,16,0
BLOCK,530110418002000,51,51,0
BLOCK,530110418002002,18,18,0
BLOCK,530110418002003,24,24,0
BLOCK,530110418002005,19,19,0
BLOCK,530110418002006,26,26,0
BLOCK,530110418002007,19,19,0
BLOCK,530110418002012,13,13,0
BLOCK,530110418002013,75,75,0
BLOCK,530110418002015,16,16,0
BLOCK,530110418002016,19,19,0
BLOCK,530110418002017,21,21,0
BLOCK,530110418002018,17,17,0
BLOCK,530110418002019,29,29,0
BLOCK,530110418002020,18,18,0
BLOCK,530110418002021,8,8,0
BLOCK,530110418003000,17,17,0
BLOCK,530110418003001,6,6,0
BLOCK,530110418003002,9,9,0
BLOCK,530110418003003,6,6,0
BLOCK,530110418003004,7,7,0
BLOCK,530110418003005,9,9,0
BLOCK,530110409101034,35,35,0
BLOCK,530110409101035,22,22,0
BLOCK,530110409101036,25,25,0
BLOCK,530110409102000,453,453,0
BLOCK,530110409102001,22,22,0
BLOCK,530110409102002,11,11,0
BLOCK,530110409102003,12,12,0
BLOCK,530110409102004,12,12,0
BLOCK,530110409102005,22,22,0
BLOCK,530110418003018,12,12,0
BLOCK,530110418003019,6,6,0
BLOCK,530110418003020,10,10,0
BLOCK,530110418003021,11,11,0
BLOCK,530110418003023,11,11,0
BLOCK,530110418003024,2,2,0
BLOCK,530110418003029,21,21,0
BLOCK,530110418003030,5,5,0
BLOCK,530110418003031,8,8,0
BLOCK,530110418003033,7,7,0
BLOCK,530110418003034,17,17,0
BLOCK,530110418003036,16,16,0
BLOCK,530110418003037,10,10,0
BLOCK,530110418003040,46,46,0
BLOCK,530110418003042,18,18,0
BLOCK,530110418003043,7,7,0
BLOCK,530110419001004,84,84,0
BLOCK,530110419001007,5,5,0
BLOCK,530110419001008,23,23,0
BLOCK,530110419001010,3,3,0
BLOCK,530110419001012,6,6,0
BLOCK,530110410032020,241,241,0
BLOCK,530110410032021,7,7,0
BLOCK,530110410033001,16,16,0
BLOCK,530110410033002,19,19,0
BLOCK,530110410033004,8,8,0
BLOCK,530110410033005,48,48,0
BLOCK,530110410033008,14,14,0
BLOCK,530110410033010,18,18,0
BLOCK,530110410033011,25,25,0
BLOCK,530110410033012,16,16,0
BLOCK,530110410033013,18,18,0
BLOCK,530110410033014,15,15,0
BLOCK,530110410033015,13,13,0
BLOCK,530110410034000,77,77,0
BLOCK,530110410034001,39,39,0
BLOCK,530110410034002,25,25,0
BLOCK,530110410034003,51,51,0
BLOCK,530110410034004,12,12,0
BLOCK,530110410034005,8,8,0
BLOCK,530110410034006,10,10,0
BLOCK,530110410034007,19,19,0
BLOCK,530110410034009,5,5,0
