geography,id,num_hh_control,hh_by_type_sf_control,hh_by_type_sfa_control,hh_by_type_dup_control,hh_by_type_mf4_control,hh_by_type_mf9_control,hh_by_type_mf19_control,hh_by_type_mf49_control,hh_by_type_mf50_control,hh_by_type_mh_control,hh_by_type_rv_control,hh_size_1_control,hh_size_2_control,hh_size_3_control,hh_size_4_control,hh_size_5_control,hh_size_6_control,hh_size_7_control,hh_inc_1_control,hh_inc_2_control,hh_inc_3_control,hh_inc_4_control,hh_inc_5_control,hh_inc_6_control,hh_inc_7_control,hh_inc_8_control,hh_inc_9_control,hhkid_control,hh_veh_0_control,hh_veh_1_control,hh_veh_2_control,hh_veh_3_control,hh_veh_4_control,hh_veh_5_control,hh_age_1_control,hh_age_2_control,hh_age_3_control,hh_age_4_control,hh_age_5_control,hh_age_6_control,hh_age_7_control,hh_age_8_control,hh_age_9_control,hh_age_10_control,hh_age_11_control,hh_age_12_control,persons_occ_1_control,persons_occ_2_control,persons_occ_4_control,persons_occ_5_control,persons_occ_6_control,hh_wrks_0_control,hh_wrks_1_control,hh_wrks_2_control,hh_wrks_3_plus_control,num_hh_result,hh_by_type_sf_result,hh_by_type_sfa_result,hh_by_type_dup_result,hh_by_type_mf4_result,hh_by_type_mf9_result,hh_by_type_mf19_result,hh_by_type_mf49_result,hh_by_type_mf50_result,hh_by_type_mh_result,hh_by_type_rv_result,hh_size_1_result,hh_size_2_result,hh_size_3_result,hh_size_4_result,hh_size_5_result,hh_size_6_result,hh_size_7_result,hh_inc_1_result,hh_inc_2_result,hh_inc_3_result,hh_inc_4_result,hh_inc_5_result,hh_inc_6_result,hh_inc_7_result,hh_inc_8_result,hh_inc_9_result,hhkid_result,hh_veh_0_result,hh_veh_1_result,hh_veh_2_result,hh_veh_3_result,hh_veh_4_result,hh_veh_5_result,hh_age_1_result,hh_age_2_result,hh_age_3_result,hh_age_4_result,hh_age_5_result,hh_age_6_result,hh_age_7_result,hh_age_8_result,hh_age_9_result,hh_age_10_result,hh_age_11_result,hh_age_12_result,persons_occ_1_result,persons_occ_2_result,persons_occ_4_result,persons_occ_5_result,persons_occ_6_result,hh_wrks_0_result,hh_wrks_1_result,hh_wrks_2_result,hh_wrks_3_plus_result,num_hh_diff,hh_by_type_sf_diff,hh_by_type_sfa_diff,hh_by_type_dup_diff,hh_by_type_mf4_diff,hh_by_type_mf9_diff,hh_by_type_mf19_diff,hh_by_type_mf49_diff,hh_by_type_mf50_diff,hh_by_type_mh_diff,hh_by_type_rv_diff,hh_size_1_diff,hh_size_2_diff,hh_size_3_diff,hh_size_4_diff,hh_size_5_diff,hh_size_6_diff,hh_size_7_diff,hh_inc_1_diff,hh_inc_2_diff,hh_inc_3_diff,hh_inc_4_diff,hh_inc_5_diff,hh_inc_6_diff,hh_inc_7_diff,hh_inc_8_diff,hh_inc_9_diff,hhkid_diff,hh_veh_0_diff,hh_veh_1_diff,hh_veh_2_diff,hh_veh_3_diff,hh_veh_4_diff,hh_veh_5_diff,hh_age_1_diff,hh_age_2_diff,hh_age_3_diff,hh_age_4_diff,hh_age_5_diff,hh_age_6_diff,hh_age_7_diff,hh_age_8_diff,hh_age_9_diff,hh_age_10_diff,hh_age_11_diff,hh_age_12_diff,persons_occ_1_diff,persons_occ_2_diff,persons_occ_4_diff,persons_occ_5_diff,persons_occ_6_diff,hh_wrks_0_diff,hh_wrks_1_diff,hh_wrks_2_diff,hh_wrks_3_plus_diff
TRACT,53011040101,1761,1380,8,0,0,0,7,0,0,329,37,433,605,161,202,228,44,88,101,111,54,131,387,178,373,237,189,532,93,222,594,463,184,205,551,469,320,162,415,989,377,761,670,601,246,45,833,344,375,340,224,549,615,472,125,1761,1381,8,0,0,0,7,0,0,329,36,413,591,160,205,235,45,103,101,111,54,132,387,178,372,237,189,531,93,222,595,463,183,205,540,459,315,157,405,968,369,747,657,589,241,44,811,338,369,333,222,538,611,479,133,0,1,0,0,0,0,0,0,0,0,-1,-20,-14,-1,3,7,1,15,0,0,0,1,0,0,-1,0,0,-1,0,0,1,0,-1,0,-11,-10,-5,-5,-10,-21,-8,-14,-13,-12,-5,-1,-22,-6,-6,-7,-2,-11,-4,7,8
TRACT,53011040102,1184,1035,0,0,0,0,0,0,0,142,7,100,542,190,81,70,109,92,89,26,18,112,136,203,330,128,142,356,49,98,494,286,215,42,519,197,278,166,322,422,417,271,624,357,301,29,408,130,252,273,139,344,462,313,65,1184,1036,0,0,0,0,0,0,0,141,7,99,540,188,81,70,110,96,89,26,18,112,136,202,330,128,143,358,49,98,494,285,216,42,516,198,278,166,320,421,417,272,625,357,300,28,426,137,263,282,145,357,464,302,61,0,1,0,0,0,0,0,0,0,-1,0,-1,-2,-2,0,0,1,4,0,0,0,0,0,-1,0,0,1,2,0,0,0,-1,1,0,-3,1,0,0,-2,-1,0,1,1,0,-1,-1,18,7,11,9,6,13,2,-11,-4
TRACT,53011040201,2366,1808,51,73,9,0,0,0,0,396,29,372,807,392,300,250,25,220,160,80,91,380,233,181,470,317,454,784,0,439,743,463,527,194,569,432,566,339,597,848,499,641,670,879,396,109,1019,437,659,638,383,694,819,645,208,2366,1810,51,73,9,0,0,0,0,395,28,424,862,390,281,220,21,168,160,80,91,380,233,181,472,317,452,786,0,440,745,463,525,193,605,459,603,360,637,911,535,690,722,946,427,117,1010,434,656,634,381,675,822,662,207,0,2,0,0,0,0,0,0,0,-1,-1,52,55,-2,-19,-30,-4,-52,0,0,0,0,0,0,2,0,-2,2,0,1,2,0,-2,-1,36,27,37,21,40,63,36,49,52,67,31,8,-9,-3,-3,-4,-2,-19,3,17,-1
TRACT,53011040202,1406,1058,2,0,0,0,0,0,0,337,9,169,551,207,168,147,106,58,88,15,53,105,205,263,238,213,226,452,3,99,553,481,163,107,290,295,442,228,333,370,479,497,539,578,249,45,490,218,344,256,177,322,531,442,111,1406,1059,2,0,0,0,0,0,0,336,9,172,557,206,166,144,103,58,88,15,53,105,205,263,238,213,226,453,3,99,553,481,163,107,291,297,445,230,337,374,483,504,546,585,252,46,540,243,381,282,196,362,540,410,94,0,1,0,0,0,0,0,0,0,-1,0,3,6,-1,-2,-3,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,3,2,4,4,4,7,7,7,3,1,50,25,37,26,19,40,9,-32,-17
TRACT,53011040203,1875,1470,0,0,0,0,0,0,0,405,0,347,791,215,299,164,40,19,69,90,112,179,178,220,572,186,269,561,135,260,607,412,270,191,190,229,561,236,502,415,671,815,902,450,383,288,853,244,475,262,273,552,644,544,135,1875,1470,0,0,0,0,0,0,0,405,0,318,748,209,299,168,43,23,69,90,112,179,178,221,571,186,269,561,135,259,607,412,270,192,185,225,546,228,485,403,651,792,879,438,372,280,863,252,480,266,281,567,642,534,132,0,0,0,0,0,0,0,0,0,0,0,-29,-43,-6,0,4,3,4,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,1,-5,-4,-15,-8,-17,-12,-20,-23,-23,-12,-11,-8,10,8,5,4,8,15,-2,-10,-3
TRACT,53011040301,696,604,0,6,0,0,0,0,0,86,0,98,261,98,112,81,38,8,33,48,9,25,93,85,98,138,167,196,32,80,272,183,55,74,77,192,152,74,168,96,349,227,317,189,141,43,499,104,192,39,87,194,172,241,89,696,604,0,6,0,0,0,0,0,86,0,100,262,98,111,80,37,8,33,48,9,24,94,85,98,137,168,197,32,80,271,183,56,74,78,195,154,74,172,96,355,232,320,191,143,43,505,108,194,41,89,195,174,239,88,0,0,0,0,0,0,0,0,0,0,0,2,1,0,-1,-1,-1,0,0,0,0,-1,1,0,0,-1,1,1,0,0,-1,0,1,0,1,3,2,0,4,0,6,5,3,2,2,0,6,4,2,2,2,1,2,-2,-1
TRACT,53011040303,1848,1384,333,0,0,31,0,16,70,14,0,305,733,369,181,141,102,17,73,16,0,90,322,244,527,354,222,685,129,244,1032,271,118,54,420,419,428,246,214,1093,669,707,680,345,253,29,1250,549,537,243,310,398,629,738,83,1848,1386,332,0,0,30,0,16,70,14,0,287,707,363,183,145,108,20,73,16,0,90,322,244,528,353,222,687,129,243,1032,272,118,54,410,409,419,240,209,1067,655,689,665,337,247,28,1169,522,504,227,294,367,615,766,100,0,2,-1,0,0,-1,0,0,0,0,0,-18,-26,-6,2,4,6,3,0,0,0,0,0,0,1,-1,0,2,0,-1,0,1,0,0,-10,-10,-9,-6,-5,-26,-14,-18,-15,-8,-6,-1,-81,-27,-33,-16,-16,-31,-14,28,17
TRACT,53011040304,1020,973,0,0,0,0,0,0,0,47,0,115,444,130,202,16,99,14,58,0,0,93,100,233,242,85,209,399,0,103,668,176,51,22,362,343,180,85,127,130,609,329,167,608,92,22,616,65,208,70,156,343,305,323,49,1020,972,0,0,0,0,0,0,0,48,0,113,442,130,202,16,101,15,58,0,0,94,100,233,241,86,208,398,0,103,668,175,52,22,358,341,177,82,124,129,602,325,167,605,91,22,612,66,205,70,155,343,304,324,49,0,-1,0,0,0,0,0,0,0,1,0,-2,-2,0,0,0,2,1,0,0,0,1,0,0,-1,1,-1,-1,0,0,0,-1,1,0,-4,-2,-3,-3,-3,-1,-7,-4,0,-3,-1,0,-4,1,-3,0,-1,0,-1,1,0
TRACT,53011040305,1031,932,0,99,0,0,0,0,0,0,0,192,299,259,107,131,13,30,41,22,28,143,119,178,285,71,144,437,0,171,423,287,150,0,154,258,232,196,112,540,259,379,546,246,27,85,443,229,197,150,192,237,476,264,54,1031,933,0,98,0,0,0,0,0,0,0,190,298,257,107,133,13,32,41,22,28,143,118,178,285,72,144,438,0,171,423,286,151,0,153,257,231,195,110,534,259,378,546,246,27,85,438,230,194,150,192,235,474,266,56,0,1,0,-1,0,0,0,0,0,0,0,-2,-1,-2,0,2,0,2,0,0,0,0,-1,0,0,1,0,1,0,0,0,-1,1,0,-1,-1,-1,-1,-2,-6,0,-1,0,0,0,0,-5,1,-3,0,0,-2,-2,2,2
TRACT,53011040403,1434,1260,19,0,0,0,0,0,0,155,0,227,449,278,323,128,29,0,63,25,63,49,217,147,434,119,317,503,4,242,382,395,229,182,257,215,329,179,321,184,562,751,733,473,100,98,622,308,495,257,186,343,566,431,94,1434,1260,19,0,0,0,0,0,0,155,0,218,443,278,328,132,31,0,63,26,63,49,217,147,434,118,317,504,4,242,384,395,228,181,253,211,323,175,313,181,551,737,721,464,99,96,601,300,477,248,182,331,563,440,100,0,0,0,0,0,0,0,0,0,0,0,-9,-6,0,5,4,2,0,0,1,0,0,0,0,0,-1,0,1,0,0,2,0,-1,-1,-4,-4,-6,-4,-8,-3,-11,-14,-12,-9,-1,-2,-21,-8,-18,-9,-4,-12,-3,9,6
