process,pid,rss,full_rss,uss,event,children,time
MainProcess,27148,104_947_712,104_947_712,72_777_728,pipeline.run before preload_injectables,0,2024/04/03 10:04:59.070517
MainProcess,27148,105_230_336,105_230_336,72_785_920,pipeline.run after preload_injectables,0,2024/04/03 10:04:59.117028
MainProcess,27148,105_259_008,105_259_008,72_785_920,pipeline.run_model input_pre_processor start,0,2024/04/03 10:04:59.148275
MainProcess,27148,208_920_576,208_920_576,176_607_232,pipeline.run_model input_pre_processor finished,0,2024/04/03 10:05:00.255236
MainProcess,27148,217_706_496,217_706_496,184_819_712,pipeline.run after input_pre_processor,0,2024/04/03 10:05:01.242275
MainProcess,27148,217_706_496,217_706_496,184_819_712,pipeline.run_model setup_data_structures start,0,2024/04/03 10:05:01.305075
MainProcess,27148,241_115_136,241_115_136,208_670_720,pipeline.run_model setup_data_structures finished,0,2024/04/03 10:05:01.758081
MainProcess,27148,239_263_744,239_263_744,206_241_792,pipeline.run after setup_data_structures,0,2024/04/03 10:05:02.872931
MainProcess,27148,239_710_208,239_710_208,206_241_792,pipeline.run_model initial_seed_balancing start,0,2024/04/03 10:05:02.929868
MainProcess,27148,242_655_232,242_655_232,209_137_664,pipeline.run_model initial_seed_balancing finished,0,2024/04/03 10:05:17.809225
MainProcess,27148,242_655_232,242_655_232,209_137_664,pipeline.run after initial_seed_balancing,0,2024/04/03 10:05:17.867678
MainProcess,27148,242_655_232,242_655_232,209_137_664,pipeline.run_model final_seed_balancing start,0,2024/04/03 10:05:17.930348
MainProcess,27148,239_026_176,239_026_176,206_487_552,pipeline.run_model final_seed_balancing finished,0,2024/04/03 10:05:17.976948
MainProcess,27148,240_635_904,240_635_904,207_204_352,pipeline.run after final_seed_balancing,0,2024/04/03 10:05:18.039100
MainProcess,27148,240_721_920,240_721_920,207_204_352,pipeline.run_model integerize_final_seed_weights start,0,2024/04/03 10:05:18.109599
MainProcess,27148,245_202_944,245_202_944,210_165_760,pipeline.run_model integerize_final_seed_weights finished,0,2024/04/03 10:05:19.475180
MainProcess,27148,247_336_960,247_336_960,211_562_496,pipeline.run after integerize_final_seed_weights,0,2024/04/03 10:05:19.539218
MainProcess,27148,247_341_056,247_341_056,211_566_592,pipeline.run_model sub_balancing.geography=TRACT start,0,2024/04/03 10:05:19.609591
MainProcess,27148,270_331_904,270_331_904,236_412_928,pipeline.run_model sub_balancing.geography=TRACT finished,0,2024/04/03 10:11:59.181304
MainProcess,27148,269_135_872,269_135_872,235_216_896,pipeline.run after sub_balancing.geography=TRACT,0,2024/04/03 10:11:59.290727
MainProcess,27148,270_139_392,270_139_392,235_216_896,pipeline.run_model sub_balancing.geography=BG start,0,2024/04/03 10:11:59.352872
MainProcess,27148,314_638_336,314_638_336,280_584_192,pipeline.run_model sub_balancing.geography=BG finished,0,2024/04/03 10:21:56.460330
MainProcess,27148,313_151_488,313_151_488,279_150_592,pipeline.run after sub_balancing.geography=BG,0,2024/04/03 10:21:56.764522
MainProcess,27148,314_150_912,314_150_912,279_150_592,pipeline.run_model sub_balancing.geography=BLOCK start,0,2024/04/03 10:21:56.829752
MainProcess,27148,1_125_052_416,1_125_052_416,1_094_094_848,pipeline.run_model sub_balancing.geography=BLOCK finished,0,2024/04/03 10:26:02.450233
MainProcess,27148,1_126_727_680,1_126_727_680,1_094_762_496,pipeline.run after sub_balancing.geography=BLOCK,0,2024/04/03 10:26:16.075263
MainProcess,27148,1_126_727_680,1_126_727_680,1_094_762_496,pipeline.run_model expand_households start,0,2024/04/03 10:26:16.161507
MainProcess,27148,1_141_551_104,1_141_551_104,1_110_011_904,pipeline.run_model expand_households finished,0,2024/04/03 10:26:22.265016
MainProcess,27148,1_142_075_392,1_142_075_392,1_110_011_904,pipeline.run after expand_households,0,2024/04/03 10:26:22.372164
MainProcess,27148,1_142_075_392,1_142_075_392,1_110_011_904,pipeline.run_model summarize start,0,2024/04/03 10:26:22.450567
MainProcess,27148,1_181_896_704,1_181_896_704,1_149_767_680,pipeline.run_model summarize finished,0,2024/04/03 10:27:59.317835
MainProcess,27148,1_182_220_288,1_182_220_288,1_150_091_264,pipeline.run after summarize,0,2024/04/03 10:27:59.586236
MainProcess,27148,1_182_220_288,1_182_220_288,1_150_091_264,pipeline.run_model write_tables start,0,2024/04/03 10:27:59.669591
MainProcess,27148,1_183_240_192,1_183_240_192,1_151_090_688,pipeline.run_model write_tables finished,0,2024/04/03 10:28:01.481406
MainProcess,27148,1_183_240_192,1_183_240_192,1_151_090_688,pipeline.run after write_tables,0,2024/04/03 10:28:01.575466
MainProcess,27148,1_183_240_192,1_183_240_192,1_151_090_688,pipeline.run_model write_synthetic_population start,0,2024/04/03 10:28:01.653823
MainProcess,27148,1_188_077_568,1_188_077_568,1_155_928_064,pipeline.run_model write_synthetic_population finished,0,2024/04/03 10:28:16.153113
MainProcess,27148,1_188_077_568,1_188_077_568,1_155_928_064,pipeline.run after write_synthetic_population,0,2024/04/03 10:28:16.244599
MainProcess,27148,1_188_077_568,1_188_077_568,1_155_928_064,pipeline.run after run_models,0,2024/04/03 10:28:16.340619
