process_name,model_name,seconds,minutes
MainProcess,input_pre_processor,2.1,0.0
MainProcess,setup_data_structures,1.6,0.0
MainProcess,initial_seed_balancing,15.0,0.2
MainProcess,final_seed_balancing,0.1,0.0
MainProcess,integerize_final_seed_weights,1.5,0.0
MainProcess,sub_balancing.geography=TRACT,399.7,6.7
MainProcess,sub_balancing.geography=BG,597.5,10.0
MainProcess,sub_balancing.geography=BLOCK,259.3,4.3
MainProcess,expand_households,6.3,0.1
MainProcess,summarize,97.2,1.6
MainProcess,write_tables,2.0,0.0
MainProcess,write_synthetic_population,14.7,0.2
